,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-10-05,73.0,20.0,34.0,46.0,56.0,0.0,23.0,55.0,25.0,100.0,85.0,19.0,68.0,25.0,0.0,24.0,48.0,0.0,23.0,16.0,53.506869125090375
2020-10-06,100.0,41.0,17.0,0.0,39.0,42.0,0.0,56.0,79.0,79.0,58.0,77.0,69.0,100.0,23.0,25.0,25.0,71.0,47.0,16.0,69.70354302241503
2020-10-07,49.0,40.0,34.0,47.0,38.0,41.0,46.0,0.0,25.0,26.0,57.0,57.0,46.0,24.0,24.0,48.0,48.0,47.0,46.0,32.0,56.037599421547355
2020-10-08,26.0,0.0,36.0,50.0,20.0,43.0,50.0,29.0,53.0,27.0,31.0,0.0,0.0,26.0,0.0,0.0,0.0,25.0,24.0,0.0,31.814895155459144
2020-10-09,0.0,0.0,38.0,0.0,22.0,0.0,26.0,32.0,0.0,29.0,32.0,43.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,20.10122921185828
2020-10-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,88.0,0.0,0.0,20.0,9.978308026030367
2020-10-11,28.0,23.0,0.0,27.0,21.0,24.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,28.0,27.0,0.0,19.0,20.607375271149674
2020-10-12,53.0,0.0,0.0,51.0,20.0,44.0,49.0,30.0,55.0,0.0,0.0,21.0,25.0,27.0,25.0,0.0,0.0,0.0,25.0,0.0,30.730296456977584
2020-10-13,54.0,43.0,18.0,52.0,41.0,23.0,51.0,30.0,27.0,28.0,31.0,20.0,100.0,53.0,26.0,27.0,26.0,25.0,100.0,17.0,57.26681127982646
2020-10-14,52.0,21.0,18.0,0.0,0.0,44.0,25.0,30.0,0.0,55.0,60.0,0.0,24.0,0.0,0.0,53.0,0.0,24.0,25.0,0.0,31.164135936370208
2020-10-15,53.0,22.0,55.0,26.0,41.0,23.0,100.0,60.0,54.0,55.0,31.0,0.0,49.0,0.0,25.0,81.0,0.0,25.0,25.0,18.0,53.72378886478669
2020-10-16,27.0,0.0,19.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,11.279826464208242
2020-10-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.4461315979754157
2020-10-18,0.0,48.0,21.0,0.0,23.0,100.0,28.0,100.0,30.0,31.0,35.0,45.0,56.0,0.0,57.0,0.0,0.0,28.0,83.0,0.0,49.530007230657986
2020-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,1.952277657266811
2020-10-20,0.0,0.0,37.0,26.0,21.0,22.0,50.0,0.0,27.0,0.0,31.0,21.0,50.0,27.0,26.0,27.0,26.0,25.0,25.0,18.0,33.18872017353579
2020-10-21,27.0,66.0,37.0,26.0,42.0,46.0,0.0,30.0,56.0,29.0,0.0,21.0,51.0,0.0,0.0,27.0,26.0,25.0,26.0,18.0,39.98553868402024
