date,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-10-05,47.0,61.0,32.0,49.0,45.0,39.0,40.0,38.0,64.0,36.0,43.0,43.0,72.0,70.0,45.0,39.0,50.0,58.0,49.0,63.265306122448976,53.35843623677945
2020-10-06,41.0,28.0,33.0,32.0,23.0,29.0,35.0,24.0,27.0,35.0,51.0,25.0,43.0,39.0,47.0,35.0,54.0,30.0,27.0,35.714285714285715,37.64549532089263
2020-10-07,30.0,24.0,19.0,31.0,30.0,31.0,47.0,19.0,27.0,24.0,29.0,32.0,48.0,45.0,18.0,32.0,39.0,36.0,26.0,44.89795918367347,34.290935267733545
2020-10-08,46.0,52.0,40.0,67.0,51.0,19.0,52.0,48.0,43.0,41.0,49.0,54.0,65.0,74.0,49.0,34.0,45.0,55.0,44.0,77.55102040816327,54.56780552633036
2020-10-09,63.0,47.0,41.0,57.0,50.0,31.0,48.0,34.0,52.0,44.0,51.0,55.0,47.0,67.0,62.0,41.0,58.0,89.0,37.0,55.10204081632653,55.84583864001329
2020-10-10,58.0,69.0,44.0,46.0,48.0,33.0,43.0,48.0,56.0,36.0,46.0,53.0,40.0,59.0,38.0,51.0,26.0,45.0,33.0,46.93877551020408,49.867656016390725
2020-10-11,23.0,37.0,30.0,38.0,26.0,42.0,35.0,30.0,43.0,30.0,32.0,21.0,55.0,29.0,55.0,42.0,72.0,44.0,41.0,60.204081632653065,42.610332798050834
2020-10-12,44.0,58.0,41.0,44.0,50.0,37.0,37.0,52.0,51.0,37.0,54.0,53.0,53.0,51.0,60.0,45.0,45.0,64.0,25.0,43.87755102040816,51.27526441109697
2020-10-13,73.0,47.0,47.0,70.0,61.0,55.0,68.0,68.0,49.0,60.0,58.0,63.0,67.0,82.0,58.0,38.0,72.0,47.0,36.0,59.183673469387756,63.935987596212414
2020-10-14,76.0,54.0,53.0,56.0,55.0,43.0,57.0,47.0,41.0,43.0,40.0,49.0,41.0,57.0,82.0,45.0,53.0,49.0,47.0,76.53061224489795,57.76842571570962
2020-10-15,70.0,70.0,72.0,71.0,52.0,69.0,68.0,61.0,64.0,54.0,57.0,84.0,82.0,77.0,70.0,68.0,45.0,41.0,36.0,57.142857142857146,68.81776399579158
2020-10-16,87.0,51.0,38.0,51.0,72.0,43.0,62.0,59.0,69.0,58.0,67.0,51.0,68.0,96.0,54.0,58.0,65.0,76.0,46.0,67.34693877551021,67.20084168558614
2020-10-17,54.0,42.0,51.0,38.0,68.0,52.0,58.0,32.0,43.0,39.0,50.0,50.0,64.0,62.0,41.0,52.0,56.0,45.0,77.0,46.93877551020408,55.40284622625838
