date,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06,batch_id
2020-01-01,17.0,17.0,16.0,17.0,16.0,17.0,17.0,17.0,17.0,16.0,16.800804828973842,0
2020-01-02,17.0,16.0,16.0,18.0,17.0,16.0,17.0,17.0,19.0,15.0,16.901408450704224,0
2020-01-03,15.0,14.0,16.0,15.0,16.0,17.0,16.0,16.0,17.0,16.0,15.895372233400401,0
2020-01-04,17.0,17.0,16.0,16.0,15.0,16.0,15.0,18.0,17.0,16.0,16.398390342052313,0
2020-01-05,19.0,16.0,18.0,19.0,19.0,18.0,18.0,17.0,18.0,17.0,18.008048289738426,0
2020-01-06,18.0,16.0,16.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.002012072434603,0
2020-01-07,16.0,17.0,18.0,17.0,17.0,16.0,18.0,17.0,18.0,18.0,17.303822937625753,0
2020-01-08,20.0,17.0,17.0,17.0,19.0,19.0,18.0,18.0,16.0,17.0,17.907444668008047,0
2020-01-09,17.0,17.0,15.0,20.0,17.0,18.0,17.0,17.0,18.0,16.0,17.303822937625753,0
2020-01-10,15.0,15.0,16.0,16.0,17.0,15.0,15.0,16.0,17.0,17.0,15.995975855130784,0
2020-01-11,15.0,15.0,14.0,13.0,15.0,16.0,14.0,16.0,15.0,16.0,14.98993963782696,0
2020-01-12,17.0,16.0,15.0,15.0,14.0,16.0,16.0,16.0,17.0,14.0,15.694164989939637,0
2020-01-13,16.0,15.0,17.0,18.0,18.0,18.0,18.0,17.0,19.0,18.0,17.505030181086514,0
2020-01-14,18.0,19.0,18.0,19.0,19.0,17.0,19.0,18.0,21.0,19.0,18.812877263581488,0
2020-01-15,17.0,17.0,16.0,17.0,17.0,16.0,16.0,17.0,17.0,15.0,16.599597585513077,0
2020-01-16,18.0,16.0,17.0,18.0,17.0,18.0,19.0,17.0,17.0,18.0,17.6056338028169,0
2020-01-17,16.0,16.0,17.0,17.0,16.0,16.0,17.0,17.0,16.0,16.0,16.49899396378269,0
2020-01-18,15.0,16.0,14.0,15.0,16.0,15.0,17.0,16.0,15.0,16.0,15.593561368209254,0
2020-01-19,15.0,18.0,15.0,18.0,15.0,15.0,17.0,14.0,15.0,18.0,16.096579476861166,0
2020-01-20,17.0,17.0,19.0,17.0,20.0,19.0,18.0,19.0,18.0,20.0,18.511066398390337,0
2020-01-21,19.0,19.0,20.0,19.0,20.0,19.0,21.0,21.0,19.0,20.0,19.81891348088531,0
2020-01-22,20.0,21.0,20.0,22.0,21.0,21.0,21.0,20.0,22.0,21.0,21.026156941649898,0
2020-01-23,23.0,20.0,20.0,20.0,25.0,23.0,22.0,20.0,20.0,22.0,21.62977867203219,0
