date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-01-29,0.0,9.0,9.0,0.0,10.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0944625407166124
2020-01-30,0.0,18.0,28.0,13.0,20.0,9.0,33.0,25.0,0.0,8.0,0.0,0.0,8.0,30.0,0.0,9.0,27.0,30.0,7.0,9.0,14.87513572204126
2020-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5515743756786105
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8143322475570033
2020-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-03,7.0,8.0,0.0,0.0,9.0,0.0,0.0,11.0,8.0,0.0,8.0,9.0,14.0,13.0,0.0,0.0,12.0,18.0,0.0,8.0,6.7861020629750275
2020-02-04,7.0,9.0,0.0,12.0,10.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,10.0,0.0,0.0,4.180238870792617
2020-02-05,22.0,18.0,19.0,25.0,10.0,17.0,21.0,0.0,0.0,0.0,9.0,0.0,8.0,30.0,7.0,9.0,13.0,30.0,21.0,0.0,14.060803474484256
2020-02-06,0.0,0.0,10.0,13.0,10.0,9.0,0.0,6.0,10.0,0.0,0.0,11.0,0.0,15.0,0.0,9.0,14.0,0.0,7.0,0.0,6.188925081433225
2020-02-07,0.0,0.0,10.0,0.0,11.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,16.0,8.0,0.0,0.0,11.0,7.0,0.0,4.3431053203040175
