,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21_10,/m/01b_21_11,/m/01b_21_12,/m/01b_21_13,/m/01b_21_14,/m/01b_21_15,/m/01b_21_16,/m/01b_21_17,/m/01b_21_18,/m/01b_21_19,/m/01b_21
2020-01-29,64.0,18.0,30.0,25.0,31.0,39.0,58.0,20.0,49.0,55.0,43.0,33.0,26.0,9.0,25.0,35.0,0.0,32.0,35.0,19.0,38.65948533812088
2020-01-30,19.0,38.0,40.0,17.0,33.0,31.0,37.0,30.0,41.0,11.0,27.0,9.0,9.0,26.0,26.0,24.0,60.0,43.0,27.0,20.0,33.99162178336326
2020-01-31,30.0,29.0,11.0,9.0,34.0,32.0,38.0,21.0,31.0,23.0,28.0,18.0,9.0,9.0,9.0,12.0,21.0,12.0,19.0,21.0,24.895272292040694
2020-02-01,10.0,20.0,64.0,27.0,23.0,59.0,38.0,21.0,63.0,24.0,28.0,9.0,28.0,37.0,46.0,63.0,43.0,23.0,38.0,43.0,42.309994015559546
2020-02-02,20.0,40.0,44.0,9.0,23.0,27.0,51.0,11.0,21.0,48.0,28.0,27.0,9.0,37.0,27.0,25.0,54.0,46.0,38.0,32.0,36.92399760622382
2020-02-03,50.0,67.0,27.0,46.0,58.0,23.0,43.0,27.0,36.0,50.0,39.0,31.0,31.0,39.0,15.0,53.0,27.0,48.0,24.0,36.0,46.08019150209456
2020-02-04,47.0,46.0,50.0,42.0,64.0,15.0,47.0,39.0,50.0,43.0,26.0,25.0,52.0,51.0,25.0,35.0,30.0,43.0,44.0,39.0,48.65350089766607
2020-02-05,18.0,27.0,20.0,33.0,42.0,44.0,71.0,20.0,39.0,55.0,9.0,41.0,34.0,25.0,17.0,35.0,20.0,32.0,26.0,40.0,38.77917414721723
2020-02-06,28.0,29.0,31.0,9.0,22.0,41.0,12.0,21.0,41.0,46.0,36.0,35.0,27.0,18.0,35.0,48.0,31.0,45.0,36.0,10.0,35.96648713345302
2020-02-07,10.0,29.0,54.0,27.0,35.0,21.0,13.0,21.0,21.0,12.0,0.0,36.0,28.0,37.0,0.0,0.0,43.0,11.0,48.0,11.0,27.34889287851586
