,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-02-29,13.0,100.0,18.0,61.0,0.0,18.0,36.0,59.0,36.0,38.0,23.0,18.0,83.0,63.0,47.0,40.0,53.0,22.0,26.0,73.0,55.7277628032345
2020-03-01,12.0,32.0,18.0,39.0,0.0,0.0,17.0,18.0,35.0,18.0,22.0,18.0,60.0,15.0,15.0,19.0,17.0,0.0,42.0,0.0,26.75202156334232
2020-03-02,0.0,15.0,0.0,36.0,15.0,33.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,18.0,16.0,19.0,15.0,33.0,15.49865229110512
2020-03-03,36.0,61.0,17.0,93.0,47.0,67.0,17.0,36.0,68.0,52.0,21.0,50.0,19.0,14.0,14.0,56.0,48.0,60.0,24.0,50.0,57.277628032345014
2020-03-04,67.0,71.0,80.0,53.0,43.0,95.0,47.0,33.0,47.0,100.0,39.0,79.0,54.0,82.0,27.0,87.0,76.0,56.0,59.0,63.0,84.77088948787062
2020-03-05,12.0,15.0,16.0,18.0,59.0,81.0,32.0,69.0,81.0,68.0,40.0,81.0,0.0,28.0,28.0,72.0,15.0,57.0,38.0,47.0,57.74932614555256
2020-03-06,12.0,30.0,0.0,0.0,15.0,34.0,0.0,18.0,0.0,35.0,11.0,33.0,0.0,0.0,0.0,19.0,32.0,0.0,0.0,0.0,16.10512129380054
2020-03-07,0.0,17.0,18.0,60.0,49.0,18.0,53.0,57.0,36.0,38.0,0.0,36.0,40.0,31.0,15.0,60.0,70.0,43.0,25.0,18.0,46.091644204851754
2020-03-08,12.0,15.0,17.0,0.0,31.0,17.0,16.0,18.0,17.0,17.0,31.0,51.0,37.0,14.0,14.0,37.0,32.0,39.0,16.0,33.0,31.266846361185983
2020-03-09,11.0,28.0,16.0,17.0,14.0,0.0,31.0,16.0,16.0,0.0,20.0,0.0,35.0,14.0,27.0,34.0,30.0,37.0,15.0,31.0,26.415094339622645
