date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-01-29,33.0,24.0,0.0,0.0,0.0,43.0,39.0,21.0,0.0,0.0,0.0,15.0,0.0,0.0,19.0,0.0,0.0,16.0,0.0,19.0,13.989004276114844
2020-01-30,35.0,25.0,30.0,0.0,0.0,44.0,40.0,45.0,43.0,73.0,34.0,44.0,30.0,17.0,20.0,61.0,74.0,34.0,59.0,63.0,47.09835064141723
2020-01-31,0.0,12.0,15.0,0.0,16.0,0.0,41.0,0.0,28.0,24.0,0.0,15.0,16.0,17.0,20.0,0.0,0.0,17.0,20.0,42.0,17.287721441661578
2020-02-01,18.0,13.0,30.0,0.0,0.0,45.0,41.0,22.0,0.0,24.0,0.0,15.0,32.0,18.0,40.0,0.0,49.0,35.0,40.0,0.0,25.778863775198534
2020-02-02,0.0,37.0,30.0,20.0,31.0,44.0,41.0,22.0,14.0,23.0,34.0,15.0,15.0,34.0,40.0,0.0,47.0,34.0,20.0,21.0,31.887599266951742
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,52.0,0.0,0.0,20.0,16.0,0.0,0.0,21.0,14.0,0.0,32.0,30.0,15.0,17.0,0.0,39.0,0.0,17.0,19.0,20.0,19.059254734270006
2020-02-05,0.0,12.0,0.0,20.0,16.0,0.0,41.0,43.0,14.0,24.0,16.0,0.0,0.0,35.0,40.0,0.0,24.0,0.0,0.0,0.0,17.409896151496643
2020-02-06,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,21.0,25.0,18.0,0.0,0.0,11.056811240073307
2020-02-07,0.0,0.0,16.0,21.0,17.0,23.0,41.0,45.0,15.0,0.0,0.0,0.0,0.0,18.0,41.0,0.0,0.0,18.0,21.0,0.0,16.86010995723885
