date,/m/0m7pl_0,/m/0m7pl_1,/m/0m7pl_2,/m/0m7pl_3,/m/0m7pl_4,/m/0m7pl_5,/m/0m7pl_6,/m/0m7pl_7,/m/0m7pl_8,/m/0m7pl_9,/m/0m7pl,batch_id
2020-02-28,1.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,1.0,3.0,1.4,0
2020-02-29,1.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,2.0,1.1,0
2020-03-01,1.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,1.1,0
2020-03-02,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.7,0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.5,0
2020-03-04,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0
2020-03-05,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.5,0
2020-03-06,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0
2020-03-07,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.7,0
2020-03-08,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.6,0
2020-03-09,3.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.2,0
2020-03-10,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.9,0
2020-03-11,1.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.3,0
2020-03-12,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,1.3,0
2020-03-13,5.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,3.2,0
2020-03-14,6.0,5.0,4.0,3.0,2.0,4.0,1.0,1.0,3.0,8.0,3.7,0
2020-03-15,4.0,7.0,7.0,5.0,4.0,5.0,9.0,6.0,3.0,0.0,5.0,0
2020-03-16,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,3.6,0
2020-03-17,6.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,6.0,8.0,4.5,0
2020-03-18,6.0,7.0,4.0,7.0,7.0,7.0,5.0,7.0,5.0,6.0,6.1,0
2020-03-19,4.0,6.0,2.0,4.0,4.0,8.0,6.0,3.0,6.0,4.0,4.7,0
2020-03-20,10.0,12.0,10.0,9.0,9.0,14.0,11.0,10.0,8.0,7.0,10.0,0
2020-03-21,40.0,38.0,43.0,51.0,40.0,49.0,48.0,47.0,33.0,50.0,43.9,0
2020-03-22,43.0,31.0,45.0,40.0,39.0,42.0,52.0,39.0,46.0,47.0,42.4,0
2020-03-23,44.0,28.0,48.0,43.0,53.0,43.0,53.0,39.0,52.0,50.0,45.3,0
2020-03-24,29.0,30.0,34.0,27.0,27.0,28.0,19.0,24.0,33.0,25.0,27.6,0
2020-03-25,29.0,21.0,32.0,34.0,30.0,27.0,32.0,27.0,32.0,22.0,28.6,0
2020-03-26,32.0,24.0,26.0,34.0,33.0,33.0,41.0,29.0,24.0,26.0,30.2,0
2020-03-27,27.0,17.0,23.0,17.0,27.0,28.0,30.0,22.0,20.0,23.0,23.4,0
2020-03-28,23.0,24.0,28.0,29.0,35.0,33.0,28.0,31.0,30.0,33.0,29.4,0
2020-03-29,40.0,38.0,38.0,43.0,37.0,38.0,42.0,31.0,40.0,49.0,39.6,0
2020-03-30,25.0,23.0,32.0,27.0,29.0,33.0,32.0,27.0,30.0,34.0,29.2,0
2020-03-31,24.0,18.0,27.0,22.0,30.0,17.0,16.0,23.0,23.0,24.0,22.4,0
2020-04-01,18.0,19.0,21.0,24.0,19.0,22.0,31.0,24.0,20.0,29.0,22.7,0
2020-04-02,19.0,18.0,21.0,15.0,16.0,17.0,23.0,16.0,17.0,23.0,18.5,0
2020-04-03,10.0,13.0,16.0,19.0,17.0,11.0,13.0,20.0,21.0,22.0,16.2,0
2020-04-04,15.0,14.0,22.0,15.0,20.0,25.0,20.0,15.0,20.0,14.0,18.0,0
2020-04-05,15.0,13.0,11.0,15.0,14.0,16.0,18.0,13.0,16.0,11.0,14.2,0
2020-04-06,14.0,17.0,11.0,9.0,10.0,12.0,7.0,10.0,15.0,11.0,11.6,0
2020-04-07,6.0,8.0,11.0,10.0,7.0,8.0,8.0,5.0,10.0,11.0,8.4,0
2020-04-08,6.0,9.0,8.0,9.0,10.0,15.0,12.0,11.0,12.0,12.0,10.4,0
2020-04-09,8.0,7.0,7.0,8.0,9.0,9.0,11.0,7.0,15.0,10.0,9.1,0
2020-04-10,5.0,6.0,10.0,7.0,8.0,7.0,10.0,5.0,7.0,8.0,7.3,0
2020-04-11,7.0,10.0,9.0,6.0,5.0,7.0,11.0,7.0,7.0,9.0,7.8,0
2020-04-12,7.0,6.0,6.0,9.0,8.0,8.0,8.0,6.0,8.0,9.0,7.5,0
2020-04-13,6.0,6.0,8.0,7.0,7.0,4.0,7.0,8.0,8.0,10.0,7.1,0
2020-04-14,4.0,6.0,9.0,9.0,8.0,7.0,8.0,3.0,7.0,11.0,7.2,0
2020-04-15,4.0,3.0,7.0,5.0,4.0,6.0,3.0,7.0,8.0,7.0,5.4,0
2020-04-16,6.0,4.0,4.0,8.0,6.0,4.0,8.0,8.0,8.0,7.0,6.3,0
2020-04-17,8.0,4.0,6.0,12.0,6.0,9.0,6.0,8.0,6.0,10.0,7.5,0
2020-04-18,5.0,6.0,3.0,5.0,8.0,9.0,3.0,4.0,5.0,7.0,5.5,0
2020-04-19,9.0,7.0,7.0,7.0,7.0,6.0,6.0,9.0,7.0,6.0,7.1,0
2020-04-20,5.0,3.0,4.0,8.0,6.0,4.0,6.0,5.0,4.0,3.0,4.8,0
2020-04-21,6.0,4.0,6.0,5.0,5.0,3.0,6.0,7.0,6.0,4.0,5.2,0
2020-04-22,5.0,8.0,7.0,8.0,9.0,9.0,10.0,7.0,8.0,7.0,7.8,0
2020-04-23,3.0,2.0,3.0,1.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,0
2020-04-24,4.0,4.0,4.0,9.0,10.0,4.0,7.0,5.0,9.0,8.0,6.4,0
2020-04-25,2.0,4.0,4.0,6.0,7.0,8.0,4.0,7.0,4.0,3.0,4.9,0
2020-04-26,1.0,5.0,6.0,5.0,7.0,8.0,2.0,8.0,5.0,7.0,5.4,0
2020-04-27,2.0,4.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,3.1,0
2020-04-28,5.0,5.0,4.0,5.0,6.0,3.0,5.0,6.0,4.0,5.0,4.8,0
2020-04-29,4.0,4.0,5.0,3.0,2.0,3.0,4.0,3.0,2.0,5.0,3.5,0
2020-04-30,4.0,4.0,5.0,6.0,2.0,4.0,3.0,2.0,5.0,4.0,3.9,0
2020-05-01,1.0,3.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,2.8,0
2020-05-02,3.0,5.0,5.0,4.0,5.0,7.0,6.0,4.0,2.0,3.0,4.4,0
2020-05-03,17.0,6.0,10.0,9.0,13.0,12.0,13.0,12.0,14.0,13.0,11.9,0
2020-05-04,4.0,1.0,4.0,7.0,5.0,2.0,3.0,2.0,4.0,2.0,3.4,0
2020-05-05,1.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0
2020-05-06,4.0,4.0,7.0,7.0,5.0,3.0,5.0,3.0,4.0,7.0,4.9,0
2020-05-07,2.0,3.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,2.0,1.9,0
2020-05-08,3.0,5.0,4.0,8.0,5.0,4.0,7.0,4.0,8.0,5.0,5.3,0
2020-05-09,3.0,6.0,1.0,3.0,6.0,6.0,3.0,3.0,3.0,7.0,4.1,0
2020-05-10,5.0,3.0,4.0,2.0,5.0,4.0,3.0,3.0,1.0,2.0,3.2,0
2020-05-11,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.5,0
2020-05-12,2.0,3.0,1.0,2.0,4.0,1.0,4.0,2.0,4.0,3.0,2.6,0
2020-05-13,6.0,4.0,6.0,3.0,3.0,3.0,3.0,6.0,3.0,5.0,4.2,0
2020-05-14,6.0,7.0,5.0,7.0,6.0,9.0,5.0,7.0,9.0,4.0,6.5,0
2020-05-15,3.0,2.0,5.0,4.0,6.0,3.0,6.0,3.0,4.0,4.0,4.0,0
2020-05-16,1.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,4.0,2.0,2.1,0
2020-05-17,5.0,1.0,1.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,2.9,0
2020-05-18,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0
2020-05-19,20.0,16.0,15.0,22.0,15.0,15.0,21.0,16.0,17.0,22.0,17.9,0
2020-05-20,3.0,10.0,4.0,8.0,6.0,8.0,4.0,5.0,3.0,5.0,5.6,0
2020-05-21,3.0,4.0,4.0,4.0,8.0,4.0,2.0,3.0,5.0,9.0,4.6,0
2020-05-22,6.0,6.0,7.0,4.0,7.0,9.0,6.0,7.0,10.0,8.0,7.0,0
2020-05-23,4.0,3.0,4.0,4.0,3.0,4.0,6.0,5.0,5.0,6.0,4.4,0
2020-05-24,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,2.5,0
2020-05-25,0.0,3.0,4.0,3.0,3.0,2.0,3.0,0.0,4.0,5.0,2.7,0
2020-05-26,3.0,2.0,5.0,9.0,3.0,1.0,6.0,1.0,4.0,10.0,4.4,0
2020-05-27,4.0,4.0,3.0,2.0,6.0,5.0,3.0,6.0,6.0,1.0,4.0,0
2020-05-28,3.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,0.0,4.0,2.9,0
2020-05-29,4.0,2.0,3.0,6.0,6.0,2.0,4.0,2.0,3.0,8.0,4.0,0
2020-05-30,3.0,1.0,6.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.5,0
2020-05-31,3.0,2.0,6.0,2.0,2.0,5.0,2.0,1.0,2.0,3.0,2.8,0
2020-06-01,1.0,4.0,3.0,2.0,5.0,3.0,2.0,3.0,3.0,2.0,2.8,0
2020-06-02,1.0,1.0,2.0,3.0,2.0,2.0,5.0,3.0,2.0,3.0,2.4,0
2020-06-03,4.0,2.0,7.0,9.0,6.0,2.0,4.0,8.0,7.0,6.0,5.5,0
2020-06-04,0.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.5,0
2020-06-05,4.0,2.0,4.0,2.0,3.0,4.0,3.0,5.0,5.0,1.0,3.3,0
2020-06-06,3.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.2,0
2020-06-07,4.0,2.0,3.0,2.0,3.0,4.0,1.0,4.0,2.0,3.0,2.8,0
2020-06-08,3.0,3.0,2.0,4.0,4.0,5.0,7.0,4.0,3.0,4.0,3.9,0
2020-06-09,6.0,2.0,4.0,6.0,4.0,2.0,4.0,4.0,5.0,4.0,4.1,0
2020-06-10,4.0,1.0,4.0,5.0,3.0,4.0,6.0,2.0,6.0,3.0,3.8,0
2020-06-11,2.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,4.0,2.0,2.4,0
2020-06-12,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,4.0,2.1,0
2020-06-13,4.0,2.0,5.0,3.0,4.0,5.0,3.0,4.0,1.0,1.0,3.2,0
2020-06-14,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.4,0
2020-06-15,2.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,4.0,5.0,2.9,0
2020-06-16,2.0,2.0,3.0,4.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,0
2020-06-17,4.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,5.0,3.0,0
2020-06-18,2.0,2.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,2.3,0
2020-06-19,2.0,2.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,1.0,2.5,0
2020-06-20,0.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,3.0,1.0,2.4,0
2020-06-21,2.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.6,0
2020-06-22,2.0,2.0,2.0,4.0,1.0,4.0,4.0,2.0,4.0,3.0,2.8,0
2020-06-23,2.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,1.0,2.0,2.4,0
2020-06-24,1.0,4.0,2.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,2.5,0
2020-06-25,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0
2020-06-26,10.0,11.0,6.0,7.0,5.0,8.0,9.0,6.0,10.0,9.0,8.1,0
2020-06-27,3.0,4.0,5.0,6.0,6.0,5.0,5.0,4.0,6.0,6.0,5.0,0
2020-06-28,5.0,2.0,4.0,4.0,3.0,7.0,4.0,8.0,3.0,5.0,4.5,0
2020-06-29,2.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,3.0,3.0,0
2020-06-30,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,1.2,0
2020-07-01,0.0,1.0,2.0,3.0,4.0,3.0,4.0,1.0,1.0,0.0,1.9,0
2020-07-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,1.1,0
2020-07-03,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.1,0
2020-07-04,3.0,1.0,5.0,2.0,5.0,5.0,3.0,4.0,4.0,3.0,3.5,0
2020-07-05,1.0,3.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,2.3,0
2020-07-06,2.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.9,0
2020-07-07,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.5,0
2020-07-08,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,3.0,5.0,2.4,0
2020-07-09,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,0.9,0
2020-07-10,4.0,0.0,2.0,1.0,1.0,4.0,1.0,0.0,3.0,2.0,1.8,0
2020-07-11,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.6,0
2020-07-12,3.0,1.0,3.0,8.0,3.0,4.0,2.0,4.0,0.0,2.0,3.0,0
2020-07-13,2.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,1.0,2.0,1.4,0
2020-07-14,3.0,5.0,4.0,3.0,6.0,4.0,1.0,2.0,4.0,3.0,3.5,0
2020-07-15,1.0,3.0,0.0,3.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,0
2020-07-16,2.0,0.0,3.0,1.0,3.0,4.0,2.0,1.0,3.0,4.0,2.3,0
2020-07-17,1.0,2.0,4.0,4.0,2.0,0.0,2.0,2.0,2.0,4.0,2.3,0
2020-07-18,3.0,3.0,1.0,4.0,3.0,1.0,2.0,4.0,3.0,2.0,2.6,0
2020-07-19,3.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,0
2020-07-20,0.0,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,5.0,2.0,0
2020-07-21,2.0,1.0,2.0,2.0,1.0,2.0,4.0,3.0,0.0,1.0,1.8,0
2020-07-22,2.0,2.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,1.0,1.5,0
2020-07-23,1.0,2.0,3.0,3.0,2.0,0.0,1.0,4.0,2.0,4.0,2.2,0
2020-07-24,2.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.1,0
2020-07-25,3.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0
2020-07-26,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.1,0
2020-07-27,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.9,0
2020-07-28,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,1.8,0
2020-07-29,5.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,2.6,0
2020-07-30,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.6,0
2020-07-31,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.8,0
2020-08-01,0.0,2.0,2.0,0.0,2.0,2.0,1.0,2.0,3.0,1.0,1.5,0
2020-08-02,2.0,0.0,1.0,1.0,2.0,3.0,2.0,0.0,1.0,1.0,1.3,0
2020-08-03,3.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,3.0,2.0,2.3,0
2020-08-04,4.0,2.0,1.0,3.0,2.0,3.0,3.0,4.0,5.0,1.0,2.8,0
