date,/m/0cjf0,isPartial
2020-03-01,34,False
2020-03-02,32,False
2020-03-03,27,False
2020-03-04,29,False
2020-03-05,27,False
2020-03-06,27,False
2020-03-07,30,False
2020-03-08,25,False
2020-03-09,27,False
2020-03-10,46,False
2020-03-11,44,False
2020-03-12,65,False
2020-03-13,79,False
2020-03-14,76,False
2020-03-15,100,False
2020-03-16,89,False
2020-03-17,85,False
2020-03-18,83,False
2020-03-19,67,False
2020-03-20,75,False
2020-03-21,68,False
2020-03-22,60,False
2020-03-23,44,False
2020-03-24,48,False
2020-03-25,35,False
2020-03-26,40,False
2020-03-27,40,False
2020-03-28,46,False
2020-03-29,38,False
2020-03-30,36,False
2020-03-31,39,False
2020-04-01,34,False
2020-04-02,31,False
2020-04-03,31,False
2020-04-04,29,False
2020-04-05,30,False
2020-04-06,30,False
2020-04-07,19,False
2020-04-08,27,False
2020-04-09,31,False
2020-04-10,20,False
2020-04-11,19,False
2020-04-12,21,False
2020-04-13,21,False
2020-04-14,23,False
2020-04-15,18,False
2020-04-16,17,False
