,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-10-05,77.0,76.0,79.0,89.0,89.0,65.0,86.0,80.0,75.0,65.0,62.0,82.0,79.0,81.0,77.0,80.0,85.0,73.0,77.0,83.0,83.15565031982943
2020-10-06,99.0,87.0,65.0,77.0,93.0,80.0,73.0,74.0,65.0,83.0,83.0,84.0,79.0,73.0,63.0,69.0,70.0,70.0,71.0,69.0,81.39658848614071
2020-10-07,81.0,74.0,90.0,73.0,80.0,77.0,82.0,63.0,82.0,63.0,65.0,75.0,74.0,79.0,66.0,75.0,76.0,77.0,74.0,70.0,79.74413646055437
2020-10-08,98.0,79.0,84.0,78.0,88.0,80.0,79.0,81.0,80.0,81.0,76.0,84.0,89.0,71.0,79.0,81.0,90.0,78.0,68.0,82.0,86.67377398720683
2020-10-09,69.0,57.0,69.0,83.0,89.0,59.0,75.0,69.0,80.0,65.0,61.0,81.0,70.0,76.0,67.0,81.0,68.0,65.0,85.0,75.0,76.97228144989339
2020-10-10,80.0,90.0,77.0,87.0,71.0,86.0,71.0,78.0,83.0,68.0,70.0,83.0,90.0,83.0,81.0,77.0,90.0,81.0,92.0,76.0,86.03411513859275
2020-10-11,85.0,83.0,85.0,80.0,92.0,69.0,77.0,68.0,94.0,87.0,71.0,84.0,88.0,81.0,85.0,74.0,81.0,75.0,100.0,89.0,87.84648187633263
2020-10-12,93.0,87.0,64.0,95.0,92.0,78.0,91.0,79.0,80.0,86.0,87.0,91.0,78.0,75.0,86.0,85.0,92.0,100.0,77.0,92.0,91.04477611940298
2020-10-13,87.0,90.0,77.0,96.0,82.0,76.0,76.0,90.0,76.0,85.0,71.0,75.0,83.0,76.0,90.0,84.0,100.0,93.0,84.0,100.0,90.13859275053305
2020-10-14,79.0,72.0,84.0,73.0,86.0,66.0,77.0,65.0,71.0,72.0,69.0,83.0,75.0,62.0,78.0,65.0,78.0,78.0,82.0,80.0,79.6908315565032
2020-10-15,89.0,100.0,91.0,98.0,97.0,100.0,80.0,100.0,92.0,88.0,97.0,82.0,89.0,100.0,94.0,100.0,97.0,96.0,90.0,96.0,100.0
2020-10-16,83.0,60.0,66.0,83.0,85.0,69.0,69.0,64.0,68.0,70.0,60.0,80.0,74.0,76.0,63.0,77.0,73.0,82.0,86.0,78.0,78.14498933901919
