date,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty,batch_id
2020-02-22,14.0,0.0,32.0,28.0,14.0,15.0,19.0,0.0,26.0,0.0,19.096774193548388,0.0
2020-02-23,14.0,13.0,31.0,14.0,14.0,0.0,18.0,0.0,12.0,14.0,16.774193548387096,0.0
2020-02-24,12.0,0.0,27.0,24.0,0.0,38.0,16.0,11.0,0.0,12.0,18.06451612903226,0.0
2020-02-25,46.0,11.0,26.0,23.0,36.0,12.0,46.0,21.0,31.0,12.0,34.064516129032256,0.0
2020-02-26,35.0,11.0,27.0,0.0,24.0,13.0,0.0,0.0,0.0,24.0,17.29032258064516,0.0
2020-02-27,35.0,34.0,13.0,47.0,0.0,25.0,16.0,31.0,22.0,36.0,33.41935483870968,0.0
2020-02-28,0.0,0.0,14.0,12.0,0.0,27.0,17.0,11.0,0.0,13.0,12.129032258064516,0.0
2020-02-29,13.0,27.0,15.0,0.0,14.0,29.0,0.0,24.0,25.0,14.0,20.7741935483871,0.0
2020-03-01,26.0,38.0,45.0,26.0,27.0,29.0,35.0,12.0,24.0,13.0,35.483870967741936,0.0
2020-03-02,56.0,11.0,64.0,34.0,59.0,0.0,45.0,61.0,31.0,23.0,49.54838709677419,0.0
2020-03-03,11.0,22.0,25.0,11.0,12.0,12.0,30.0,40.0,20.0,23.0,26.580645161290324,0.0
2020-03-04,23.0,11.0,13.0,23.0,12.0,0.0,15.0,0.0,0.0,0.0,12.516129032258062,0.0
2020-03-05,35.0,23.0,67.0,12.0,37.0,25.0,48.0,32.0,64.0,48.0,50.45161290322581,0.0
2020-03-06,73.0,60.0,83.0,37.0,88.0,26.0,65.0,55.0,33.0,25.0,70.3225806451613,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,15.0,19.0,0.0,0.0,0.0,4.387096774193548,0.0
2020-03-08,65.0,51.0,44.0,13.0,40.0,28.0,53.0,35.0,0.0,27.0,45.935483870967744,0.0
2020-03-09,22.0,32.0,25.0,0.0,58.0,36.0,44.0,39.0,30.0,11.0,38.32258064516129,0.0
2020-03-10,11.0,32.0,62.0,22.0,34.0,47.0,73.0,59.0,59.0,55.0,58.58064516129032,0.0
2020-03-11,85.0,42.0,61.0,33.0,22.0,46.0,72.0,68.0,59.0,22.0,65.80645161290323,0.0
2020-03-12,42.0,31.0,0.0,42.0,22.0,69.0,29.0,47.0,48.0,11.0,44.0,0.0
2020-03-13,23.0,11.0,13.0,56.0,36.0,37.0,0.0,10.0,10.0,23.0,28.258064516129032,0.0
2020-03-14,66.0,64.0,15.0,53.0,82.0,58.0,70.0,35.0,36.0,67.0,70.45161290322581,0.0
2020-03-15,86.0,73.0,100.0,100.0,77.0,67.0,66.0,99.0,56.0,51.0,100.0,0.0
2020-03-16,53.0,52.0,72.0,64.0,44.0,80.0,85.0,38.0,38.0,54.0,74.83870967741936,0.0
2020-03-17,63.0,31.0,47.0,42.0,55.0,80.0,56.0,28.0,38.0,32.0,60.903225806451616,0.0
2020-03-18,32.0,31.0,24.0,11.0,11.0,23.0,43.0,19.0,38.0,22.0,32.774193548387096,0.0
2020-03-19,21.0,31.0,61.0,43.0,56.0,58.0,43.0,19.0,19.0,22.0,48.12903225806451,0.0
2020-03-20,32.0,10.0,74.0,11.0,23.0,47.0,15.0,19.0,19.0,22.0,35.096774193548384,0.0
2020-03-21,13.0,40.0,15.0,41.0,42.0,44.0,91.0,36.0,37.0,82.0,56.903225806451616,0.0
2020-03-22,100.0,49.0,43.0,50.0,52.0,54.0,33.0,56.0,34.0,64.0,69.03225806451613,0.0
2020-03-23,19.0,0.0,33.0,19.0,20.0,53.0,52.0,17.0,44.0,49.0,39.483870967741936,0.0
2020-03-24,51.0,40.0,35.0,61.0,31.0,44.0,83.0,18.0,37.0,41.0,56.903225806451616,0.0
2020-03-25,30.0,20.0,47.0,41.0,53.0,22.0,69.0,100.0,37.0,52.0,60.774193548387096,0.0
2020-03-26,21.0,10.0,12.0,0.0,11.0,11.0,14.0,0.0,10.0,11.0,12.903225806451612,0.0
2020-03-27,20.0,20.0,0.0,0.0,0.0,33.0,14.0,9.0,0.0,10.0,13.67741935483871,0.0
2020-03-28,25.0,37.0,71.0,38.0,26.0,27.0,51.0,46.0,23.0,26.0,47.74193548387097,0.0
2020-03-29,0.0,12.0,0.0,37.0,52.0,54.0,17.0,22.0,11.0,0.0,26.451612903225808,0.0
2020-03-30,31.0,10.0,12.0,21.0,32.0,34.0,27.0,27.0,28.0,21.0,31.35483870967742,0.0
2020-03-31,30.0,30.0,46.0,40.0,21.0,32.0,53.0,54.0,37.0,41.0,49.54838709677419,0.0
2020-04-01,20.0,0.0,12.0,20.0,10.0,11.0,14.0,18.0,18.0,0.0,15.870967741935484,0.0
2020-04-02,0.0,10.0,12.0,10.0,0.0,22.0,28.0,0.0,0.0,0.0,10.58064516129032,0.0
2020-04-03,32.0,63.0,25.0,22.0,22.0,12.0,29.0,19.0,10.0,11.0,31.61290322580645,0.0
2020-04-04,13.0,13.0,0.0,0.0,0.0,42.0,52.0,23.0,12.0,26.0,23.354838709677423,0.0
2020-04-05,26.0,0.0,29.0,0.0,13.0,28.0,0.0,0.0,0.0,13.0,14.064516129032258,0.0
2020-04-06,24.0,12.0,13.0,0.0,25.0,13.0,31.0,11.0,11.0,24.0,21.16129032258064,0.0
2020-04-07,24.0,12.0,14.0,24.0,25.0,39.0,0.0,22.0,0.0,24.0,23.741935483870964,0.0
2020-04-08,0.0,0.0,0.0,0.0,0.0,12.0,0.0,10.0,10.0,0.0,4.129032258064516,0.0
2020-04-09,26.0,26.0,44.0,0.0,13.0,28.0,0.0,0.0,0.0,0.0,17.677419354838708,0.0
2020-04-10,0.0,13.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,13.0,5.161290322580645,0.0
2020-04-11,12.0,35.0,0.0,0.0,24.0,13.0,16.0,11.0,11.0,12.0,17.29032258064516,0.0
2020-04-12,25.0,49.0,43.0,25.0,26.0,27.0,17.0,33.0,23.0,25.0,37.80645161290322,0.0
2020-04-13,0.0,12.0,14.0,12.0,25.0,13.0,0.0,0.0,11.0,0.0,11.225806451612902,0.0
2020-04-14,30.0,30.0,23.0,20.0,11.0,33.0,41.0,18.0,37.0,20.0,33.935483870967744,0.0
2020-04-15,31.0,40.0,58.0,41.0,43.0,45.0,14.0,28.0,47.0,21.0,47.48387096774193,0.0
2020-04-16,31.0,0.0,35.0,10.0,0.0,11.0,14.0,19.0,10.0,21.0,19.483870967741936,0.0
2020-04-17,32.0,11.0,0.0,22.0,11.0,47.0,43.0,29.0,0.0,11.0,26.580645161290324,0.0
