,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-12-11,15.0,85.0,21.0,31.0,42.0,44.0,22.0,38.0,15.0,41.48936170212766,42.857142857142854,24.705882352941178,32.0,57.30337078651685,0.0,67.0,17.391304347826086,25.454545454545453,20.0,81.0,55.54934634485983
2020-12-12,33.0,23.0,22.0,0.0,22.0,0.0,0.0,0.0,16.0,0.0,45.714285714285715,25.88235294117647,17.0,20.224719101123597,34.42622950819672,24.0,18.47826086956522,0.0,22.0,17.0,26.20749933270145
2020-12-13,17.0,46.0,0.0,34.0,0.0,72.0,23.0,41.0,33.0,22.340425531914892,22.857142857142858,0.0,0.0,60.674157303370784,0.0,24.0,36.95652173913044,56.36363636363637,0.0,17.0,38.93459662488153
2020-12-14,15.0,62.0,60.0,30.0,100.0,64.0,83.0,37.0,59.0,60.638297872340424,41.42857142857143,69.41176470588235,46.0,17.97752808988764,31.147540983606557,87.0,32.608695652173914,50.90909090909091,38.0,15.0,76.92601960173724
2020-12-15,15.0,21.0,21.0,15.0,0.0,0.0,43.0,38.0,0.0,41.48936170212766,0.0,0.0,32.0,38.20224719101124,63.9344262295082,0.0,33.69565217391305,52.72727272727273,20.0,16.0,34.693186277371396
2020-12-16,46.0,42.0,21.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,19.10112359550562,0.0,0.0,17.391304347826086,0.0,59.0,32.0,19.343961350726506
2020-12-17,48.0,55.0,43.0,48.0,43.0,46.0,45.0,100.0,16.0,87.23404255319149,44.285714285714285,100.0,100.0,78.65168539325843,100.0,94.0,17.391304347826086,54.54545454545455,82.0,98.0,100.0
2020-12-18,0.0,0.0,69.0,34.0,23.0,24.0,47.0,42.0,17.0,0.0,47.142857142857146,27.058823529411764,0.0,0.0,70.49180327868852,0.0,18.47826086956522,29.09090909090909,0.0,0.0,34.47887287561074
2020-12-19,18.0,50.0,25.0,0.0,25.0,52.0,0.0,23.0,0.0,24.46808510638298,25.714285714285715,28.235294117647058,19.0,0.0,0.0,53.0,19.565217391304348,30.90909090909091,23.0,0.0,32.06594442507374
2020-12-20,19.0,0.0,26.0,0.0,0.0,0.0,27.0,47.0,19.0,25.53191489361702,25.714285714285715,0.0,0.0,23.59550561797753,39.34426229508197,28.0,20.652173913043477,32.72727272727273,49.0,40.0,32.50232671369066
2020-12-21,0.0,69.0,46.0,17.0,45.0,24.0,24.0,21.0,33.0,0.0,0.0,25.88235294117647,18.0,20.224719101123597,0.0,0.0,36.95652173913044,0.0,22.0,52.0,34.925061882416266
2020-12-22,17.0,23.0,47.0,34.0,47.0,74.0,24.0,21.0,34.0,46.808510638297875,71.42857142857143,27.058823529411764,18.0,0.0,72.1311475409836,0.0,18.47826086956522,0.0,0.0,35.0,46.911888831934334
2020-12-23,36.0,25.0,24.0,18.0,49.0,52.0,100.0,45.0,36.0,48.93617021276596,50.0,28.235294117647058,37.0,22.471910112359552,37.704918032786885,26.0,0.0,92.72727272727273,23.0,19.0,59.23165199144291
2020-12-24,0.0,0.0,0.0,21.0,0.0,0.0,0.0,26.0,0.0,28.72340425531915,28.571428571428573,0.0,0.0,0.0,44.26229508196721,0.0,0.0,0.0,0.0,0.0,11.426520329624546
2020-12-25,0.0,63.0,93.0,46.0,62.0,100.0,32.0,57.0,0.0,63.829787234042556,95.71428571428571,36.470588235294116,72.0,56.17977528089887,96.72131147540983,100.0,100.0,40.0,30.0,24.0,89.83219603790816
2020-12-26,0.0,60.0,59.0,0.0,0.0,0.0,0.0,55.0,43.0,29.78723404255319,60.0,34.11764705882353,45.0,0.0,45.90163934426229,64.0,96.73913043478261,38.18181818181818,56.0,68.0,58.05112746838352
2020-12-27,80.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,27.659574468085108,28.571428571428573,31.764705882352942,0.0,100.0,42.622950819672134,0.0,0.0,0.0,26.0,63.0,36.58300588595759
2020-12-28,37.0,38.0,0.0,18.0,0.0,0.0,0.0,0.0,36.0,0.0,25.714285714285715,29.41176470588235,19.0,22.471910112359552,0.0,27.0,40.21739130434783,30.90909090909091,47.0,38.0,31.43772513642727
2020-12-29,37.0,50.0,98.0,55.0,25.0,26.0,26.0,45.0,18.0,24.46808510638298,75.71428571428571,29.41176470588235,19.0,68.53932584269663,39.34426229508197,80.0,60.869565217391305,30.90909090909091,95.0,58.0,73.93664457763559
2020-12-30,19.0,26.0,26.0,38.0,0.0,27.0,27.0,0.0,19.0,0.0,0.0,29.41176470588235,20.0,46.06741573033708,0.0,28.0,0.0,0.0,24.0,0.0,25.34244304827892
2020-12-31,40.0,28.0,28.0,21.0,0.0,0.0,58.0,0.0,40.0,27.659574468085108,28.571428571428573,96.47058823529412,21.0,24.719101123595507,42.622950819672134,30.0,22.82608695652174,69.0909090909091,52.0,21.0,50.06972794279731
2021-01-01,22.0,30.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,26.96629213483146,45.90163934426229,32.0,48.91304347826087,0.0,85.0,23.0,26.21173950463169
2021-01-02,39.0,28.0,27.0,20.0,27.0,29.0,0.0,0.0,20.0,0.0,27.142857142857142,31.764705882352942,21.0,24.719101123595507,0.0,30.0,44.56521739130435,34.54545454545455,0.0,0.0,31.054133474126804
2021-01-03,37.0,52.0,77.0,19.0,26.0,28.0,27.0,47.0,19.0,52.12765957446808,78.57142857142857,89.41176470588235,59.0,23.59550561797753,78.68852459016394,83.0,20.652173913043477,96.36363636363636,24.0,0.0,72.10251366194953
2021-01-04,0.0,22.0,21.0,16.0,0.0,23.0,0.0,19.0,0.0,21.27659574468085,21.428571428571427,24.705882352941178,33.0,38.20224719101124,0.0,0.0,0.0,27.272727272727273,20.0,16.0,23.296985876078413
2021-01-05,0.0,22.0,0.0,0.0,42.0,0.0,45.0,0.0,16.0,0.0,21.428571428571427,0.0,0.0,19.10112359550562,32.78688524590164,23.0,34.78260869565217,27.272727272727273,0.0,49.0,25.564942667897856
