date,/m/01b_21_0,/m/01b_21_1,/m/01b_21_2,/m/01b_21_3,/m/01b_21_4,/m/01b_21_5,/m/01b_21_6,/m/01b_21_7,/m/01b_21_8,/m/01b_21_9,/m/01b_21,batch_id
2020-02-24,59.0,90.0,68.0,62.0,67.0,67.0,59.0,46.0,60.0,58.0,76.35054021608644,0
2020-02-25,88.0,67.0,54.0,97.0,68.0,51.0,83.0,86.0,98.0,54.0,89.55582232893157,0
2020-02-26,47.0,64.0,71.0,55.0,77.0,64.0,57.0,76.0,53.0,51.0,73.8295318127251,0
2020-02-27,76.0,73.0,80.0,46.0,62.0,85.0,65.0,47.0,49.0,54.0,76.47058823529412,0
2020-02-28,74.0,89.0,50.0,53.0,52.0,65.0,88.0,76.0,65.0,60.0,80.67226890756302,0
2020-02-29,47.0,66.0,40.0,56.0,74.0,30.0,13.0,65.0,40.0,49.0,57.62304921968788,0
2020-03-01,74.0,76.0,72.0,78.0,91.0,58.0,100.0,83.0,83.0,36.0,90.15606242496997,0
2020-03-02,53.0,30.0,46.0,45.0,36.0,27.0,57.0,64.0,48.0,53.0,55.102040816326536,0
2020-03-03,42.0,83.0,41.0,91.0,84.0,39.0,70.0,84.0,54.0,48.0,76.35054021608644,0
2020-03-04,37.0,53.0,52.0,72.0,30.0,38.0,69.0,45.0,48.0,43.0,58.46338535414166,0
2020-03-05,23.0,31.0,17.0,18.0,58.0,23.0,55.0,27.0,45.0,20.0,38.055222088835535,0
2020-03-06,50.0,50.0,49.0,77.0,63.0,74.0,48.0,81.0,75.0,45.0,73.46938775510205,0
2020-03-07,36.0,46.0,52.0,44.0,75.0,49.0,32.0,29.0,53.0,48.0,55.70228091236495,0
2020-03-08,47.0,77.0,34.0,30.0,73.0,30.0,38.0,56.0,45.0,58.0,58.583433373349344,0
2020-03-09,60.0,78.0,69.0,80.0,56.0,73.0,72.0,46.0,49.0,53.0,76.35054021608644,0
2020-03-10,55.0,68.0,59.0,52.0,50.0,51.0,42.0,47.0,61.0,44.0,63.50540216086435,0
2020-03-11,65.0,47.0,36.0,89.0,84.0,55.0,82.0,64.0,85.0,48.0,78.63145258103242,0
2020-03-12,57.0,70.0,55.0,53.0,52.0,88.0,80.0,90.0,65.0,66.0,81.15246098439376,0
2020-03-13,49.0,49.0,65.0,46.0,63.0,51.0,72.0,94.0,69.0,45.0,72.3889555822329,0
2020-03-14,55.0,69.0,54.0,52.0,70.0,57.0,54.0,75.0,70.0,45.0,72.14885954381752,0
2020-03-15,57.0,89.0,89.0,77.0,91.0,100.0,75.0,35.0,78.0,52.0,89.19567827130852,0
2020-03-16,63.0,100.0,72.0,82.0,94.0,70.0,68.0,69.0,94.0,75.0,94.47779111644658,0
2020-03-17,63.0,76.0,78.0,100.0,96.0,88.0,93.0,64.0,96.0,61.0,97.83913565426171,0
2020-03-18,83.0,81.0,60.0,43.0,100.0,48.0,51.0,81.0,64.0,70.0,81.75270108043216,0
2020-03-19,53.0,54.0,42.0,51.0,61.0,55.0,82.0,52.0,67.0,53.0,68.42737094837935,0
2020-03-20,64.0,59.0,36.0,50.0,61.0,71.0,99.0,64.0,84.0,62.0,78.031212484994,0
2020-03-21,28.0,74.0,75.0,52.0,75.0,62.0,84.0,60.0,100.0,100.0,85.23409363745499,0
2020-03-22,63.0,17.0,20.0,49.0,23.0,43.0,39.0,19.0,64.0,42.0,45.49819927971188,0
2020-03-23,39.0,73.0,51.0,46.0,55.0,72.0,43.0,69.0,80.0,67.0,71.42857142857143,0
2020-03-24,93.0,81.0,43.0,46.0,61.0,66.0,97.0,89.0,88.0,61.0,87.03481392557023,0
2020-03-25,58.0,49.0,38.0,61.0,38.0,45.0,53.0,41.0,38.0,26.0,53.66146458583434,0
2020-03-26,100.0,73.0,74.0,58.0,97.0,57.0,72.0,67.0,85.0,45.0,87.39495798319328,0
2020-03-27,25.0,17.0,15.0,21.0,11.0,16.0,16.0,37.0,28.0,27.0,25.570228091236494,0
2020-03-28,12.0,19.0,6.0,6.0,13.0,6.0,6.0,14.0,26.0,10.0,14.165666266506603,0
2020-03-29,62.0,24.0,33.0,35.0,25.0,34.0,43.0,13.0,44.0,30.0,41.17647058823529,0
2020-03-30,46.0,41.0,50.0,53.0,42.0,48.0,45.0,50.0,47.0,33.0,54.6218487394958,0
2020-03-31,14.0,37.0,5.0,20.0,54.0,44.0,26.0,34.0,27.0,26.0,34.45378151260504,0
2020-04-01,24.0,27.0,19.0,41.0,22.0,25.0,32.0,12.0,33.0,22.0,30.85234093637455,0
2020-04-02,35.0,28.0,10.0,26.0,45.0,40.0,38.0,42.0,39.0,27.0,39.61584633853541,0
2020-04-03,21.0,17.0,20.0,27.0,23.0,21.0,23.0,19.0,12.0,14.0,23.649459783913567,0
2020-04-04,17.0,19.0,28.0,36.0,33.0,6.0,25.0,35.0,20.0,36.0,30.612244897959183,0
2020-04-05,17.0,25.0,16.0,17.0,25.0,35.0,49.0,20.0,31.0,45.0,33.61344537815126,0
2020-04-06,39.0,65.0,19.0,15.0,33.0,40.0,58.0,41.0,33.0,26.0,44.29771908763506,0
2020-04-07,5.0,17.0,20.0,21.0,29.0,5.0,27.0,37.0,17.0,14.0,23.04921968787515,0
2020-04-08,15.0,17.0,25.0,27.0,29.0,16.0,22.0,50.0,46.0,18.0,31.812725090036015,0
2020-04-09,38.0,18.0,38.0,40.0,25.0,34.0,30.0,33.0,37.0,20.0,37.5750300120048,0
2020-04-10,17.0,19.0,0.0,36.0,26.0,18.0,25.0,21.0,13.0,10.0,22.20888355342137,0
2020-04-11,12.0,13.0,17.0,18.0,20.0,6.0,13.0,21.0,27.0,37.0,22.088835534213683,0
2020-04-12,23.0,33.0,28.0,18.0,20.0,30.0,19.0,43.0,26.0,32.0,32.6530612244898,0
2020-04-13,27.0,36.0,16.0,11.0,37.0,11.0,30.0,20.0,12.0,24.0,26.89075630252101,0
2020-04-14,23.0,69.0,32.0,15.0,48.0,44.0,31.0,34.0,42.0,21.0,43.09723889555823,0
2020-04-15,10.0,5.0,14.0,15.0,17.0,10.0,11.0,6.0,16.0,4.0,12.965186074429772,0
2020-04-16,10.0,6.0,5.0,0.0,11.0,16.0,6.0,12.0,11.0,5.0,9.843937575030012,0
2020-04-17,11.0,18.0,16.0,17.0,12.0,11.0,18.0,19.0,24.0,14.0,19.207683073229294,0
2020-04-18,6.0,6.0,23.0,12.0,13.0,18.0,13.0,21.0,20.0,21.0,18.367346938775512,0
2020-04-19,5.0,23.0,5.0,11.0,12.0,11.0,22.0,19.0,17.0,9.0,16.086434573829532,0
2020-04-20,19.0,16.0,24.0,20.0,38.0,15.0,26.0,47.0,33.0,9.0,29.65186074429772,0
2020-04-21,15.0,11.0,10.0,26.0,23.0,26.0,16.0,18.0,11.0,18.0,20.88835534213685,0
2020-04-22,15.0,6.0,20.0,27.0,12.0,16.0,17.0,12.0,12.0,14.0,18.127250900360146,0
2020-04-23,35.0,11.0,10.0,37.0,17.0,31.0,16.0,18.0,17.0,18.0,25.210084033613445,0
2020-04-24,16.0,24.0,27.0,23.0,12.0,28.0,30.0,33.0,12.0,19.0,26.89075630252101,0
2020-04-25,17.0,38.0,22.0,12.0,6.0,29.0,13.0,14.0,32.0,15.0,23.76950780312125,0
2020-04-26,28.0,25.0,5.0,18.0,25.0,12.0,6.0,14.0,13.0,20.0,19.927971188475393,0
2020-04-27,15.0,28.0,24.0,16.0,40.0,31.0,38.0,24.0,34.0,18.0,32.172869147659064,0
2020-04-28,25.0,40.0,15.0,21.0,28.0,31.0,11.0,37.0,17.0,23.0,29.771908763505404,0
2020-04-29,5.0,16.0,19.0,10.0,22.0,10.0,5.0,18.0,22.0,9.0,16.3265306122449,0
2020-04-30,35.0,33.0,24.0,47.0,22.0,26.0,27.0,36.0,11.0,0.0,31.332533013205282,0
2020-05-01,33.0,18.0,21.0,17.0,31.0,17.0,12.0,40.0,25.0,5.0,26.290516206482593,0
2020-05-02,11.0,6.0,17.0,12.0,13.0,18.0,25.0,14.0,6.0,21.0,17.16686674669868,0
2020-05-03,17.0,12.0,16.0,34.0,19.0,17.0,6.0,34.0,31.0,15.0,24.1296518607443,0
2020-05-04,5.0,5.0,19.0,0.0,11.0,5.0,11.0,18.0,17.0,13.0,12.48499399759904,0
2020-05-05,13.0,10.0,9.0,24.0,5.0,19.0,10.0,16.0,5.0,12.0,14.765906362545019,0
2020-05-06,29.0,11.0,0.0,10.0,11.0,5.0,5.0,12.0,11.0,4.0,11.764705882352944,0
2020-05-07,16.0,12.0,10.0,16.0,12.0,22.0,11.0,6.0,24.0,9.0,16.566626650660265,0
2020-05-08,11.0,25.0,22.0,23.0,13.0,11.0,24.0,20.0,6.0,25.0,21.608643457382954,0
2020-05-09,6.0,7.0,12.0,13.0,14.0,7.0,14.0,15.0,22.0,6.0,13.925570228091237,0
2020-05-10,12.0,39.0,11.0,18.0,7.0,18.0,6.0,0.0,13.0,10.0,16.086434573829532,0
2020-05-11,15.0,5.0,9.0,15.0,39.0,10.0,32.0,29.0,16.0,9.0,21.488595438175267,0
2020-05-12,24.0,16.0,14.0,20.0,5.0,15.0,42.0,24.0,27.0,17.0,24.489795918367346,0
2020-05-13,0.0,0.0,5.0,10.0,6.0,10.0,16.0,6.0,0.0,9.0,7.442977190876351,0
2020-05-14,15.0,6.0,20.0,11.0,18.0,5.0,0.0,19.0,12.0,9.0,13.805522208883554,0
2020-05-15,21.0,18.0,15.0,11.0,12.0,11.0,0.0,19.0,30.0,14.0,18.127250900360146,0
2020-05-16,25.0,0.0,12.0,7.0,7.0,0.0,14.0,15.0,7.0,11.0,11.764705882352944,0
2020-05-17,16.0,24.0,27.0,12.0,12.0,23.0,18.0,27.0,12.0,10.0,21.72869147659064,0
2020-05-18,5.0,12.0,5.0,11.0,23.0,11.0,6.0,19.0,12.0,9.0,13.565426170468188,0
2020-05-19,10.0,17.0,10.0,5.0,11.0,10.0,5.0,6.0,0.0,5.0,9.483793517406964,0
2020-05-20,10.0,6.0,0.0,10.0,6.0,5.0,16.0,12.0,6.0,4.0,9.003601440576231,0
2020-05-21,11.0,0.0,15.0,17.0,0.0,22.0,17.0,13.0,24.0,0.0,14.285714285714286,0
2020-05-22,28.0,25.0,27.0,12.0,25.0,11.0,24.0,27.0,25.0,20.0,26.89075630252101,0
2020-05-23,25.0,20.0,18.0,13.0,7.0,19.0,20.0,15.0,14.0,17.0,20.168067226890756,0
2020-05-24,17.0,6.0,16.0,6.0,0.0,6.0,12.0,20.0,0.0,5.0,10.564225690276112,0
2020-05-25,0.0,0.0,10.0,5.0,11.0,15.0,16.0,12.0,16.0,13.0,11.764705882352944,0
2020-05-26,10.0,11.0,10.0,21.0,6.0,5.0,11.0,6.0,11.0,5.0,11.524609843937576,0
2020-05-27,5.0,6.0,0.0,5.0,6.0,5.0,11.0,6.0,0.0,0.0,5.282112845138056,0
2020-05-28,15.0,0.0,10.0,5.0,12.0,16.0,6.0,0.0,0.0,9.0,8.763505402160865,0
2020-05-29,16.0,18.0,11.0,11.0,25.0,6.0,18.0,20.0,18.0,15.0,18.967587034813928,0
2020-05-30,6.0,0.0,6.0,13.0,7.0,13.0,7.0,15.0,7.0,6.0,9.603841536614647,0
2020-05-31,5.0,6.0,11.0,6.0,18.0,6.0,6.0,13.0,12.0,0.0,9.963985594237696,0
2020-06-01,0.0,19.0,6.0,18.0,13.0,6.0,6.0,7.0,6.0,10.0,10.92436974789916,0
2020-06-02,0.0,17.0,10.0,0.0,6.0,10.0,6.0,12.0,17.0,5.0,9.963985594237696,0
2020-06-03,24.0,11.0,19.0,10.0,11.0,5.0,5.0,18.0,22.0,17.0,17.046818727490997,0
2020-06-04,9.0,11.0,14.0,10.0,11.0,10.0,10.0,6.0,0.0,4.0,10.204081632653061,0
2020-06-05,0.0,5.0,5.0,5.0,6.0,5.0,0.0,6.0,6.0,9.0,5.642256902761105,0
