,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-11-14,83.0,56.0,62.0,76.0,57.0,32.0,63.0,44.0,58.0,49.0,64.28571428571429,65.11627906976744,77.0,70.0,75.0,43.47826086956522,47.422680412371136,53.93258426966292,77.33333333333333,58.888888888888886,74.01439683461643
2020-11-15,60.0,60.0,62.0,90.0,47.0,47.0,47.0,86.0,53.0,36.0,27.551020408163264,55.81395348837209,62.0,36.0,70.0,46.73913043478261,68.04123711340206,73.03370786516854,50.666666666666664,57.77777777777778,69.32405565175318
2020-11-16,59.0,32.0,86.0,71.0,36.0,39.0,59.0,60.0,39.0,26.0,53.06122448979592,59.30232558139535,86.0,77.0,63.75,46.73913043478261,70.10309278350516,66.29213483146067,60.0,42.22222222222222,69.0705138768238
2020-11-17,50.0,81.0,48.0,49.0,47.0,39.0,47.0,52.0,32.0,47.0,65.3061224489796,62.7906976744186,30.0,45.0,67.5,55.43478260869565,60.824742268041234,39.325842696629216,50.666666666666664,61.111111111111114,62.8738330602739
2020-11-18,90.0,50.0,26.0,58.0,55.0,61.0,69.0,69.0,48.0,55.0,25.510204081632654,54.651162790697676,87.0,60.0,48.75,60.869565217391305,60.824742268041234,75.28089887640449,64.0,56.666666666666664,71.70051924484655
2020-11-19,94.0,72.0,37.0,49.0,51.0,50.0,47.0,43.0,68.0,55.0,33.673469387755105,60.46511627906977,82.0,63.0,58.75,56.52173913043478,65.97938144329896,57.30337078651685,60.0,47.77777777777778,70.29145668338182
2020-11-20,57.0,61.0,43.0,46.0,45.0,69.0,49.0,64.0,42.0,53.0,38.775510204081634,32.55813953488372,68.0,37.0,60.0,61.95652173913044,58.76288659793814,50.561797752808985,52.0,58.888888888888886,63.94479182018491
2020-11-21,67.0,45.0,54.0,60.0,62.0,43.0,76.0,67.0,58.0,49.0,82.65306122448979,60.46511627906977,43.0,55.0,81.25,100.0,89.69072164948453,68.53932584269663,82.66666666666667,78.88888888888889,80.77182871192751
2020-11-22,50.0,51.0,54.0,61.0,27.0,32.0,68.0,49.0,41.0,45.0,41.83673469387755,51.16279069767442,44.0,56.0,37.5,33.69565217391305,62.88659793814433,64.04494382022472,46.666666666666664,54.44444444444444,59.22809956154251
2020-11-23,76.0,69.0,45.0,50.0,76.0,47.0,60.0,66.0,56.0,71.0,41.83673469387755,45.348837209302324,75.0,64.0,48.75,47.82608695652174,67.01030927835052,84.26966292134831,84.0,67.77777777777777,75.80677775787457
2020-11-24,34.0,35.0,59.0,44.0,35.0,31.0,34.0,42.0,40.0,29.0,53.06122448979592,76.74418604651163,51.0,62.0,47.5,42.391304347826086,50.51546391752577,65.1685393258427,64.0,42.22222222222222,57.23590501035606
2020-11-25,48.0,61.0,43.0,39.0,38.0,31.0,25.0,42.0,50.0,32.0,43.87755102040816,52.325581395348834,17.0,48.0,52.5,32.608695652173914,54.63917525773196,71.91011235955057,84.0,55.55555555555556,56.247815360331444
2020-11-26,40.0,54.0,59.0,36.0,23.0,39.0,34.0,56.0,40.0,29.0,53.06122448979592,53.48837209302326,48.0,63.0,48.75,51.08695652173913,60.824742268041234,43.82022471910113,45.333333333333336,51.111111111111114,56.67874941898924
2020-11-27,59.0,58.0,26.0,35.0,55.0,39.0,51.0,56.0,36.0,43.0,28.571428571428573,36.04651162790697,39.0,18.0,23.75,55.43478260869565,32.98969072164948,43.82022471910113,36.0,61.111111111111114,50.8335622331268
2020-11-28,70.0,44.0,44.0,48.0,34.0,46.0,60.0,51.0,34.0,39.0,44.89795918367347,44.18604651162791,66.0,39.0,63.75,51.08695652173913,50.51546391752577,66.29213483146067,44.0,97.77777777777777,63.33450088139987
2020-11-29,81.0,73.0,45.0,39.0,60.0,46.0,38.0,42.0,44.0,48.0,45.91836734693877,79.06976744186046,66.0,69.0,85.0,56.52173913043478,81.44329896907216,71.91011235955057,45.333333333333336,83.33333333333333,73.22522085868034
2020-11-30,44.0,40.0,54.0,44.0,35.0,38.0,46.0,47.0,27.0,32.0,56.12244897959184,53.48837209302326,34.0,62.0,100.0,41.30434782608695,31.95876288659794,47.19101123595506,49.333333333333336,51.111111111111114,56.9860143648153
2020-12-01,24.0,52.0,40.0,48.0,47.0,31.0,21.0,30.0,42.0,25.0,40.816326530612244,53.48837209302326,25.0,84.0,52.5,50.0,18.556701030927837,21.348314606741575,36.0,36.666666666666664,47.5159309808485
2020-12-02,44.0,13.0,72.0,65.0,30.0,17.0,33.0,29.0,46.0,39.0,60.204081632653065,61.627906976744185,42.0,39.0,56.25,32.608695652173914,45.36082474226804,47.19101123595506,53.333333333333336,58.888888888888886,53.992087488209755
2020-12-03,82.0,48.0,54.0,39.0,27.0,38.0,33.0,51.0,46.0,63.0,60.204081632653065,52.325581395348834,66.0,57.0,75.0,50.0,63.91752577319588,71.91011235955057,74.66666666666667,68.88888888888889,68.42604585686452
2020-12-04,43.0,31.0,47.0,30.0,27.0,28.0,46.0,29.0,31.0,24.0,47.95918367346939,44.18604651162791,54.0,70.0,61.25,41.30434782608695,59.79381443298969,42.69662921348315,57.333333333333336,50.0,52.77476690403942
2020-12-05,100.0,86.0,44.0,95.0,54.0,49.0,64.0,88.0,72.0,50.0,39.795918367346935,33.72093023255814,87.0,48.0,62.5,81.52173913043478,100.0,93.25842696629213,73.33333333333333,75.55555555555556,85.26059194855608
2020-12-06,55.0,63.0,68.0,34.0,38.0,38.0,37.0,47.0,17.0,24.0,48.97959183673469,54.651162790697676,42.0,59.0,47.5,51.08695652173913,40.20618556701031,38.20224719101124,54.666666666666664,56.666666666666664,55.79259148135929
2020-12-07,48.0,48.0,54.0,65.0,31.0,52.0,58.0,42.0,39.0,60.0,47.95918367346939,56.97674418604651,67.0,70.0,70.0,33.69565217391305,82.47422680412372,68.53932584269663,66.66666666666667,60.0,68.38935435236984
2020-12-08,95.0,65.0,25.0,48.0,34.0,44.0,70.0,70.0,61.0,73.0,44.89795918367347,56.97674418604651,75.0,48.0,51.25,81.52173913043478,72.16494845360825,88.76404494382022,78.66666666666667,45.55555555555556,74.95082097958301
2020-12-09,53.0,57.0,39.0,39.0,45.0,37.0,58.0,54.0,42.0,49.0,47.95918367346939,47.674418604651166,46.0,52.0,56.25,45.65217391304348,53.608247422680414,47.19101123595506,66.66666666666667,58.888888888888886,60.73302554586504
2020-12-10,54.0,53.0,36.0,26.0,39.0,38.0,46.0,51.0,43.0,43.0,57.142857142857146,66.27906976744185,55.0,35.0,37.5,42.391304347826086,69.0721649484536,38.20224719101124,80.0,74.44444444444444,60.07016902683885
2020-12-11,77.0,60.0,45.0,64.0,57.0,62.0,62.0,53.0,78.0,41.0,37.755102040816325,32.55813953488372,67.0,46.0,68.75,70.65217391304348,63.91752577319588,73.03370786516854,90.66666666666667,68.88888888888889,74.36628810348631
