,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-01-29,30.0,18.0,0.0,39.0,25.0,0.0,0.0,0.0,0.0,25.0,42.0,0.0,16.0,30.0,8.0,15.0,31.0,34.0,18.0,0.0,19.13294797687861
2020-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-31,16.0,0.0,37.0,21.0,14.0,16.0,0.0,0.0,12.0,13.0,22.0,0.0,0.0,0.0,17.0,0.0,17.0,24.0,0.0,17.0,13.063583815028903
2020-02-01,16.0,19.0,19.0,21.0,40.0,0.0,0.0,16.0,12.0,27.0,0.0,0.0,16.0,30.0,17.0,16.0,16.0,35.0,0.0,16.0,18.265895953757227
2020-02-02,0.0,18.0,17.0,58.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,8.0,15.0,15.0,0.0,0.0,0.0,10.693641618497109
2020-02-03,27.0,0.0,33.0,0.0,23.0,0.0,19.0,14.0,10.0,23.0,18.0,16.0,14.0,35.0,7.0,0.0,14.0,10.0,48.0,14.0,18.786127167630056
2020-02-04,15.0,55.0,36.0,20.0,26.0,59.0,42.0,31.0,12.0,64.0,21.0,35.0,32.0,20.0,8.0,47.0,32.0,35.0,54.0,15.0,38.09248554913295
2020-02-05,16.0,18.0,0.0,20.0,25.0,0.0,21.0,15.0,23.0,26.0,64.0,35.0,0.0,30.0,17.0,16.0,32.0,23.0,0.0,0.0,22.023121387283236
2020-02-06,0.0,38.0,0.0,21.0,13.0,16.0,22.0,0.0,0.0,27.0,0.0,54.0,17.0,21.0,9.0,16.0,17.0,12.0,0.0,33.0,18.265895953757227
2020-02-07,17.0,59.0,59.0,0.0,14.0,0.0,23.0,0.0,0.0,0.0,0.0,18.0,0.0,22.0,9.0,16.0,0.0,12.0,19.0,50.0,18.38150289017341
2020-02-08,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,21.0,0.0,0.0,0.0,0.0,19.0,0.0,5.5491329479768785
2020-02-09,0.0,17.0,34.0,28.0,24.0,28.0,40.0,15.0,11.0,12.0,20.0,32.0,15.0,0.0,16.0,14.0,44.0,33.0,17.0,0.0,23.121387283236995
2020-02-10,0.0,17.0,0.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,19.0,0.0,15.0,0.0,0.0,0.0,15.0,6.473988439306359
2020-02-11,16.0,19.0,0.0,19.0,0.0,0.0,21.0,15.0,12.0,13.0,42.0,17.0,0.0,20.0,0.0,31.0,32.0,12.0,36.0,16.0,18.55491329479769
2020-02-12,46.0,36.0,0.0,48.0,25.0,15.0,42.0,15.0,0.0,13.0,63.0,52.0,16.0,29.0,8.0,31.0,48.0,11.0,36.0,15.0,31.734104046242773
2020-02-13,31.0,0.0,18.0,19.0,0.0,30.0,42.0,16.0,0.0,0.0,21.0,34.0,32.0,39.0,8.0,0.0,31.0,23.0,36.0,15.0,22.832369942196532
2020-02-14,16.0,19.0,0.0,42.0,13.0,0.0,21.0,0.0,0.0,0.0,22.0,0.0,33.0,41.0,0.0,32.0,0.0,0.0,19.0,16.0,15.83815028901734
2020-02-15,0.0,20.0,39.0,21.0,0.0,17.0,0.0,16.0,25.0,14.0,23.0,0.0,17.0,22.0,0.0,17.0,34.0,37.0,0.0,17.0,18.439306358381504
2020-02-16,31.0,37.0,18.0,30.0,13.0,15.0,21.0,16.0,12.0,13.0,22.0,0.0,16.0,30.0,8.0,16.0,32.0,12.0,54.0,16.0,23.815028901734102
2020-02-17,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.352601156069364
2020-02-18,15.0,37.0,18.0,20.0,13.0,15.0,0.0,31.0,24.0,0.0,43.0,17.0,0.0,20.0,8.0,31.0,16.0,0.0,18.0,31.0,20.63583815028902
2020-02-19,32.0,18.0,18.0,41.0,0.0,0.0,0.0,16.0,12.0,13.0,44.0,54.0,32.0,41.0,9.0,0.0,0.0,12.0,37.0,0.0,21.90751445086705
2020-02-20,0.0,19.0,19.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,16.0,0.0,0.0,0.0,0.0,5.202312138728324
