,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-11-14,35.0,14.0,77.0,37.0,38.0,24.0,60.91954022988506,46.0,12.0,37.0,59.523809523809526,51.578947368421055,37.0,34.24657534246575,22.988505747126435,52.94117647058823,53.246753246753244,20.0,25.263157894736842,71.60493827160494,53.683643444954555
2020-11-15,71.0,41.0,39.0,50.0,13.0,71.0,0.0,58.0,49.0,50.0,60.714285714285715,26.31578947368421,12.0,34.24657534246575,24.137931034482758,27.058823529411764,40.25974025974026,31.0,25.263157894736842,28.395061728395063,49.841539656866246
2020-11-16,53.0,49.0,47.0,100.0,46.0,53.0,100.0,42.0,100.0,100.0,79.76190476190476,69.47368421052632,100.0,50.68493150684932,95.40229885057471,23.529411764705884,71.42857142857143,0.0,78.94736842105263,50.617283950617285,86.88510039836041
2020-11-17,52.0,37.0,34.0,22.0,46.0,42.0,32.18390804597701,73.0,32.0,22.0,52.38095238095238,34.73684210526316,33.0,30.136986301369863,62.06896551724138,70.58823529411765,35.064935064935064,46.0,45.26315789473684,38.27160493827161,55.69896445041409
2020-11-18,65.0,100.0,12.0,69.0,82.0,54.0,89.65517241379311,64.0,90.0,57.0,54.76190476190476,94.73684210526316,67.0,72.6027397260274,96.55172413793103,60.0,72.72727272727273,66.0,81.05263157894737,50.617283950617285,92.77939893202732
2020-11-19,64.0,25.0,35.0,34.0,35.0,32.0,11.494252873563218,11.0,22.0,22.0,54.76190476190476,24.210526315789473,34.0,20.54794520547945,32.18390804597701,23.529411764705884,48.05194805194805,37.0,57.89473684210526,25.925925925925927,43.0895184199362
2020-11-20,55.0,51.0,24.0,58.0,24.0,33.0,22.988505747126435,11.0,34.0,46.0,55.95238095238095,11.578947368421053,46.0,31.506849315068493,11.494252873563218,0.0,36.36363636363637,19.0,11.578947368421053,25.925925925925927,40.35588923262196
2020-11-21,24.0,28.0,65.0,50.0,13.0,36.0,36.7816091954023,35.0,49.0,37.0,14.285714285714286,38.94736842105263,37.0,34.24657534246575,11.494252873563218,25.88235294117647,53.246753246753244,21.0,12.631578947368421,0.0,41.2929500888334
2020-11-22,35.0,14.0,13.0,25.0,39.0,0.0,25.28735632183908,23.0,25.0,38.0,59.523809523809526,26.31578947368421,38.0,23.28767123287671,24.137931034482758,54.11764705882353,12.987012987012987,41.0,38.94736842105263,86.41975308641975,42.58697005506656
2020-11-23,32.0,25.0,12.0,11.0,12.0,22.0,11.494252873563218,31.0,44.0,34.0,0.0,23.157894736842106,11.0,20.54794520547945,21.839080459770116,0.0,11.688311688311689,0.0,11.578947368421053,51.851851851851855,25.61477857225595
2020-11-24,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,9.58904109589041,0.0,11.764705882352942,11.688311688311689,0.0,11.578947368421053,62.96296296296296,8.595606538412728
2020-11-25,62.0,48.0,45.0,11.0,56.0,52.0,42.52873563218391,41.0,64.0,54.0,39.285714285714285,45.26315789473684,43.0,19.17808219178082,62.06896551724138,34.11764705882353,57.142857142857146,54.0,66.3157894736842,24.691358024691358,61.06503232119144
2020-11-26,10.0,37.0,34.0,11.0,0.0,32.0,11.494252873563218,10.0,11.0,22.0,26.19047619047619,23.157894736842106,22.0,20.54794520547945,0.0,23.529411764705884,35.064935064935064,28.0,11.578947368421053,62.96296296296296,28.624179651140857
2020-11-27,31.0,12.0,23.0,34.0,34.0,42.0,21.839080459770116,41.0,11.0,22.0,52.38095238095238,56.8421052631579,33.0,20.54794520547945,41.37931034482759,35.294117647058826,23.376623376623378,9.0,23.157894736842106,76.54320987654322,42.67564975650018
