,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-10-05,34.0,38.0,37.0,35.0,37.0,37.0,40.0,35.0,39.0,41.0,35.0,38.0,38.0,37.0,35.0,35.0,39.0,39.0,36.0,35.0,37.0
2020-10-06,45.0,43.0,46.0,44.0,45.0,46.0,42.0,43.0,49.0,48.0,48.0,48.0,45.0,45.0,50.0,44.0,47.0,47.0,42.0,48.0,45.75
2020-10-07,47.0,48.0,47.0,44.0,51.0,50.0,48.0,48.0,50.0,52.0,47.0,50.0,44.0,53.0,52.0,47.0,50.0,48.0,47.0,45.0,48.4
2020-10-08,37.0,40.0,43.0,38.0,38.0,38.0,43.0,40.0,42.0,43.0,36.0,42.0,40.0,41.0,42.0,40.0,39.0,39.0,41.0,41.0,40.15
2020-10-09,43.0,44.0,45.0,42.0,45.0,45.0,42.0,42.0,44.0,47.0,45.0,50.0,42.0,46.0,42.0,44.0,44.0,43.0,42.0,47.0,44.2
2020-10-10,40.0,44.0,38.0,38.0,38.0,41.0,44.0,43.0,39.0,41.0,37.0,48.0,37.0,42.0,40.0,36.0,36.0,42.0,39.0,42.0,40.25
2020-10-11,44.0,48.0,45.0,46.0,43.0,48.0,47.0,43.0,52.0,50.0,47.0,51.0,44.0,47.0,49.0,44.0,45.0,43.0,44.0,47.0,46.35
2020-10-12,53.0,58.0,59.0,58.0,58.0,61.0,59.0,58.0,58.0,60.0,54.0,59.0,56.0,58.0,61.0,52.0,59.0,54.0,55.0,61.0,57.55
2020-10-13,60.0,62.0,62.0,56.0,58.0,62.0,58.0,63.0,63.0,60.0,59.0,63.0,58.0,65.0,62.0,59.0,63.0,54.0,56.0,62.0,60.25
2020-10-14,52.0,52.0,56.0,52.0,54.0,55.0,53.0,54.0,59.0,63.0,45.0,58.0,53.0,56.0,61.0,54.0,53.0,52.0,50.0,56.0,54.4
2020-10-15,59.0,59.0,58.0,51.0,57.0,59.0,58.0,61.0,61.0,60.0,58.0,63.0,61.0,58.0,57.0,54.0,56.0,56.0,53.0,56.0,57.75
2020-10-16,95.0,91.0,89.0,86.0,90.0,91.0,87.0,90.0,88.0,94.0,89.0,88.0,88.0,88.0,88.0,87.0,90.0,84.0,91.0,93.0,89.35
2020-10-17,54.0,57.0,58.0,55.0,58.0,57.0,59.0,55.0,58.0,62.0,53.0,60.0,54.0,55.0,54.0,58.0,51.0,57.0,56.0,56.0,56.35
2020-10-18,50.0,56.0,54.0,50.0,56.0,52.0,55.0,54.0,57.0,59.0,51.0,58.0,56.0,53.0,53.0,54.0,55.0,52.0,54.0,57.0,54.3
2020-10-19,59.0,56.0,59.0,51.0,59.0,61.0,61.0,56.0,58.0,65.0,54.0,66.0,59.0,53.0,55.0,56.0,56.0,59.0,56.0,59.0,57.9
2020-10-20,49.0,52.0,51.0,48.0,52.0,53.0,53.0,53.0,51.0,56.0,52.0,55.0,48.0,52.0,51.0,49.0,51.0,51.0,52.0,51.0,51.5
2020-10-21,52.0,47.0,48.0,48.0,51.0,50.0,49.0,48.0,53.0,51.0,49.0,54.0,46.0,46.0,49.0,48.0,49.0,48.0,45.0,52.0,49.15
2020-10-22,52.0,59.0,54.0,53.0,54.0,57.0,54.0,52.0,54.0,56.0,56.0,55.0,52.0,57.0,55.0,49.0,59.0,50.0,55.0,57.0,54.5
2020-10-23,66.0,63.0,60.0,65.0,57.0,69.0,61.0,57.0,62.0,65.0,61.0,70.0,58.0,63.0,67.0,58.0,62.0,58.0,60.0,62.0,62.2
2020-10-24,56.0,55.0,53.0,49.0,53.0,53.0,59.0,52.0,60.0,54.0,52.0,53.0,53.0,55.0,55.0,54.0,52.0,49.0,50.0,56.0,53.65
2020-10-25,62.0,60.0,55.0,52.0,60.0,63.0,59.0,58.0,63.0,62.0,57.0,65.0,54.0,57.0,60.0,53.0,58.0,60.0,54.0,58.0,58.5
2020-10-26,59.0,56.0,58.0,56.0,59.0,60.0,60.0,58.0,61.0,66.0,58.0,58.0,61.0,59.0,63.0,59.0,60.0,58.0,60.0,59.0,59.4
