,/m/05sfr2_0,/m/05sfr2_1,/m/05sfr2_2,/m/05sfr2_3,/m/05sfr2_4,/m/05sfr2_5,/m/05sfr2_6,/m/05sfr2_7,/m/05sfr2_8,/m/05sfr2_9,/m/05sfr2_10,/m/05sfr2_11,/m/05sfr2_12,/m/05sfr2_13,/m/05sfr2_14,/m/05sfr2_15,/m/05sfr2_16,/m/05sfr2_17,/m/05sfr2_18,/m/05sfr2_19,/m/05sfr2
2020-10-05,0.0,65.0,32.0,0.0,69.0,70.0,31.0,86.0,64.0,32.0,0.0,30.0,34.0,0.0,100.0,28.0,56.0,25.0,71.0,95.0,84.65204957102002
2020-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,25.0,0.0,0.0,5.052430886558627
2020-10-07,30.0,65.0,32.0,31.0,23.0,35.0,31.0,34.0,0.0,0.0,33.0,30.0,69.0,30.0,33.0,28.0,28.0,0.0,72.0,47.0,62.05910390848426
2020-10-08,65.0,35.0,0.0,33.0,24.0,38.0,0.0,0.0,34.0,0.0,0.0,64.0,36.0,0.0,36.0,30.0,0.0,26.0,37.0,0.0,43.6606291706387
2020-10-09,0.0,0.0,37.0,0.0,0.0,0.0,36.0,38.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,20.11439466158246
2020-10-10,0.0,0.0,39.0,38.0,28.0,0.0,0.0,41.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,30.0,0.0,0.0,30.695900857959966
2020-10-11,0.0,0.0,0.0,0.0,0.0,39.0,34.0,37.0,35.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,17.254528122020975
2020-10-12,33.0,35.0,0.0,34.0,24.0,38.0,0.0,73.0,34.0,35.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,32.316491897044806
2020-10-13,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,27.0,0.0,0.0,8.865586272640611
2020-10-14,32.0,0.0,34.0,33.0,24.0,0.0,0.0,36.0,0.0,33.0,0.0,32.0,36.0,0.0,0.0,0.0,30.0,26.0,0.0,49.0,34.795042897998094
2020-10-15,33.0,35.0,35.0,0.0,0.0,38.0,0.0,37.0,0.0,0.0,37.0,0.0,38.0,33.0,36.0,31.0,0.0,0.0,0.0,0.0,33.65109628217349
2020-10-16,35.0,37.0,0.0,0.0,26.0,40.0,36.0,0.0,36.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,27.550047664442324
2020-10-17,0.0,40.0,40.0,0.0,28.0,0.0,0.0,84.0,39.0,78.0,0.0,0.0,0.0,38.0,0.0,70.0,0.0,61.0,0.0,59.0,51.19161105815062
2020-10-18,37.0,40.0,0.0,39.0,0.0,43.0,39.0,0.0,0.0,38.0,41.0,37.0,42.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,37.27359389895138
2020-10-19,0.0,35.0,0.0,0.0,0.0,0.0,34.0,37.0,0.0,0.0,0.0,0.0,0.0,33.0,36.0,0.0,0.0,27.0,0.0,0.0,19.256434699714013
