date,/m/05sfr2_0,/m/05sfr2_1,/m/05sfr2_2,/m/05sfr2_3,/m/05sfr2_4,/m/05sfr2_5,/m/05sfr2_6,/m/05sfr2_7,/m/05sfr2_8,/m/05sfr2_9,/m/05sfr2,batch_id
2020-01-01,0.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,1.017293997965412,0
2020-01-02,0.0,0.0,5.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,1.6276703967446593,0
2020-01-03,0.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,1.017293997965412,0
2020-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-05,5.0,2.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.5259409969481181,0
2020-01-06,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.8138351983723296,0
2020-01-07,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.6103763987792472,0
2020-01-08,2.0,0.0,0.0,2.0,2.0,7.0,4.0,0.0,2.0,2.0,2.136317395727365,0
2020-01-09,0.0,0.0,5.0,0.0,2.0,0.0,0.0,4.0,2.0,0.0,1.3224821973550356,0
2020-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-11,3.0,0.0,0.0,3.0,0.0,5.0,0.0,2.0,0.0,5.0,1.8311291963377416,0
2020-01-12,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,3.0,1.017293997965412,0
2020-01-13,7.0,6.0,7.0,4.0,4.0,11.0,2.0,0.0,6.0,9.0,5.696846388606307,0
2020-01-14,2.0,2.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,1.8311291963377416,0
2020-01-15,0.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,1.2207527975584944,0
2020-01-16,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.4069175991861648,0
2020-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-18,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.508646998982706,0
2020-01-19,3.0,5.0,3.0,5.0,0.0,5.0,5.0,2.0,5.0,3.0,3.6622583926754833,0
2020-01-20,5.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,1.6276703967446593,0
2020-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-22,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.6103763987792472,0
2020-01-23,0.0,2.0,5.0,2.0,3.0,7.0,7.0,6.0,7.0,2.0,4.170905391658189,0
2020-01-24,0.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.017293997965412,0
2020-01-25,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2034587995930824,0
