,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-01-29,18.0,15.0,27.0,23.0,15.0,18.0,18.0,21.0,15.0,23.0,17.0,17.0,19.0,22.0,14.0,18.0,25.0,19.0,22.0,21.0,20.27239392352017
2020-01-30,21.0,23.0,23.0,21.0,26.0,23.0,22.0,30.0,23.0,24.0,25.0,28.0,28.0,25.0,23.0,26.0,24.0,20.0,19.0,26.0,25.144054478784703
2020-01-31,24.0,19.0,21.0,17.0,14.0,14.0,11.0,15.0,15.0,21.0,16.0,23.0,20.0,12.0,23.0,20.0,20.0,21.0,19.0,15.0,18.85804085908853
2020-02-01,13.0,7.0,11.0,13.0,14.0,12.0,7.0,9.0,9.0,11.0,13.0,8.0,11.0,9.0,15.0,11.0,17.0,10.0,11.0,9.0,11.524358302776323
2020-02-02,14.0,16.0,23.0,13.0,11.0,10.0,19.0,15.0,15.0,17.0,20.0,18.0,18.0,12.0,14.0,20.0,18.0,17.0,17.0,14.0,16.81508643268727
2020-02-03,14.0,21.0,21.0,15.0,17.0,11.0,17.0,10.0,13.0,17.0,9.0,15.0,16.0,15.0,14.0,14.0,11.0,16.0,10.0,16.0,15.295966474594028
2020-02-04,13.0,9.0,18.0,12.0,8.0,10.0,11.0,7.0,12.0,11.0,15.0,14.0,13.0,11.0,11.0,4.0,7.0,16.0,17.0,11.0,12.048192771084336
2020-02-05,11.0,15.0,16.0,10.0,10.0,9.0,13.0,12.0,10.0,12.0,12.0,12.0,10.0,10.0,10.0,12.0,12.0,13.0,11.0,12.0,12.15295966474594
2020-02-06,8.0,7.0,5.0,7.0,12.0,6.0,13.0,12.0,12.0,8.0,8.0,4.0,10.0,8.0,10.0,6.0,8.0,5.0,9.0,9.0,8.748035620743845
2020-02-07,14.0,12.0,10.0,11.0,8.0,12.0,14.0,8.0,13.0,14.0,16.0,13.0,8.0,14.0,12.0,8.0,20.0,12.0,12.0,11.0,12.676794133053955
2020-02-08,11.0,14.0,13.0,9.0,9.0,13.0,19.0,11.0,14.0,9.0,17.0,10.0,14.0,7.0,15.0,15.0,13.0,13.0,12.0,15.0,13.25301204819277
2020-02-09,10.0,7.0,8.0,14.0,12.0,8.0,16.0,9.0,10.0,10.0,10.0,12.0,10.0,7.0,13.0,9.0,11.0,11.0,13.0,10.0,11.000523834468307
2020-02-10,6.0,9.0,7.0,7.0,8.0,8.0,12.0,4.0,7.0,10.0,7.0,10.0,8.0,7.0,7.0,11.0,9.0,5.0,10.0,7.0,8.328968046097433
2020-02-11,7.0,5.0,6.0,10.0,4.0,5.0,7.0,4.0,4.0,4.0,7.0,2.0,3.0,5.0,4.0,6.0,4.0,5.0,2.0,5.0,5.185961236249345
2020-02-12,10.0,9.0,12.0,7.0,6.0,6.0,10.0,14.0,8.0,10.0,7.0,8.0,9.0,8.0,13.0,11.0,11.0,12.0,15.0,11.0,10.319539025667888
