,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-10-05,0.0,0.0,48.0,0.0,19.0,19.0,26.0,0.0,0.0,24.0,24.0,0.0,0.0,26.582278481012658,0.0,0.0,24.0,32.0,24.0,39.0,21.530970960489537
2020-10-06,43.0,0.0,75.0,30.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,21.0,53.164556962025316,54.0,45.0,25.0,78.0,48.0,39.0,39.468541399053215
2020-10-07,44.0,0.0,25.0,29.0,20.0,20.0,26.0,30.0,0.0,25.0,25.0,31.16883116883117,21.0,26.582278481012658,27.0,0.0,51.0,0.0,48.0,59.0,35.77555102792523
2020-10-08,69.0,53.0,77.0,0.0,21.0,62.0,0.0,0.0,52.0,26.0,78.0,0.0,65.0,27.848101265822784,56.0,23.0,80.0,17.0,25.0,0.0,51.56516370704045
2020-10-09,0.0,28.0,27.0,0.0,0.0,0.0,28.0,33.0,0.0,27.0,27.0,33.76623376623377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,15.907225534290625
2020-10-10,26.0,61.0,59.0,35.0,48.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,25.0,63.29113924050633,33.0,0.0,60.0,39.0,29.0,23.0,37.856907062215285
2020-10-11,24.0,28.0,0.0,98.0,22.0,0.0,30.0,100.0,0.0,56.0,0.0,35.064935064935064,0.0,30.379746835443036,30.0,0.0,0.0,18.0,27.0,0.0,35.119830982195914
2020-10-12,23.0,0.0,52.0,31.0,0.0,21.0,55.0,0.0,26.0,26.0,26.0,100.0,22.0,0.0,0.0,24.0,27.0,17.0,25.0,0.0,33.46794603754484
2020-10-13,45.0,52.0,0.0,61.0,0.0,41.0,0.0,62.0,0.0,26.0,0.0,63.63636363636363,0.0,0.0,28.0,23.0,52.0,0.0,50.0,20.0,36.894807497848475
2020-10-14,0.0,26.0,0.0,59.0,0.0,0.0,79.0,59.0,25.0,100.0,0.0,93.50649350649351,21.0,26.582278481012658,27.0,0.0,0.0,0.0,0.0,0.0,36.36301299254872
2020-10-15,23.0,53.0,0.0,62.0,21.0,21.0,56.0,65.0,0.0,0.0,26.0,66.23376623376623,0.0,55.69620253164557,28.0,24.0,0.0,17.0,0.0,21.0,37.9723770792769
2020-10-16,49.0,28.0,28.0,97.0,87.0,43.0,0.0,99.0,55.0,56.0,27.0,33.76623376623377,69.0,56.962025316455694,60.0,100.0,57.0,36.0,27.0,0.0,71.07381671900212
2020-10-17,25.0,29.0,28.0,0.0,46.0,46.0,0.0,35.0,28.0,0.0,57.0,0.0,0.0,30.379746835443036,0.0,0.0,59.0,37.0,28.0,23.0,33.21286722164243
2020-10-18,26.0,0.0,30.0,35.0,0.0,24.0,31.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,30.0,39.0,28.0,47.0,25.22426248724432
2020-10-19,23.0,26.0,0.0,31.0,20.0,21.0,54.0,61.0,51.0,51.0,76.0,98.7012987012987,21.0,27.848101265822784,55.0,92.0,26.0,100.0,100.0,61.0,70.14524967538898
2020-10-20,43.0,0.0,48.0,29.0,0.0,19.0,0.0,29.0,24.0,24.0,48.0,0.0,20.0,25.31645569620253,52.0,0.0,0.0,15.0,47.0,19.0,31.16510162264969
2020-10-21,45.0,51.0,100.0,60.0,60.0,80.0,52.0,29.0,25.0,25.0,50.0,31.16883116883117,82.0,78.48101265822785,80.0,68.0,77.0,16.0,25.0,40.0,75.7185746999158
2020-10-22,66.0,78.0,76.0,59.0,100.0,100.0,52.0,61.0,100.0,51.0,100.0,96.1038961038961,42.0,53.164556962025316,83.0,46.0,51.0,33.0,72.0,100.0,100.0
2020-10-23,45.0,25.0,50.0,0.0,41.0,20.0,53.0,31.0,25.0,25.0,50.0,0.0,42.0,0.0,55.0,23.0,51.0,32.0,50.0,62.0,47.91200695901156
2020-10-24,23.0,53.0,26.0,63.0,21.0,0.0,82.0,95.0,52.0,27.0,0.0,33.76623376623377,22.0,56.962025316455694,28.0,24.0,27.0,0.0,0.0,0.0,44.6517540577825
2020-10-25,87.0,74.0,73.0,57.0,19.0,96.0,25.0,29.0,74.0,73.0,96.0,0.0,100.0,77.21518987341773,78.0,89.0,100.0,31.0,94.0,19.0,90.97751641587739
2020-10-26,21.0,49.0,24.0,84.0,19.0,38.0,50.0,29.0,24.0,71.0,24.0,29.87012987012987,40.0,50.63291139240506,26.0,22.0,72.0,15.0,23.0,38.0,52.80911018936897
2020-10-27,40.0,0.0,46.0,27.0,18.0,18.0,24.0,0.0,45.0,23.0,45.0,28.571428571428573,0.0,0.0,24.0,42.0,23.0,15.0,0.0,18.0,30.760313711499865
2020-10-28,21.0,0.0,24.0,28.0,20.0,19.0,25.0,29.0,24.0,0.0,24.0,29.87012987012987,0.0,53.164556962025316,53.0,45.0,50.0,15.0,23.0,39.0,36.781955218158295
2020-10-29,0.0,0.0,95.0,27.0,19.0,19.0,48.0,27.0,70.0,0.0,70.0,28.571428571428573,39.0,100.0,50.0,84.0,24.0,30.0,68.0,75.0,61.55082406604112
2020-10-30,19.0,22.0,22.0,26.0,34.0,0.0,0.0,26.0,43.0,0.0,0.0,27.272727272727273,0.0,22.78481012658228,0.0,19.0,22.0,14.0,21.0,0.0,22.409963154767354
2020-10-31,0.0,47.0,23.0,27.0,19.0,54.0,73.0,58.0,46.0,24.0,93.0,29.87012987012987,39.0,49.36708860759494,0.0,21.0,24.0,30.0,45.0,37.0,52.08579228833104
2020-11-01,20.0,0.0,23.0,0.0,0.0,37.0,24.0,0.0,23.0,0.0,47.0,0.0,19.0,25.31645569620253,49.0,21.0,48.0,0.0,44.0,37.0,29.403630778568385
2020-11-02,41.0,94.0,46.0,0.0,36.0,37.0,0.0,0.0,0.0,0.0,46.0,0.0,78.0,73.41772151898734,25.0,21.0,69.0,29.0,88.0,36.0,50.68933364684406
2020-11-03,40.0,70.0,23.0,0.0,36.0,36.0,24.0,0.0,0.0,23.0,45.0,0.0,19.0,24.050632911392405,0.0,21.0,23.0,28.0,22.0,18.0,31.850960396876786
2020-11-04,18.0,21.0,82.0,100.0,33.0,33.0,0.0,52.0,21.0,65.0,42.0,79.22077922077922,35.0,21.518987341772153,22.0,19.0,42.0,27.0,60.0,33.0,56.77148426867253
2020-11-05,19.0,0.0,21.0,51.0,0.0,0.0,23.0,26.0,0.0,66.0,21.0,27.272727272727273,0.0,45.56962025316456,23.0,38.0,0.0,14.0,41.0,0.0,29.299766836047404
