date,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5,batch_id
2020-01-01,15.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,12.0,4.550264550264551,0
2020-01-02,0.0,11.0,0.0,12.0,15.0,18.0,32.0,27.0,12.0,0.0,13.43915343915344,0
2020-01-03,0.0,0.0,0.0,13.0,0.0,9.0,0.0,0.0,0.0,0.0,2.3280423280423284,0
2020-01-04,0.0,12.0,0.0,0.0,17.0,10.0,18.0,0.0,13.0,0.0,7.407407407407407,0
2020-01-05,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.9523809523809523,0
2020-01-06,13.0,32.0,16.0,13.0,31.0,19.0,67.0,29.0,49.0,10.0,29.523809523809526,0
2020-01-07,12.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,12.0,0.0,5.079365079365079,0
2020-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-09,0.0,11.0,0.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,3.7037037037037037,0
2020-01-10,25.0,0.0,8.0,13.0,16.0,10.0,0.0,14.0,12.0,10.0,11.428571428571429,0
2020-01-11,0.0,23.0,9.0,14.0,0.0,0.0,18.0,0.0,13.0,11.0,9.312169312169313,0
2020-01-12,51.0,0.0,16.0,0.0,32.0,0.0,17.0,43.0,38.0,19.0,22.857142857142858,0
2020-01-13,11.0,0.0,0.0,11.0,0.0,8.0,43.0,12.0,21.0,26.0,13.968253968253968,0
2020-01-14,53.0,9.0,27.0,11.0,26.0,24.0,42.0,12.0,51.0,0.0,26.984126984126984,0
2020-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2020-01-16,12.0,0.0,8.0,0.0,45.0,18.0,0.0,14.0,24.0,19.0,14.814814814814815,0
2020-01-17,25.0,22.0,8.0,25.0,15.0,9.0,16.0,28.0,0.0,10.0,16.719576719576718,0
2020-01-18,40.0,35.0,26.0,27.0,49.0,10.0,18.0,30.0,26.0,41.0,31.95767195767196,0
2020-01-19,0.0,22.0,8.0,26.0,16.0,10.0,0.0,0.0,12.0,20.0,12.063492063492063,0
2020-01-20,0.0,0.0,8.0,0.0,15.0,9.0,16.0,14.0,0.0,0.0,6.560846560846561,0
2020-01-21,24.0,10.0,0.0,0.0,0.0,9.0,48.0,14.0,12.0,9.0,13.333333333333334,0
