date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc,batch_id
2020-01-01,2.0,4.0,2.0,3.0,3.0,2.0,4.0,1.0,3.0,5.0,2.9,0
2020-01-02,3.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0,0.0,2.0,0
2020-01-03,3.0,3.0,6.0,5.0,5.0,4.0,4.0,5.0,7.0,4.0,4.6,0
2020-01-04,3.0,3.0,4.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,2.9,0
2020-01-05,1.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.8,0
2020-01-06,4.0,5.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.3,0
2020-01-07,2.0,3.0,2.0,5.0,2.0,3.0,2.0,2.0,2.0,4.0,2.7,0
2020-01-08,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,2.1,0
2020-01-09,4.0,2.0,4.0,2.0,4.0,3.0,6.0,4.0,6.0,4.0,3.9,0
2020-01-10,2.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,2.0,0
2020-01-11,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,1.8,0
2020-01-12,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,0
2020-01-13,4.0,3.0,3.0,3.0,4.0,2.0,3.0,1.0,2.0,3.0,2.8,0
2020-01-14,3.0,5.0,1.0,5.0,5.0,5.0,7.0,4.0,2.0,3.0,4.0,0
2020-01-15,1.0,2.0,3.0,4.0,5.0,4.0,1.0,3.0,4.0,4.0,3.1,0
2020-01-16,3.0,5.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.1,0
2020-01-17,2.0,3.0,3.0,3.0,2.0,1.0,5.0,4.0,2.0,3.0,2.8,0
2020-01-18,2.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.1,0
2020-01-19,3.0,4.0,2.0,5.0,6.0,6.0,5.0,2.0,5.0,2.0,4.0,0
2020-01-20,7.0,8.0,7.0,6.0,6.0,6.0,5.0,9.0,5.0,7.0,6.6,0
2020-01-21,8.0,5.0,6.0,6.0,9.0,8.0,7.0,7.0,8.0,6.0,7.0,0
2020-01-22,9.0,9.0,8.0,15.0,10.0,8.0,13.0,10.0,8.0,16.0,10.6,0
2020-01-23,18.0,15.0,13.0,16.0,12.0,16.0,22.0,17.0,13.0,18.0,16.0,0
2020-01-24,22.0,23.0,27.0,28.0,29.0,24.0,28.0,20.0,27.0,22.0,25.0,0
2020-01-25,16.0,11.0,14.0,11.0,16.0,15.0,20.0,10.0,14.0,17.0,14.4,0
2020-01-26,16.0,17.0,16.0,16.0,18.0,16.0,19.0,17.0,19.0,17.0,17.1,0
2020-01-27,17.0,13.0,14.0,21.0,17.0,15.0,18.0,13.0,16.0,21.0,16.5,0
2020-01-28,22.0,23.0,25.0,28.0,26.0,26.0,23.0,20.0,23.0,24.0,24.0,0
2020-01-29,34.0,35.0,35.0,35.0,44.0,37.0,37.0,38.0,30.0,37.0,36.2,0
2020-01-30,33.0,33.0,36.0,35.0,30.0,27.0,30.0,26.0,34.0,25.0,30.9,0
2020-01-31,22.0,31.0,27.0,32.0,26.0,28.0,29.0,26.0,32.0,23.0,27.6,0
2020-02-01,23.0,14.0,27.0,20.0,16.0,17.0,21.0,15.0,18.0,21.0,19.2,0
2020-02-02,16.0,11.0,20.0,17.0,17.0,21.0,20.0,17.0,15.0,19.0,17.3,0
2020-02-03,17.0,15.0,17.0,22.0,16.0,17.0,23.0,18.0,16.0,17.0,17.8,0
2020-02-04,16.0,17.0,13.0,21.0,22.0,13.0,22.0,13.0,14.0,16.0,16.7,0
2020-02-05,15.0,19.0,16.0,20.0,19.0,18.0,21.0,17.0,18.0,16.0,17.9,0
2020-02-06,14.0,14.0,16.0,12.0,13.0,13.0,11.0,14.0,12.0,11.0,13.0,0
2020-02-07,9.0,14.0,14.0,14.0,9.0,10.0,12.0,13.0,8.0,8.0,11.1,0
2020-02-08,8.0,12.0,18.0,14.0,16.0,10.0,14.0,13.0,14.0,14.0,13.3,0
2020-02-09,7.0,10.0,13.0,13.0,13.0,9.0,17.0,11.0,14.0,11.0,11.8,0
2020-02-10,7.0,11.0,6.0,9.0,13.0,7.0,14.0,10.0,13.0,11.0,10.1,0
2020-02-11,16.0,14.0,12.0,17.0,15.0,11.0,14.0,11.0,11.0,14.0,13.5,0
2020-02-12,21.0,20.0,18.0,25.0,20.0,21.0,24.0,24.0,22.0,29.0,22.4,0
2020-02-13,16.0,14.0,18.0,22.0,22.0,17.0,24.0,11.0,18.0,20.0,18.2,0
2020-02-14,9.0,10.0,12.0,14.0,13.0,12.0,14.0,13.0,16.0,11.0,12.4,0
2020-02-15,14.0,14.0,11.0,15.0,14.0,16.0,19.0,14.0,13.0,12.0,14.2,0
2020-02-16,9.0,12.0,11.0,9.0,13.0,11.0,12.0,10.0,14.0,14.0,11.5,0
2020-02-17,19.0,12.0,19.0,22.0,17.0,20.0,25.0,13.0,18.0,20.0,18.5,0
2020-02-18,15.0,13.0,12.0,10.0,16.0,14.0,14.0,9.0,12.0,18.0,13.3,0
2020-02-19,8.0,11.0,9.0,16.0,13.0,13.0,9.0,6.0,10.0,9.0,10.4,0
2020-02-20,7.0,7.0,6.0,4.0,8.0,8.0,5.0,7.0,8.0,8.0,6.8,0
2020-02-21,9.0,9.0,11.0,11.0,11.0,9.0,9.0,7.0,10.0,9.0,9.5,0
2020-02-22,13.0,16.0,15.0,15.0,10.0,12.0,15.0,11.0,15.0,16.0,13.8,0
2020-02-23,14.0,14.0,14.0,14.0,16.0,17.0,22.0,17.0,15.0,21.0,16.4,0
2020-02-24,21.0,21.0,27.0,25.0,26.0,23.0,33.0,19.0,25.0,24.0,24.4,0
2020-02-25,32.0,34.0,31.0,30.0,29.0,32.0,39.0,30.0,36.0,33.0,32.6,0
2020-02-26,49.0,48.0,47.0,61.0,58.0,50.0,68.0,50.0,49.0,44.0,52.4,0
2020-02-27,35.0,38.0,38.0,41.0,40.0,35.0,48.0,34.0,32.0,37.0,37.8,0
2020-02-28,25.0,31.0,28.0,30.0,27.0,24.0,30.0,23.0,29.0,25.0,27.2,0
2020-02-29,17.0,22.0,20.0,23.0,27.0,22.0,31.0,21.0,23.0,21.0,22.7,0
2020-03-01,29.0,28.0,31.0,31.0,32.0,35.0,30.0,32.0,33.0,28.0,30.9,0
2020-03-02,26.0,26.0,25.0,28.0,23.0,26.0,34.0,20.0,28.0,31.0,26.7,0
2020-03-03,21.0,21.0,18.0,20.0,22.0,21.0,25.0,23.0,24.0,18.0,21.3,0
2020-03-04,26.0,23.0,17.0,24.0,27.0,24.0,35.0,23.0,30.0,24.0,25.3,0
