,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-11-14,34.0,31.0,42.0,32.97872340425532,59.0,49.0,57.0,83.0,50.0,47.0,77.0,61.0,27.0,44.0,33.0,52.0,69.0,52.0,65.0,40.0,72.44145208042575
2020-11-15,53.0,43.0,30.0,77.65957446808511,53.0,28.0,78.0,57.0,35.0,12.0,39.0,72.0,54.0,39.0,93.0,81.0,75.0,63.0,47.0,51.0,77.89672254344126
2020-11-16,39.0,39.0,55.0,87.23404255319149,75.0,77.0,60.0,37.0,41.0,48.0,63.0,43.0,24.0,45.0,29.0,51.0,56.0,47.0,50.0,36.0,72.24360842292532
2020-11-17,35.0,35.0,48.0,92.55319148936171,47.0,76.0,45.0,61.0,31.0,42.0,62.0,59.0,53.0,44.0,74.0,69.0,50.0,26.0,33.0,51.0,74.50117325889913
2020-11-18,39.0,27.0,49.0,46.808510638297875,49.0,91.0,41.0,62.0,37.0,71.0,76.0,55.0,64.0,51.0,40.0,42.0,79.0,42.0,30.0,46.0,74.80790761161295
2020-11-19,39.0,31.0,82.0,28.72340425531915,59.0,45.0,46.0,57.0,32.0,32.0,47.0,66.0,39.0,60.0,40.0,47.0,56.0,68.0,39.0,51.0,69.53974510375289
2020-11-20,59.0,33.0,51.0,42.5531914893617,33.0,60.0,69.0,24.0,46.0,44.0,30.0,51.0,46.0,21.0,52.0,29.0,53.0,54.0,22.0,59.0,63.328374461297784
2020-11-21,53.0,52.0,61.0,77.65957446808511,41.0,43.0,56.0,52.0,60.0,24.0,51.0,36.0,70.0,50.0,44.0,57.0,63.0,93.0,56.0,68.0,79.84295201141052
2020-11-22,34.0,48.0,61.0,85.1063829787234,71.0,72.0,29.0,58.0,46.0,73.0,77.0,43.0,60.0,62.0,50.0,41.0,44.0,53.0,29.0,53.0,78.5055902335782
2020-11-23,49.0,32.0,76.0,76.59574468085107,97.0,71.0,61.0,70.0,100.0,54.0,76.0,100.0,65.0,66.0,45.0,47.0,80.0,53.0,60.0,73.0,97.42649878073095
2020-11-24,38.0,27.0,54.0,62.765957446808514,52.0,70.0,35.0,60.0,71.0,42.0,34.0,49.0,68.0,44.0,58.0,41.0,6.0,51.0,54.0,46.0,69.39864730150452
2020-11-25,17.0,30.0,42.0,51.06382978723404,52.0,43.0,34.0,55.0,31.0,47.0,61.0,31.0,52.0,43.0,62.0,40.0,49.0,50.0,28.0,40.0,61.85144855298069
