,/g/1213j0cz_0,/g/1213j0cz_1,/g/1213j0cz_2,/g/1213j0cz_3,/g/1213j0cz_4,/g/1213j0cz_5,/g/1213j0cz_6,/g/1213j0cz_7,/g/1213j0cz_8,/g/1213j0cz_9,/g/1213j0cz_10,/g/1213j0cz_11,/g/1213j0cz_12,/g/1213j0cz_13,/g/1213j0cz_14,/g/1213j0cz_15,/g/1213j0cz_16,/g/1213j0cz_17,/g/1213j0cz_18,/g/1213j0cz_19,/g/1213j0cz
2020-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,37.0,24.0,0.0,0.0,0.0,0.0,6.753688989784337
2020-01-31,39.0,0.0,0.0,0.0,26.0,28.0,25.0,0.0,41.0,26.0,0.0,0.0,0.0,21.0,37.0,0.0,30.0,60.0,31.0,82.0,25.312145289443816
2020-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-02,37.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,24.0,31.0,24.0,0.0,36.0,23.0,0.0,0.0,0.0,0.0,11.464245175936437
2020-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-06,0.0,54.0,0.0,0.0,27.0,30.0,27.0,21.0,43.0,27.0,26.0,70.0,53.0,22.0,0.0,51.0,64.0,32.0,32.0,0.0,32.86038592508513
2020-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,21.0,0.0,0.0,0.0,31.0,0.0,0.0,4.370034052213394
2020-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,72.0,0.0,62.0,23.0,24.0,26.0,47.0,0.0,0.0,23.0,0.0,30.0,46.0,19.0,35.0,22.0,56.0,0.0,28.0,38.0,31.27128263337117
2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,75.0,25.0,33.0,25.0,0.0,27.0,0.0,19.0,20.0,49.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,22.36095346197503
2020-02-18,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,20.0,36.0,0.0,29.0,0.0,29.0,39.0,11.577752553916003
2020-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,42.0,0.0,0.0,0.0,0.0,31.0,28.0,0.0,22.0,55.0,53.0,0.0,0.0,22.0,82.0,26.0,0.0,0.0,0.0,0.0,20.488081725312146
2020-02-23,0.0,0.0,0.0,26.0,25.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,20.0,0.0,0.0,30.0,0.0,0.0,0.0,9.988649262202046
2020-02-24,38.0,24.0,0.0,0.0,0.0,27.0,24.0,19.0,19.0,49.0,24.0,0.0,0.0,20.0,0.0,46.0,29.0,0.0,30.0,39.0,22.02043132803632
2020-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,37.0,0.0,0.0,0.0,24.0,0.0,23.0,37.0,0.0,0.0,0.0,0.0,23.0,19.0,0.0,22.0,28.0,28.0,0.0,38.0,15.83427922814983
2020-02-28,38.0,0.0,0.0,25.0,0.0,28.0,0.0,0.0,20.0,25.0,25.0,0.0,0.0,20.0,0.0,0.0,30.0,30.0,30.0,41.0,17.707150964812715
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0,0.0,27.0,24.0,19.0,19.0,0.0,0.0,31.0,24.0,20.0,36.0,0.0,0.0,29.0,0.0,0.0,12.996594778660613
2020-03-02,0.0,0.0,0.0,23.0,24.0,26.0,0.0,18.0,19.0,47.0,46.0,62.0,23.0,19.0,68.0,22.0,0.0,28.0,28.0,0.0,25.709421112372304
2020-03-03,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,36.0,0.0,29.0,0.0,0.0,0.0,7.832009080590239
2020-03-04,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,19.0,0.0,22.0,0.0,0.0,0.0,38.0,6.923950056753689
2020-03-05,74.0,48.0,66.0,24.0,24.0,0.0,0.0,0.0,0.0,24.0,24.0,31.0,0.0,19.0,35.0,0.0,29.0,0.0,29.0,39.0,26.4472190692395
2020-03-06,0.0,24.0,32.0,0.0,0.0,0.0,23.0,0.0,19.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,8.51305334846765
2020-03-07,40.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.640181611804768
2020-03-08,37.0,0.0,32.0,24.0,0.0,27.0,24.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,36.0,23.0,0.0,0.0,0.0,0.0,12.599318955732123
2020-03-09,36.0,0.0,32.0,0.0,24.0,0.0,23.0,0.0,19.0,47.0,23.0,61.0,0.0,38.0,35.0,0.0,0.0,58.0,0.0,38.0,24.631101021566405
2020-03-10,36.0,24.0,63.0,24.0,24.0,0.0,47.0,37.0,19.0,0.0,0.0,31.0,23.0,38.0,35.0,0.0,28.0,0.0,28.0,0.0,25.936435868331444
2020-03-11,0.0,24.0,0.0,0.0,0.0,0.0,47.0,19.0,19.0,0.0,23.0,30.0,0.0,0.0,70.0,22.0,0.0,28.0,28.0,38.0,19.750283768444948
2020-03-12,0.0,24.0,0.0,0.0,23.0,26.0,23.0,0.0,0.0,23.0,23.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.761634506242906
2020-03-13,40.0,51.0,34.0,51.0,52.0,56.0,77.0,60.0,41.0,52.0,100.0,100.0,76.0,21.0,0.0,49.0,0.0,93.0,31.0,41.0,58.172531214528945
2020-03-14,38.0,100.0,100.0,100.0,100.0,82.0,100.0,100.0,100.0,100.0,73.0,97.0,100.0,80.0,74.0,95.0,92.0,90.0,60.0,81.0,100.0
