date,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-11-06,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,49.0,0.0,0.0,0.0,11.086474501108649
2020-11-07,0.0,0.0,0.0,46.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,30.0,42.0,30.931263858093125
2020-11-08,0.0,24.0,33.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.640798226164081
2020-11-09,0.0,25.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.0,0.0,0.0,0.0,0.0,17.627494456762744
2020-11-10,47.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,24.0,28.0,0.0,32.0,0.0,46.0,27.71618625277161
2020-11-11,45.0,24.0,0.0,47.0,74.0,0.0,93.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,47.0,31.0,0.0,42.0,50.443458980044355
2020-11-12,94.0,0.0,0.0,0.0,0.0,100.0,0.0,89.0,32.0,0.0,47.0,100.0,91.0,48.0,0.0,0.0,0.0,100.0,100.0,45.0,93.79157427937916
2020-11-13,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,17.184035476718403
2020-11-14,45.0,25.0,0.0,49.0,79.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,45.0,24.0,0.0,0.0,0.0,0.0,43.0,39.35698447893571
2020-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-18,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,44.0,28.159645232815965
