date,/m/01c751_0,/m/01c751_1,/m/01c751_2,/m/01c751_3,/m/01c751_4,/m/01c751_5,/m/01c751_6,/m/01c751_7,/m/01c751_8,/m/01c751_9,/m/01c751_10,/m/01c751_11,/m/01c751_12,/m/01c751_13,/m/01c751_14,/m/01c751_15,/m/01c751_16,/m/01c751_17,/m/01c751_18,/m/01c751_19,/m/01c751
2020-10-05,39.0,29.0,19.0,13.0,17.0,26.0,19.0,15.0,27.0,35.0,0.0,36.082474226804116,0.0,0.0,35.714285714285715,0.0,36.0,16.0,20.0,18.0,25.055017291587195
2020-10-06,0.0,14.0,0.0,0.0,0.0,0.0,19.0,15.0,0.0,0.0,14.0,17.525773195876287,0.0,0.0,0.0,15.0,18.0,0.0,20.0,0.0,8.284586780321503
2020-10-07,0.0,14.0,0.0,0.0,0.0,13.0,0.0,15.0,0.0,0.0,0.0,18.55670103092784,0.0,0.0,0.0,15.0,18.0,0.0,0.0,18.0,6.973746678324307
2020-10-08,14.0,0.0,0.0,14.0,19.0,0.0,0.0,0.0,15.0,19.0,0.0,39.17525773195877,0.0,0.0,20.0,16.0,0.0,17.0,21.33333333333333,0.0,12.15932013327519
2020-10-09,30.0,33.0,23.0,29.0,0.0,0.0,0.0,17.0,0.0,0.0,16.0,41.23711340206186,51.0,51.0,41.42857142857143,18.0,42.0,18.0,68.0,41.0,32.48587319216295
2020-10-10,0.0,0.0,46.0,30.0,41.0,0.0,0.0,18.0,16.0,43.0,0.0,21.64948453608248,17.0,18.0,21.428571428571427,18.0,22.0,19.0,24.0,21.0,23.509776367867513
2020-10-11,44.0,17.0,68.0,29.0,20.0,30.0,22.0,34.0,16.0,41.0,33.0,42.2680412371134,17.0,34.0,41.42857142857143,35.0,63.0,18.0,68.0,61.0,45.865593623610216
2020-10-12,0.0,16.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,3.3757032715148987
2020-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-14,67.0,30.0,62.0,53.0,18.0,54.0,61.0,31.0,14.0,56.0,30.0,18.55670103092784,45.0,31.0,75.71428571428571,47.0,57.0,66.0,20.0,19.0,53.46557533310357
