date,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-11-04,0.0,26.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,24.0,0.0,37.0,38.0,0.0,27.272727272727273,0.0,43.0,31.0,64.0,0.0,26.052766958183287
2020-11-05,77.0,27.0,40.0,0.0,0.0,0.0,28.0,28.0,0.0,25.0,0.0,78.0,39.0,0.0,0.0,29.0,0.0,0.0,66.0,41.0,38.641875505254646
2020-11-06,54.0,55.0,40.0,44.0,82.0,34.0,0.0,29.0,0.0,0.0,59.0,0.0,41.0,82.0,56.56565656565657,60.0,91.0,34.0,0.0,0.0,61.565534079681214
2020-11-07,0.0,0.0,0.0,0.0,0.0,34.0,29.0,27.0,0.0,0.0,28.0,40.0,0.0,41.0,28.282828282828284,29.0,0.0,0.0,0.0,0.0,20.718094444852728
2020-11-08,28.0,0.0,0.0,0.0,42.0,0.0,0.0,59.0,0.0,25.0,0.0,0.0,0.0,83.0,28.282828282828284,30.0,0.0,0.0,70.0,43.0,33.00588749254877
2020-11-09,27.0,28.0,0.0,43.0,41.0,35.0,59.0,28.0,47.76119402985075,51.0,29.0,0.0,0.0,0.0,28.282828282828284,30.0,92.0,68.0,35.0,43.0,55.37946825486492
2020-11-10,0.0,0.0,42.0,0.0,0.0,36.0,0.0,0.0,0.0,27.0,0.0,42.0,42.0,42.0,0.0,31.0,0.0,35.0,35.0,44.0,30.396119644300725
2020-11-11,51.0,26.0,38.0,41.0,40.0,0.0,0.0,26.0,44.776119402985074,49.0,27.0,38.0,39.0,38.0,27.272727272727273,85.0,86.0,99.0,100.0,80.0,75.59004419367118
2020-11-12,0.0,0.0,41.0,0.0,42.0,0.0,30.0,0.0,47.76119402985075,26.0,30.0,0.0,0.0,0.0,0.0,31.0,45.0,34.0,0.0,0.0,26.415617949058262
2020-11-13,53.0,0.0,42.0,44.0,41.0,36.0,30.0,58.0,97.01492537313433,26.0,59.0,41.0,42.0,41.0,57.57575757575758,45.0,94.0,35.0,35.0,44.0,74.42123548495489
2020-11-14,28.0,29.0,42.0,44.0,0.0,0.0,0.0,0.0,47.76119402985075,80.0,29.0,84.0,42.0,42.0,0.0,92.0,93.0,35.0,0.0,0.0,55.59912643733636
2020-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,4.7696038803556995
2020-11-16,27.0,28.0,41.0,43.0,0.0,68.0,29.0,28.0,0.0,26.0,29.0,0.0,41.0,85.0,57.57575757575758,29.0,91.0,34.0,0.0,0.0,53.0780725606918
2020-11-17,0.0,0.0,43.0,0.0,0.0,0.0,30.0,28.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,14.066289409862568
2020-11-18,27.0,0.0,82.0,43.0,0.0,35.0,29.0,0.0,97.01492537313433,0.0,0.0,40.0,82.0,0.0,29.292929292929294,30.0,46.0,0.0,0.0,43.0,47.155040797579915
2020-11-19,53.0,0.0,0.0,43.0,0.0,68.0,29.0,29.0,47.76119402985075,78.0,29.0,39.0,82.0,41.0,28.282828282828284,30.0,90.0,34.0,34.0,0.0,61.03832031630388
2020-11-20,0.0,0.0,83.0,45.0,42.0,0.0,0.0,59.0,47.76119402985075,80.0,59.0,0.0,0.0,43.0,30.303030303030305,47.0,0.0,35.0,35.0,44.0,52.551675370483515
2020-11-21,0.0,57.0,0.0,88.0,42.0,35.0,60.0,88.0,47.76119402985075,53.0,0.0,41.0,0.0,0.0,29.292929292929294,92.0,0.0,35.0,70.0,43.0,63.14099622657883
2020-11-22,27.0,0.0,0.0,44.0,42.0,34.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,41.0,0.0,30.0,46.0,0.0,35.0,0.0,26.273241713823765
2020-11-23,0.0,0.0,0.0,44.0,0.0,34.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,12.287793047696038
2020-11-24,27.0,0.0,0.0,0.0,42.0,70.0,29.0,0.0,0.0,26.0,29.0,0.0,82.0,0.0,0.0,30.0,44.0,0.0,0.0,42.0,34.033953112368636
2020-11-25,0.0,27.0,0.0,84.0,80.0,33.0,29.0,28.0,46.26865671641791,0.0,29.0,77.0,40.0,0.0,0.0,58.0,0.0,33.0,33.0,41.0,51.59811291159401
2020-11-26,27.0,28.0,82.0,87.0,83.0,35.0,0.0,30.0,47.76119402985075,26.0,29.0,0.0,41.0,42.0,0.0,46.0,46.0,68.0,34.0,88.0,67.88691948503238
2020-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-28,27.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,31.0,47.0,0.0,0.0,0.0,13.419563459983834
2020-11-29,27.0,0.0,41.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,29.0,40.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,16.89571544058205
2020-11-30,52.0,55.0,40.0,42.0,0.0,100.0,0.0,0.0,92.53731343283582,100.0,28.0,0.0,40.0,0.0,28.282828282828284,30.0,45.0,100.0,34.0,83.0,70.31690717184027
2020-12-01,0.0,55.0,41.0,43.0,42.0,35.0,29.0,28.0,47.76119402985075,26.0,59.0,41.0,41.0,0.0,87.87878787878788,0.0,90.0,34.0,0.0,43.0,60.03556846472423
2020-12-02,0.0,0.0,81.0,43.0,41.0,34.0,29.0,28.0,0.0,0.0,29.0,40.0,0.0,81.0,28.282828282828284,30.0,45.0,33.0,34.0,0.0,46.587132440002286
2020-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-04,0.0,0.0,0.0,0.0,0.0,68.0,29.0,28.0,46.26865671641791,0.0,0.0,39.0,0.0,41.0,28.282828282828284,0.0,44.0,34.0,34.0,41.0,34.96778375094958
2020-12-05,0.0,29.0,41.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,42.0,0.0,42.0,0.0,0.0,0.0,0.0,35.0,44.0,24.818108326596604
2020-12-06,0.0,0.0,0.0,0.0,0.0,35.0,30.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,31.0,46.0,0.0,0.0,0.0,13.581244947453516
2020-12-07,27.0,0.0,42.0,43.0,0.0,34.0,29.0,29.0,46.26865671641791,0.0,0.0,0.0,41.0,0.0,0.0,30.0,46.0,0.0,34.0,41.0,35.75332713956491
2020-12-08,0.0,0.0,0.0,0.0,41.0,34.0,58.0,0.0,46.26865671641791,26.0,0.0,0.0,82.0,0.0,28.282828282828284,29.0,0.0,35.0,68.0,86.0,43.13269886816865
2020-12-09,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,29.292929292929294,30.0,48.0,35.0,34.0,44.0,22.41656663645346
2020-12-10,29.0,29.0,44.0,45.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.31313131313131,32.0,0.0,36.0,0.0,0.0,22.822403501465743
2020-12-11,57.0,29.0,0.0,90.0,86.0,37.0,31.0,31.0,49.25373134328358,27.0,31.0,0.0,0.0,42.0,0.0,47.0,0.0,36.0,0.0,45.0,51.59690633332931
2020-12-12,0.0,0.0,88.0,46.0,0.0,0.0,0.0,0.0,50.74626865671642,55.0,61.0,87.0,86.0,86.0,30.303030303030305,0.0,48.0,37.0,0.0,91.0,61.92799506546052
2020-12-13,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,42.0,0.0,0.0,0.0,32.0,96.0,0.0,0.0,0.0,20.6143896523848
2020-12-14,0.0,0.0,42.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,29.0,41.0,42.0,85.0,0.0,0.0,0.0,35.0,36.0,0.0,27.566693613581243
2020-12-15,0.0,29.0,43.0,0.0,0.0,0.0,30.0,0.0,0.0,27.0,31.0,0.0,85.0,45.0,30.303030303030305,0.0,0.0,35.0,0.0,0.0,28.722961220940203
2020-12-16,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,49.25373134328358,27.0,0.0,42.0,0.0,0.0,30.303030303030305,31.0,46.0,0.0,0.0,44.0,25.429002558311552
2020-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-18,0.0,0.0,47.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,34.0,46.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,21.341956345998383
2020-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,2.7485852869846403
2020-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-21,0.0,0.0,44.0,0.0,45.0,0.0,32.0,0.0,0.0,28.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,17.54244139046079
2020-12-22,0.0,0.0,0.0,47.0,0.0,37.0,32.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.015359741309622
2020-12-23,0.0,30.0,45.0,48.0,0.0,75.0,0.0,0.0,53.73134328358209,0.0,32.0,44.0,44.0,0.0,31.31313131313131,100.0,49.0,75.0,0.0,93.0,58.20893084856211
