,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-12-03,15.0,16.0,25.0,17.0,21.0,24.0,26.0,34.0,18.0,20.0,18.0,24.0,20.0,19.0,32.0,18.0,24.0,18.0,22.0,23.0,21.75438596491228
2020-12-04,13.0,21.0,12.0,15.0,16.0,17.0,17.0,17.0,35.0,23.0,13.0,17.0,15.0,20.0,20.0,23.0,12.0,26.0,18.0,24.0,18.7468671679198
2020-12-05,19.0,19.0,18.0,19.0,23.0,30.0,24.0,39.0,26.0,17.0,20.0,30.0,24.0,26.0,23.0,37.0,18.0,15.0,23.0,29.0,24.01002506265664
2020-12-06,12.0,10.0,9.0,10.0,13.0,19.0,19.0,8.0,30.0,28.0,17.0,13.0,14.0,19.0,18.0,7.0,10.0,17.0,13.0,14.0,15.037593984962406
2020-12-07,23.0,29.0,23.0,24.0,15.0,17.0,18.0,35.0,25.0,33.0,24.0,23.0,14.0,19.0,26.0,26.0,23.0,25.0,20.0,18.0,23.05764411027569
2020-12-08,28.0,22.0,21.0,24.0,30.0,36.0,30.0,41.0,30.0,24.0,28.0,29.0,19.0,32.0,25.0,29.0,29.0,25.0,21.0,29.0,27.669172932330827
2020-12-09,19.0,21.0,33.0,28.0,31.0,36.0,27.0,34.0,32.0,34.0,21.0,26.0,25.0,32.0,34.0,30.0,21.0,24.0,24.0,18.0,27.56892230576441
2020-12-10,25.0,31.0,35.0,25.0,35.0,29.0,27.0,26.0,34.0,30.0,35.0,22.0,23.0,40.0,31.0,31.0,26.0,36.0,24.0,25.0,29.573934837092732
2020-12-11,31.0,31.0,33.0,24.0,31.0,28.0,20.0,30.0,23.0,33.0,31.0,15.0,35.0,27.0,21.0,33.0,25.0,37.0,28.0,19.0,27.81954887218045
2020-12-12,20.0,18.0,26.0,9.0,22.0,5.0,18.0,34.0,21.0,21.0,22.0,25.0,22.0,10.0,13.0,24.0,29.0,23.0,21.0,11.0,19.74937343358396
2020-12-13,23.0,27.0,30.0,15.0,24.0,27.0,25.0,19.0,19.0,20.0,19.0,28.0,17.0,33.0,25.0,28.0,28.0,28.0,20.0,24.0,24.01002506265664
2020-12-14,23.0,41.0,34.0,27.0,29.0,37.0,26.0,34.0,29.0,32.0,27.0,25.0,22.0,19.0,28.0,28.0,28.0,27.0,23.0,28.0,28.42105263157895
2020-12-15,40.0,31.0,36.0,34.0,23.0,43.0,27.0,28.0,49.0,39.0,35.0,39.0,19.0,37.0,31.0,32.0,21.0,47.0,30.0,19.0,33.08270676691729
2020-12-16,23.0,22.0,23.0,27.0,24.0,30.0,21.0,18.0,25.0,38.0,27.0,22.0,26.0,32.0,23.0,28.0,16.0,18.0,21.0,23.0,24.411027568922307
2020-12-17,31.0,24.0,20.0,22.0,18.0,40.0,33.0,22.0,22.0,31.0,26.0,35.0,19.0,37.0,28.0,25.0,38.0,18.0,24.0,24.0,26.917293233082706
2020-12-18,19.0,17.0,17.0,23.0,29.0,16.0,17.0,27.0,37.0,28.0,23.0,22.0,22.0,30.0,24.0,32.0,24.0,23.0,23.0,26.0,24.01002506265664
2020-12-19,34.0,24.0,43.0,33.0,32.0,35.0,30.0,42.0,42.0,29.0,37.0,34.0,40.0,34.0,35.0,35.0,53.0,38.0,35.0,31.0,35.88972431077694
2020-12-20,81.0,71.0,76.0,63.0,96.0,79.0,100.0,95.0,100.0,86.0,87.0,80.0,96.0,85.0,91.0,93.0,90.0,58.0,91.0,94.0,85.81453634085213
2020-12-21,100.0,100.0,100.0,100.0,100.0,100.0,96.0,100.0,99.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-12-22,41.0,52.0,58.0,49.0,47.0,52.0,57.0,62.0,51.0,53.0,55.0,49.0,34.0,56.0,73.0,60.0,43.0,57.0,42.0,57.0,52.531328320802004
2020-12-23,36.0,45.0,39.0,34.0,35.0,45.0,40.0,50.0,48.0,33.0,35.0,39.0,27.0,32.0,46.0,48.0,30.0,46.0,37.0,43.0,39.49874686716792
2020-12-24,23.0,45.0,38.0,29.0,32.0,49.0,37.0,49.0,39.0,39.0,37.0,46.0,20.0,22.0,38.0,38.0,36.0,36.0,33.0,45.0,36.641604010025056
2020-12-25,28.0,19.0,39.0,17.0,28.0,28.0,27.0,37.0,32.0,25.0,27.0,22.0,24.0,40.0,36.0,26.0,35.0,32.0,29.0,20.0,28.62155388471178
2020-12-26,62.0,51.0,64.0,54.0,80.0,64.0,66.0,81.0,57.0,85.0,74.0,60.0,59.0,61.0,74.0,64.0,61.0,90.0,61.0,50.0,66.06516290726817
2020-12-27,32.0,51.0,48.0,35.0,50.0,66.0,42.0,61.0,40.0,52.0,35.0,38.0,28.0,64.0,61.0,61.0,44.0,47.0,47.0,40.0,47.21804511278196
2020-12-28,24.0,39.0,23.0,34.0,22.0,12.0,36.0,30.0,46.0,36.0,23.0,41.0,32.0,36.0,23.0,33.0,34.0,33.0,25.0,29.0,30.6265664160401
2020-12-29,27.0,30.0,27.0,33.0,20.0,30.0,27.0,25.0,27.0,27.0,26.0,27.0,24.0,19.0,20.0,31.0,28.0,35.0,18.0,26.0,26.416040100250626
2020-12-30,30.0,42.0,45.0,34.0,35.0,25.0,43.0,35.0,37.0,30.0,28.0,26.0,19.0,37.0,32.0,40.0,33.0,36.0,26.0,25.0,32.98245614035088
2020-12-31,27.0,33.0,35.0,30.0,40.0,40.0,18.0,45.0,30.0,29.0,20.0,28.0,36.0,33.0,16.0,43.0,42.0,22.0,22.0,29.0,30.977443609022558
2021-01-01,30.0,35.0,35.0,28.0,31.0,31.0,35.0,38.0,38.0,26.0,30.0,32.0,29.0,43.0,42.0,39.0,23.0,32.0,29.0,29.0,32.83208020050125
2021-01-02,17.0,24.0,26.0,15.0,23.0,20.0,14.0,26.0,35.0,24.0,19.0,24.0,17.0,30.0,23.0,25.0,17.0,26.0,20.0,21.0,22.355889724310778
