,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-10-05,17.0,0.0,44.0,26.0,13.0,17.0,15.0,45.0,28.0,31.0,0.0,52.0,0.0,59.0,39.0,23.0,15.0,31.0,29.0,50.0,40.769017212659634
2020-10-06,0.0,41.0,30.0,78.0,0.0,0.0,15.0,76.0,43.0,31.0,0.0,86.0,34.84848484848485,89.0,53.0,83.0,15.0,31.0,100.0,51.0,65.41736072552285
2020-10-07,17.0,13.0,0.0,26.0,13.0,52.0,15.0,44.0,28.0,31.0,0.0,17.0,16.666666666666668,29.0,13.0,12.0,30.0,30.0,28.0,34.0,34.25411808254674
2020-10-08,18.0,54.0,60.0,40.0,13.0,52.0,15.0,61.0,58.0,47.0,37.0,35.0,53.03030303030303,45.0,27.0,60.0,46.0,47.0,29.0,51.0,64.74412363501759
2020-10-09,22.0,16.0,18.0,16.0,32.0,42.0,37.0,18.0,0.0,57.0,44.0,0.0,65.15151515151516,37.0,32.0,0.0,19.0,19.0,53.0,41.0,43.37636498241718
2020-10-10,22.0,34.0,56.0,0.0,34.0,22.0,39.0,19.0,18.0,20.0,70.0,66.0,22.727272727272727,38.0,50.0,15.0,19.0,0.0,18.0,22.0,44.64186563020545
2020-10-11,0.0,0.0,0.0,0.0,16.0,41.0,18.0,36.0,34.0,56.0,87.0,0.0,21.21212121212121,54.0,31.0,14.0,36.0,18.0,17.0,20.0,38.11308532296872
2020-10-12,20.0,47.0,17.0,15.0,30.0,60.0,0.0,88.0,50.0,18.0,42.0,80.0,40.90909090909091,35.0,15.0,42.0,53.0,18.0,17.0,0.0,52.519433647973344
2020-10-13,20.0,30.0,34.0,15.0,30.0,39.0,17.0,17.0,33.0,0.0,41.0,40.0,0.0,34.0,0.0,14.0,0.0,52.0,16.0,39.0,35.95918933925597
2020-10-14,57.0,59.0,64.0,28.0,100.0,56.0,49.0,49.0,78.0,85.0,59.0,19.0,56.06060606060606,81.0,28.0,39.0,66.0,50.0,31.0,37.0,83.29863039052378
