date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-10-05,61.0,50.0,58.0,55.0,100.0,33.0,62.0,27.0,24.0,48.0,25.0,36.0,49.0,62.0,65.0,45.0,48.0,35.0,32.0,49.0,58.960244648318046
2020-10-06,43.0,29.0,73.0,44.0,64.0,67.0,51.0,39.0,43.0,60.0,52.0,62.0,57.0,63.0,40.0,53.0,61.0,57.0,54.0,64.0,65.81039755351682
2020-10-07,56.0,36.0,39.0,32.0,38.0,33.0,39.0,44.0,25.0,48.0,26.0,31.0,22.0,56.0,53.0,34.0,49.0,86.0,49.0,57.0,52.17125382262997
2020-10-08,99.0,64.0,99.0,75.0,70.0,46.0,71.0,61.0,62.0,55.0,63.0,37.0,79.0,35.0,40.0,66.0,74.0,22.0,54.0,50.0,74.74006116207951
2020-10-09,62.0,48.0,51.0,42.0,14.0,81.0,21.0,31.0,62.0,54.0,29.0,14.0,32.0,39.0,22.0,52.0,41.0,24.0,24.0,65.0,49.41896024464832
2020-10-10,53.0,70.0,64.0,69.0,70.0,97.0,31.0,47.0,60.0,40.0,50.0,75.0,96.0,77.0,81.0,80.0,59.0,79.0,46.0,52.0,79.26605504587155
2020-10-11,93.0,33.0,68.0,50.0,74.0,100.0,73.0,96.0,100.0,100.0,60.0,100.0,82.0,32.0,85.0,92.0,99.0,100.0,76.0,100.0,98.65443425076454
2020-10-12,46.0,38.0,28.0,39.0,54.0,14.0,47.0,35.0,58.0,11.0,27.0,39.0,38.0,15.0,42.0,28.0,32.0,38.0,34.0,53.0,43.7920489296636
2020-10-13,72.0,76.0,55.0,53.0,67.0,56.0,47.0,47.0,65.0,46.0,71.0,90.0,38.0,88.0,77.0,56.0,39.0,99.0,40.0,68.0,76.4525993883792
2020-10-14,52.0,60.0,55.0,39.0,40.0,56.0,60.0,69.0,45.0,62.0,27.0,39.0,67.0,80.0,56.0,41.0,84.0,67.0,45.0,67.0,67.95107033639144
2020-10-15,100.0,55.0,92.0,82.0,62.0,36.0,48.0,78.0,68.0,35.0,62.0,94.0,100.0,99.0,80.0,94.0,100.0,86.0,100.0,87.0,95.29051987767585
2020-10-16,40.0,62.0,100.0,68.0,62.0,51.0,35.0,60.0,61.0,47.0,79.0,67.0,54.0,92.0,66.0,72.0,46.0,63.0,47.0,94.0,77.43119266055047
2020-10-17,75.0,96.0,71.0,84.0,92.0,72.0,78.0,60.0,67.0,73.0,57.0,75.0,69.0,93.0,96.0,89.0,89.0,96.0,78.0,61.0,96.08562691131499
2020-10-18,51.0,34.0,79.0,45.0,23.0,32.0,31.0,46.0,74.0,58.0,31.0,37.0,68.0,42.0,48.0,63.0,36.0,43.0,38.0,52.0,56.94189602446483
2020-10-19,27.0,31.0,57.0,27.0,41.0,29.0,41.0,41.0,60.0,29.0,17.0,40.0,61.0,60.0,43.0,50.0,85.0,62.0,29.0,46.0,53.57798165137615
2020-10-20,77.0,68.0,41.0,71.0,34.0,76.0,46.0,46.0,32.0,34.0,27.0,38.0,82.0,44.0,35.0,55.0,32.0,52.0,34.0,37.0,58.776758409785934
2020-10-21,45.0,60.0,41.0,39.0,13.0,69.0,39.0,40.0,51.0,45.0,48.0,57.0,37.0,50.0,48.0,61.0,57.0,37.0,33.0,59.0,56.81957186544342
