date,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc,batch_id
2020-01-01,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.3078470824949697,0
2020-01-02,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.8108651911468812,0
2020-01-03,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.8108651911468812,0
2020-01-04,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0120724346076457,0
2020-01-05,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9114688128772634,0
2020-01-06,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.112676056338028,0
2020-01-07,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0120724346076457,0
2020-01-08,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.515090543259557,0
2020-01-09,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.52112676056338,0
2020-01-10,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.112676056338028,0
2020-01-11,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.112676056338028,0
2020-01-12,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.112676056338028,0
2020-01-13,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.7102615694164989,0
2020-01-14,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0120724346076457,0
2020-01-15,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.112676056338028,0
2020-01-16,2.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.515090543259557,0
2020-01-17,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0120724346076457,0
2020-01-18,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.3199195171026155,0
2020-01-19,5.0,5.0,4.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.130784708249496,0
2020-01-20,10.0,9.0,10.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0,9.456740442655935,0
2020-01-21,16.0,17.0,16.0,18.0,19.0,18.0,19.0,18.0,18.0,20.0,18.008048289738426,0
2020-01-22,24.0,23.0,23.0,26.0,23.0,25.0,25.0,23.0,23.0,25.0,24.14486921529175,0
2020-01-23,36.0,34.0,34.0,37.0,34.0,33.0,34.0,34.0,36.0,32.0,34.60764587525151,0
2020-01-24,52.0,52.0,53.0,54.0,51.0,51.0,53.0,51.0,51.0,50.0,52.112676056338024,0
2020-01-25,62.0,64.0,62.0,64.0,64.0,65.0,64.0,65.0,63.0,63.0,63.983903420523134,0
2020-01-26,38.0,37.0,38.0,39.0,36.0,38.0,38.0,39.0,39.0,38.0,38.22937625754527,0
2020-01-27,36.0,36.0,36.0,35.0,34.0,35.0,36.0,36.0,36.0,37.0,35.91549295774648,0
2020-01-28,24.0,24.0,27.0,26.0,27.0,27.0,24.0,27.0,26.0,26.0,25.95573440643863,0
2020-01-29,23.0,23.0,22.0,22.0,22.0,21.0,23.0,22.0,21.0,23.0,22.334004024144868,0
2020-01-30,25.0,23.0,23.0,26.0,25.0,24.0,24.0,22.0,24.0,24.0,24.14486921529175,0
2020-01-31,23.0,23.0,24.0,22.0,22.0,22.0,22.0,21.0,21.0,23.0,22.43460764587525,0
2020-02-01,15.0,15.0,15.0,16.0,16.0,15.0,16.0,15.0,17.0,16.0,15.694164989939637,0
2020-02-02,16.0,17.0,16.0,16.0,16.0,16.0,16.0,16.0,15.0,15.0,15.995975855130784,0
2020-02-03,15.0,12.0,14.0,14.0,14.0,13.0,16.0,14.0,15.0,15.0,14.285714285714285,0
2020-02-04,14.0,13.0,13.0,15.0,14.0,13.0,15.0,13.0,14.0,14.0,13.883299798792756,0
2020-02-05,12.0,11.0,11.0,12.0,12.0,11.0,13.0,11.0,12.0,12.0,11.770623742454728,0
2020-02-06,11.0,11.0,11.0,12.0,11.0,12.0,13.0,10.0,12.0,10.0,11.368209255533198,0
2020-02-07,12.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,11.770623742454728,0
2020-02-08,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,15.0,14.185110663983902,0
2020-02-09,11.0,11.0,11.0,12.0,12.0,11.0,12.0,12.0,11.0,11.0,11.46881287726358,0
2020-02-10,11.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0,12.0,10.0,11.368209255533198,0
2020-02-11,10.0,9.0,10.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,9.6579476861167,0
2020-02-12,11.0,12.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,12.0,11.066398390342052,0
2020-02-13,9.0,9.0,8.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,9.356136820925554,0
2020-02-14,9.0,7.0,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,8.249496981891346,0
2020-02-15,11.0,9.0,9.0,9.0,10.0,9.0,10.0,9.0,9.0,9.0,9.456740442655935,0
2020-02-16,8.0,8.0,8.0,8.0,9.0,7.0,9.0,9.0,8.0,8.0,8.249496981891346,0
2020-02-17,7.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,7.746478873239436,0
2020-02-18,10.0,10.0,10.0,11.0,10.0,9.0,9.0,11.0,9.0,10.0,9.959758551307846,0
2020-02-19,7.0,8.0,7.0,9.0,9.0,7.0,8.0,8.0,8.0,9.0,8.048289738430583,0
2020-02-20,7.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.740442655935613,0
2020-02-21,7.0,7.0,7.0,7.0,8.0,7.0,7.0,8.0,8.0,7.0,7.344064386317907,0
2020-02-22,10.0,10.0,11.0,9.0,11.0,9.0,9.0,9.0,10.0,10.0,9.859154929577466,0
2020-02-23,20.0,20.0,19.0,20.0,20.0,18.0,21.0,19.0,20.0,21.0,19.919517102615693,0
2020-02-24,26.0,28.0,28.0,25.0,28.0,27.0,28.0,27.0,29.0,28.0,27.565392354124747,0
2020-02-25,31.0,29.0,31.0,32.0,30.0,31.0,30.0,29.0,31.0,29.0,30.482897384305833,0
2020-02-26,34.0,32.0,32.0,31.0,34.0,34.0,35.0,33.0,34.0,33.0,33.400402414486926,0
2020-02-27,34.0,33.0,35.0,33.0,34.0,35.0,34.0,34.0,34.0,33.0,34.1046277665996,0
2020-02-28,51.0,48.0,49.0,49.0,48.0,46.0,50.0,48.0,47.0,46.0,48.49094567404426,0
2020-02-29,39.0,42.0,40.0,43.0,42.0,40.0,41.0,42.0,41.0,40.0,41.24748490945674,0
2020-03-01,42.0,44.0,41.0,44.0,46.0,42.0,44.0,42.0,43.0,44.0,43.46076458752515,0
2020-03-02,52.0,53.0,49.0,52.0,52.0,53.0,53.0,54.0,51.0,53.0,52.515090543259554,0
2020-03-03,47.0,45.0,43.0,46.0,43.0,42.0,44.0,45.0,46.0,44.0,44.76861167002012,0
2020-03-04,39.0,38.0,40.0,43.0,40.0,39.0,40.0,40.0,39.0,40.0,40.04024144869214,0
2020-03-05,44.0,42.0,42.0,44.0,43.0,42.0,44.0,44.0,45.0,43.0,43.561368209255534,0
2020-03-06,43.0,43.0,43.0,45.0,45.0,42.0,46.0,44.0,44.0,45.0,44.265593561368206,0
2020-03-07,40.0,41.0,39.0,43.0,40.0,39.0,39.0,40.0,41.0,41.0,40.54325955734406,0
2020-03-08,40.0,39.0,41.0,41.0,42.0,40.0,43.0,44.0,41.0,41.0,41.4486921529175,0
2020-03-09,45.0,41.0,42.0,43.0,45.0,42.0,43.0,46.0,43.0,46.0,43.86317907444668,0
2020-03-10,45.0,47.0,44.0,46.0,48.0,47.0,45.0,46.0,46.0,50.0,46.68008048289738,0
2020-03-11,47.0,49.0,48.0,46.0,48.0,47.0,48.0,49.0,49.0,48.0,48.18913480885312,0
2020-03-12,82.0,79.0,79.0,82.0,77.0,78.0,79.0,78.0,77.0,81.0,79.67806841046277,0
2020-03-13,87.0,93.0,88.0,89.0,90.0,92.0,91.0,94.0,92.0,91.0,91.24748490945673,0
2020-03-14,100.0,99.0,95.0,100.0,100.0,99.0,100.0,100.0,100.0,100.0,99.89939637826961,0
2020-03-15,100.0,100.0,100.0,100.0,100.0,100.0,98.0,99.0,99.0,98.0,100.0,0
2020-03-16,88.0,89.0,90.0,92.0,89.0,91.0,93.0,92.0,90.0,92.0,91.14688128772636,0
2020-03-17,81.0,76.0,78.0,77.0,79.0,77.0,77.0,76.0,76.0,78.0,77.96780684104627,0
2020-03-18,77.0,75.0,75.0,79.0,78.0,74.0,77.0,76.0,78.0,78.0,77.16297786720321,0
2020-03-19,72.0,71.0,68.0,70.0,73.0,70.0,71.0,71.0,72.0,67.0,70.92555331991952,0
2020-03-20,59.0,56.0,59.0,58.0,60.0,58.0,58.0,56.0,59.0,57.0,58.350100603621726,0
2020-03-21,64.0,60.0,62.0,63.0,63.0,60.0,61.0,63.0,62.0,64.0,62.57545271629778,0
2020-03-22,60.0,58.0,58.0,58.0,59.0,61.0,61.0,62.0,57.0,57.0,59.456740442655935,0
2020-03-23,47.0,47.0,49.0,47.0,47.0,45.0,48.0,46.0,49.0,48.0,47.585513078470825,0
2020-03-24,52.0,53.0,53.0,54.0,53.0,53.0,56.0,52.0,51.0,54.0,53.420523138833,0
2020-03-25,46.0,47.0,46.0,50.0,51.0,48.0,51.0,49.0,47.0,48.0,48.59154929577465,0
2020-03-26,43.0,45.0,44.0,43.0,43.0,45.0,40.0,45.0,44.0,43.0,43.7625754527163,0
2020-03-27,42.0,42.0,42.0,42.0,41.0,42.0,42.0,41.0,42.0,41.0,41.95171026156942,0
2020-03-28,40.0,40.0,38.0,39.0,43.0,42.0,41.0,41.0,41.0,41.0,40.84507042253521,0
2020-03-29,40.0,38.0,40.0,39.0,38.0,38.0,40.0,38.0,37.0,39.0,38.93360160965795,0
2020-03-30,29.0,27.0,28.0,31.0,29.0,29.0,30.0,28.0,29.0,29.0,29.07444668008048,0
2020-03-31,28.0,28.0,28.0,29.0,28.0,28.0,30.0,29.0,28.0,29.0,28.67203219315895,0
2020-04-01,27.0,27.0,24.0,27.0,26.0,26.0,26.0,28.0,27.0,27.0,26.659959758551306,0
2020-04-02,27.0,25.0,27.0,25.0,25.0,27.0,26.0,26.0,29.0,25.0,26.35814889336016,0
2020-04-03,25.0,24.0,27.0,26.0,26.0,27.0,26.0,27.0,27.0,25.0,26.156941649899395,0
2020-04-04,28.0,27.0,25.0,29.0,25.0,26.0,26.0,27.0,26.0,28.0,26.86116700201207,0
2020-04-05,24.0,23.0,23.0,24.0,23.0,23.0,24.0,25.0,23.0,24.0,23.74245472837022,0
2020-04-06,23.0,22.0,23.0,23.0,23.0,22.0,22.0,22.0,22.0,21.0,22.43460764587525,0
2020-04-07,20.0,21.0,21.0,21.0,21.0,20.0,20.0,21.0,22.0,21.0,20.925553319919516,0
2020-04-08,21.0,20.0,20.0,19.0,21.0,19.0,20.0,20.0,21.0,19.0,20.120724346076457,0
2020-04-09,19.0,17.0,18.0,19.0,18.0,18.0,19.0,18.0,19.0,17.0,18.309859154929576,0
2020-04-10,16.0,17.0,18.0,18.0,17.0,18.0,17.0,19.0,18.0,18.0,17.706237424547286,0
2020-04-11,18.0,16.0,18.0,18.0,18.0,18.0,17.0,18.0,20.0,18.0,18.008048289738426,0
2020-04-12,17.0,17.0,17.0,21.0,18.0,16.0,19.0,18.0,19.0,19.0,18.209255533199197,0
2020-04-13,19.0,17.0,17.0,19.0,19.0,18.0,20.0,17.0,19.0,18.0,18.41046277665996,0
2020-04-14,16.0,16.0,15.0,18.0,16.0,15.0,16.0,15.0,16.0,16.0,15.995975855130784,0
2020-04-15,15.0,15.0,16.0,15.0,17.0,16.0,16.0,17.0,15.0,16.0,15.895372233400401,0
2020-04-16,16.0,16.0,16.0,17.0,16.0,15.0,15.0,16.0,17.0,17.0,16.19718309859155,0
2020-04-17,18.0,19.0,19.0,19.0,18.0,19.0,18.0,17.0,19.0,17.0,18.41046277665996,0
2020-04-18,17.0,16.0,17.0,17.0,17.0,16.0,16.0,15.0,18.0,16.0,16.599597585513077,0
2020-04-19,16.0,16.0,17.0,17.0,16.0,17.0,16.0,16.0,16.0,16.0,16.398390342052313,0
2020-04-20,14.0,14.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,14.587525150905432,0
2020-04-21,13.0,13.0,14.0,13.0,13.0,14.0,14.0,13.0,13.0,14.0,13.480885311871226,0
2020-04-22,13.0,14.0,13.0,14.0,13.0,13.0,12.0,12.0,12.0,13.0,12.977867203219315,0
2020-04-23,14.0,13.0,13.0,14.0,15.0,13.0,14.0,12.0,14.0,14.0,13.682092555331991,0
2020-04-24,12.0,13.0,13.0,13.0,13.0,13.0,13.0,14.0,13.0,13.0,13.078470824949697,0
2020-04-25,13.0,12.0,11.0,13.0,11.0,13.0,12.0,12.0,12.0,13.0,12.273641851106639,0
2020-04-26,12.0,12.0,12.0,14.0,13.0,11.0,13.0,12.0,11.0,12.0,12.273641851106639,0
2020-04-27,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,10.0,11.0,10.96579476861167,0
2020-04-28,14.0,13.0,14.0,14.0,13.0,13.0,13.0,14.0,14.0,14.0,13.682092555331991,0
2020-04-29,15.0,14.0,15.0,16.0,16.0,15.0,16.0,15.0,16.0,16.0,15.492957746478872,0
2020-04-30,16.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,17.0,16.0,15.593561368209254,0
2020-05-01,15.0,14.0,14.0,15.0,14.0,14.0,15.0,14.0,16.0,14.0,14.587525150905432,0
2020-05-02,12.0,12.0,11.0,12.0,13.0,13.0,12.0,13.0,13.0,12.0,12.374245472837021,0
2020-05-03,11.0,11.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0,11.0,11.368209255533198,0
2020-05-04,10.0,10.0,11.0,10.0,11.0,10.0,10.0,10.0,9.0,9.0,10.060362173038229,0
2020-05-05,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,10.0,10.362173038229376,0
2020-05-06,10.0,9.0,10.0,11.0,10.0,10.0,10.0,9.0,10.0,10.0,9.959758551307846,0
2020-05-07,10.0,10.0,10.0,11.0,10.0,10.0,11.0,11.0,10.0,11.0,10.462776659959758,0
2020-05-08,10.0,9.0,9.0,11.0,9.0,10.0,10.0,9.0,10.0,10.0,9.75855130784708,0
2020-05-09,10.0,11.0,12.0,12.0,11.0,10.0,11.0,10.0,13.0,11.0,11.167002012072434,0
2020-05-10,13.0,12.0,10.0,12.0,12.0,11.0,11.0,12.0,11.0,12.0,11.670020120724345,0
2020-05-11,10.0,9.0,10.0,10.0,10.0,8.0,10.0,9.0,9.0,9.0,9.456740442655935,0
2020-05-12,9.0,9.0,9.0,11.0,10.0,10.0,10.0,9.0,11.0,9.0,9.75855130784708,0
2020-05-13,11.0,10.0,9.0,9.0,10.0,10.0,9.0,10.0,10.0,9.0,9.75855130784708,0
2020-05-14,10.0,10.0,10.0,10.0,9.0,10.0,11.0,10.0,11.0,11.0,10.261569416498991,0
2020-05-15,10.0,10.0,8.0,10.0,9.0,10.0,9.0,9.0,9.0,10.0,9.456740442655935,0
2020-05-16,9.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,8.0,9.0,8.551307847082494,0
2020-05-17,9.0,8.0,8.0,9.0,9.0,8.0,9.0,9.0,9.0,10.0,8.853118712273643,0
2020-05-18,8.0,8.0,8.0,8.0,7.0,8.0,8.0,9.0,8.0,7.0,7.947686116700201,0
2020-05-19,7.0,7.0,7.0,7.0,7.0,7.0,8.0,6.0,7.0,8.0,7.142857142857142,0
2020-05-20,8.0,8.0,8.0,7.0,6.0,8.0,7.0,7.0,8.0,7.0,7.444668008048289,0
2020-05-21,7.0,8.0,6.0,7.0,8.0,8.0,8.0,7.0,9.0,8.0,7.645875251509054,0
2020-05-22,6.0,6.0,5.0,6.0,5.0,6.0,5.0,7.0,6.0,5.0,5.73440643863179,0
2020-05-23,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,6.0,6.0,6.338028169014084,0
