,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-11-18,45.0,29.0,50.0,0.0,0.0,64.0,0.0,33.0,0.0,0.0,24.0,0.0,24.0,0.0,35.0,0.0,0.0,24.0,0.0,99.0,35.15777042199637
2020-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-20,0.0,0.0,0.0,0.0,32.0,32.0,0.0,0.0,33.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,14.902942497380197
2020-11-21,0.0,0.0,50.0,44.0,0.0,31.0,0.0,0.0,0.0,50.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,20.419501322377283
2020-11-22,47.0,30.0,51.0,45.0,34.0,0.0,0.0,34.0,0.0,100.0,0.0,34.0,0.0,50.505050505050505,0.0,46.0,47.0,26.0,44.0,50.0,52.57239807714699
2020-11-23,90.0,30.0,49.0,89.0,33.0,33.0,31.0,100.0,33.0,51.0,24.0,100.0,24.0,51.515151515151516,34.0,90.0,46.0,100.0,45.0,100.0,94.97662968445914
2020-11-24,0.0,0.0,97.0,0.0,0.0,31.0,60.0,32.0,0.0,0.0,23.0,32.0,23.0,49.494949494949495,0.0,0.0,0.0,24.0,42.0,99.0,42.19714233437016
2020-11-25,0.0,0.0,0.0,85.0,31.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.103494735441373
2020-11-26,0.0,0.0,0.0,45.0,98.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,27.335784028343788
2020-11-27,44.0,30.0,0.0,0.0,32.0,0.0,31.0,33.0,32.0,48.0,0.0,0.0,0.0,49.494949494949495,34.0,0.0,44.0,25.0,0.0,0.0,33.14010545750927
2020-11-28,0.0,0.0,48.0,0.0,31.0,31.0,0.0,33.0,0.0,49.0,0.0,0.0,23.0,50.505050505050505,0.0,0.0,0.0,24.0,44.0,0.0,27.45970491857815
2020-11-29,0.0,0.0,0.0,43.0,62.0,0.0,29.0,0.0,64.0,46.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,25.44203995409105
2020-11-30,0.0,29.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,24.0,0.0,23.0,0.0,34.0,0.0,0.0,0.0,42.0,0.0,15.067615895141302
