,/m/0g9pc_0,/m/0g9pc_1,/m/0g9pc_2,/m/0g9pc_3,/m/0g9pc_4,/m/0g9pc_5,/m/0g9pc_6,/m/0g9pc_7,/m/0g9pc_8,/m/0g9pc_9,/m/0g9pc_10,/m/0g9pc_11,/m/0g9pc_12,/m/0g9pc_13,/m/0g9pc_14,/m/0g9pc_15,/m/0g9pc_16,/m/0g9pc_17,/m/0g9pc_18,/m/0g9pc_19,/m/0g9pc
2020-10-05,45.0,25.0,35.0,19.0,49.0,24.0,43.0,13.0,19.0,23.0,63.0,46.0,35.0,14.0,23.0,33.0,0.0,37.0,27.0,31.0,35.383714118336265
2020-10-06,15.0,43.0,14.0,19.0,21.0,33.0,52.0,39.0,26.0,45.0,40.0,56.0,28.0,21.0,28.0,50.0,30.0,46.0,34.0,32.0,39.36731107205624
2020-10-07,54.0,43.0,49.0,39.0,14.0,34.0,27.0,47.0,33.0,15.0,0.0,38.0,50.0,66.0,17.0,51.0,15.0,28.0,14.0,40.0,39.48447568834213
2020-10-08,33.0,38.0,30.0,49.0,30.0,45.0,19.0,29.0,14.0,16.0,26.0,40.0,23.0,31.0,19.0,36.0,73.0,41.0,30.0,44.0,39.01581722319859
2020-10-09,35.0,10.0,8.0,15.0,8.0,10.0,10.0,15.0,23.0,18.0,18.0,11.0,24.0,17.0,7.0,19.0,26.0,22.0,8.0,9.0,18.33626244874048
2020-10-10,28.0,10.0,34.0,8.0,26.0,30.0,11.0,16.0,16.0,18.0,19.0,34.0,43.0,9.0,14.0,21.0,9.0,23.0,17.0,38.0,24.838898652606915
2020-10-11,27.0,30.0,25.0,37.0,8.0,19.0,41.0,30.0,23.0,26.0,18.0,11.0,33.0,17.0,0.0,39.0,18.0,22.0,39.0,28.0,28.76391329818395
2020-10-12,26.0,39.0,16.0,29.0,32.0,28.0,48.0,37.0,22.0,26.0,0.0,11.0,23.0,24.0,38.0,19.0,26.0,52.0,15.0,35.0,31.985940246045697
2020-10-13,25.0,38.0,39.0,7.0,15.0,37.0,48.0,66.0,0.0,25.0,17.0,51.0,39.0,0.0,45.0,37.0,17.0,63.0,15.0,9.0,34.739308728763916
2020-10-14,57.0,9.0,23.0,35.0,45.0,64.0,65.0,21.0,14.0,49.0,59.0,60.0,53.0,24.0,19.0,54.0,8.0,40.0,44.0,51.0,46.51435266549503
2020-10-15,18.0,30.0,33.0,7.0,33.0,38.0,100.0,83.0,30.0,26.0,55.0,54.0,16.0,50.0,47.0,39.0,26.0,65.0,32.0,37.0,47.97891036906855
2020-10-16,54.0,60.0,33.0,30.0,58.0,49.0,51.0,31.0,61.0,63.0,74.0,75.0,41.0,34.0,47.0,69.0,35.0,22.0,32.0,18.0,54.89162272993556
2020-10-17,28.0,22.0,26.0,0.0,18.0,21.0,22.0,17.0,25.0,19.0,30.0,23.0,18.0,36.0,36.0,21.0,28.0,12.0,34.0,10.0,26.12770943175161
2020-10-18,19.0,66.0,18.0,8.0,18.0,32.0,22.0,8.0,24.0,28.0,10.0,35.0,26.0,18.0,14.0,11.0,19.0,35.0,17.0,59.0,28.529584065612188
2020-10-19,25.0,9.0,31.0,36.0,31.0,37.0,29.0,36.0,29.0,25.0,26.0,30.0,23.0,48.0,25.0,56.0,17.0,52.0,22.0,17.0,35.383714118336265
2020-10-20,31.0,18.0,21.0,7.0,14.0,34.0,27.0,14.0,13.0,8.0,16.0,29.0,14.0,15.0,23.0,26.0,39.0,29.0,35.0,24.0,25.600468658465147
2020-10-21,16.0,36.0,37.0,28.0,38.0,45.0,37.0,21.0,21.0,25.0,0.0,30.0,15.0,39.0,25.0,45.0,33.0,71.0,44.0,34.0,37.49267721148213
2020-10-22,24.0,55.0,37.0,34.0,75.0,53.0,55.0,35.0,35.0,57.0,50.0,78.0,75.0,61.0,24.0,44.0,48.0,60.0,50.0,67.0,59.57820738137083
2020-10-23,25.0,19.0,31.0,56.0,31.0,18.0,57.0,36.0,22.0,51.0,18.0,31.0,54.0,56.0,31.0,64.0,58.0,51.0,45.0,35.0,46.22144112478033
2020-10-24,28.0,21.0,34.0,55.0,35.0,20.0,21.0,48.0,16.0,28.0,29.0,45.0,34.0,18.0,35.0,20.0,46.0,11.0,25.0,29.0,35.03222026947862
2020-10-25,34.0,56.0,54.0,21.0,63.0,36.0,38.0,36.0,43.0,17.0,43.0,82.0,31.0,32.0,38.0,37.0,33.0,62.0,7.0,44.0,47.27592267135326
2020-10-26,47.0,45.0,22.0,33.0,15.0,52.0,18.0,21.0,34.0,32.0,8.0,58.0,29.0,15.0,24.0,43.0,64.0,59.0,43.0,42.0,41.24194493263035
2020-10-27,32.0,100.0,7.0,54.0,74.0,88.0,54.0,48.0,27.0,40.0,58.0,58.0,59.0,53.0,30.0,35.0,32.0,20.0,100.0,58.0,60.16403046280024
2020-10-28,40.0,28.0,67.0,35.0,30.0,9.0,55.0,56.0,77.0,32.0,50.0,39.0,37.0,46.0,74.0,45.0,41.0,70.0,22.0,42.0,52.431165787932045
2020-10-29,16.0,37.0,22.0,48.0,37.0,26.0,28.0,21.0,21.0,16.0,17.0,40.0,22.0,31.0,25.0,18.0,32.0,30.0,22.0,50.0,32.747510251903925
2020-10-30,45.0,52.0,28.0,64.0,28.0,25.0,35.0,59.0,13.0,30.0,47.0,55.0,28.0,50.0,23.0,51.0,38.0,65.0,54.0,62.0,49.91212653778559
2020-10-31,17.0,56.0,38.0,49.0,46.0,18.0,9.0,22.0,43.0,50.0,68.0,40.0,23.0,55.0,31.0,46.0,66.0,30.0,37.0,69.0,47.6274165202109
2020-11-01,33.0,57.0,15.0,35.0,31.0,27.0,38.0,14.0,36.0,33.0,52.0,51.0,38.0,24.0,38.0,37.0,33.0,10.0,44.0,17.0,38.840070298769774
2020-11-02,40.0,35.0,36.0,33.0,29.0,34.0,54.0,27.0,13.0,55.0,58.0,19.0,44.0,30.0,24.0,43.0,47.0,29.0,35.0,41.0,42.53075571177504
2020-11-03,15.0,26.0,49.0,26.0,28.0,17.0,35.0,13.0,20.0,8.0,16.0,37.0,28.0,22.0,29.0,17.0,15.0,28.0,14.0,32.0,27.826596367896897
2020-11-04,35.0,40.0,39.0,42.0,51.0,23.0,80.0,49.0,61.0,70.0,37.0,78.0,71.0,61.0,58.0,62.0,21.0,52.0,32.0,45.0,58.99238429994142
2020-11-05,22.0,25.0,27.0,31.0,0.0,49.0,33.0,13.0,25.0,22.0,15.0,36.0,34.0,21.0,11.0,8.0,15.0,18.0,26.0,46.0,27.943760984182777
2020-11-06,53.0,43.0,35.0,19.0,35.0,33.0,77.0,26.0,20.0,30.0,47.0,91.0,41.0,43.0,50.0,25.0,45.0,46.0,13.0,24.0,46.6315172817809
2020-11-07,37.0,74.0,33.0,24.0,21.0,40.0,25.0,19.0,32.0,37.0,46.0,36.0,27.0,21.0,39.0,73.0,37.0,27.0,32.0,46.0,42.53075571177504
2020-11-08,41.0,28.0,23.0,27.0,30.0,27.0,37.0,21.0,28.0,16.0,34.0,39.0,37.0,16.0,24.0,36.0,16.0,61.0,7.0,34.0,34.09490333919157
2020-11-09,16.0,53.0,43.0,20.0,22.0,76.0,35.0,27.0,20.0,31.0,0.0,9.0,14.0,22.0,12.0,17.0,62.0,29.0,34.0,24.0,33.157586408904514
2020-11-10,32.0,53.0,22.0,13.0,29.0,60.0,36.0,7.0,27.0,23.0,24.0,19.0,29.0,15.0,12.0,44.0,16.0,10.0,35.0,24.0,31.048623315758643
2020-11-11,46.0,35.0,36.0,65.0,50.0,68.0,36.0,27.0,47.0,47.0,32.0,57.0,22.0,30.0,24.0,34.0,39.0,48.0,55.0,90.0,52.02108963093146
2020-11-12,8.0,44.0,14.0,33.0,29.0,17.0,0.0,7.0,34.0,24.0,8.0,38.0,14.0,30.0,12.0,17.0,39.0,0.0,42.0,49.0,26.889279437609844
2020-11-13,39.0,80.0,43.0,14.0,22.0,35.0,27.0,41.0,14.0,39.0,24.0,57.0,14.0,30.0,42.0,52.0,16.0,58.0,35.0,33.0,41.886350322202695
2020-11-14,56.0,54.0,30.0,40.0,52.0,79.0,64.0,35.0,21.0,40.0,50.0,58.0,37.0,100.0,30.0,71.0,48.0,50.0,36.0,65.0,59.51962507322789
2020-11-15,8.0,45.0,37.0,34.0,29.0,53.0,18.0,14.0,14.0,32.0,42.0,78.0,0.0,38.0,18.0,44.0,24.0,80.0,14.0,8.0,36.90685413005273
2020-11-16,16.0,35.0,14.0,13.0,44.0,17.0,18.0,41.0,34.0,54.0,32.0,38.0,29.0,22.0,29.0,43.0,0.0,0.0,7.0,16.0,29.4083186877563
2020-11-17,23.0,36.0,14.0,20.0,36.0,26.0,54.0,14.0,27.0,46.0,16.0,38.0,15.0,22.0,42.0,35.0,39.0,19.0,56.0,57.0,37.199765670767434
2020-11-18,39.0,36.0,44.0,33.0,37.0,34.0,27.0,20.0,20.0,47.0,33.0,39.0,30.0,15.0,24.0,26.0,54.0,29.0,35.0,33.0,38.37141183362625
2020-11-19,32.0,35.0,29.0,27.0,14.0,17.0,9.0,34.0,34.0,8.0,57.0,19.0,21.0,7.0,23.0,26.0,31.0,29.0,7.0,41.0,29.29115407147042
2020-11-20,41.0,27.0,37.0,27.0,51.0,18.0,45.0,27.0,7.0,32.0,33.0,77.0,44.0,30.0,30.0,35.0,32.0,19.0,7.0,33.0,38.195664909197426
2020-11-21,16.0,19.0,30.0,7.0,38.0,18.0,28.0,28.0,21.0,57.0,17.0,50.0,38.0,8.0,25.0,26.0,16.0,30.0,15.0,25.0,29.994141769185706
2020-11-22,8.0,18.0,15.0,14.0,8.0,9.0,29.0,14.0,36.0,42.0,26.0,41.0,0.0,32.0,25.0,18.0,8.0,41.0,29.0,26.0,25.717633274751027
