,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-02-29,34.0,0.0,39.0,34.0,0.0,32.0,34.0,0.0,0.0,23.0,34.0,39.0,35.0,42.0,42.0,63.0,38.0,0.0,32.0,0.0,45.069204152249135
2020-03-01,32.0,0.0,25.0,0.0,0.0,0.0,32.0,38.0,30.0,0.0,32.0,36.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,21.972318339100347
2020-03-02,0.0,0.0,24.0,0.0,0.0,0.0,0.0,36.0,0.0,21.0,0.0,35.0,32.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,19.377162629757787
2020-03-03,32.0,34.0,24.0,0.0,65.0,30.0,64.0,38.0,0.0,22.0,0.0,36.0,0.0,0.0,39.0,59.0,0.0,43.0,0.0,27.0,44.37716262975779
2020-03-04,30.0,0.0,23.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,52.0,94.0,75.0,74.0,0.0,34.0,42.0,57.0,26.0,46.36678200692042
2020-03-05,64.0,67.0,49.0,31.0,65.0,30.0,31.0,0.0,0.0,22.0,31.0,89.0,32.0,39.0,77.0,29.0,0.0,87.0,0.0,27.0,66.60899653979239
2020-03-06,0.0,0.0,0.0,32.0,33.0,0.0,32.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,44.0,0.0,0.0,17.474048442906575
2020-03-07,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,33.0,24.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,30.0,18.166089965397926
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,31.0,100.0,23.0,0.0,0.0,58.0,0.0,0.0,57.0,42.0,0.0,34.0,32.0,76.0,76.0,57.0,0.0,42.0,57.0,0.0,59.2560553633218
