date,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-11-18,63.0,46.0,54.0,32.0,41.57303370786517,93.0,36.0,32.0,36.0,77.0,58.42696629213483,46.938775510204074,51.351351351351354,51.42857142857143,13.68421052631579,42.66666666666666,45.34883720930232,47.058823529411775,21.505376344086017,38.888888888888886,56.85221309255227
2020-11-19,63.0,50.0,41.0,28.0,46.067415730337075,49.0,80.0,33.0,41.0,55.0,48.31460674157304,57.14285714285714,60.81081081081082,75.71428571428571,43.157894736842096,38.66666666666666,32.55813953488372,51.764705882352935,41.935483870967744,27.777777777777782,59.060390672188426
2020-11-20,33.0,38.0,37.0,25.0,23.595505617977533,34.0,41.0,30.0,30.0,66.0,56.179775280898866,67.34693877551021,29.72972972972973,38.57142857142857,41.05263157894737,40.0,29.069767441860467,38.8235294117647,39.784946236559136,25.555555555555557,46.793756127433966
2020-11-21,55.0,61.0,51.0,49.0,51.68539325842696,75.0,58.0,30.0,42.0,77.0,34.831460674157306,62.24489795918368,48.64864864864865,58.57142857142857,45.26315789473684,66.66666666666667,27.90697674418605,54.11764705882353,43.01075268817203,40.0,63.16782027915036
2020-11-22,56.0,33.0,50.0,41.0,32.58426966292135,34.0,32.0,30.0,38.0,38.0,34.831460674157306,26.530612244897963,43.24324324324325,34.285714285714285,27.36842105263158,40.0,60.465116279069775,52.941176470588225,37.63440860215053,40.0,47.90734464082117
2020-11-23,50.0,55.0,59.0,37.0,38.202247191011246,66.0,20.0,43.0,46.0,69.0,20.224719101123604,45.91836734693877,51.351351351351354,58.57142857142857,26.315789473684212,44.0,51.16279069767442,42.352941176470594,30.10752688172043,53.33333333333334,55.54522724865703
2020-11-24,62.0,85.0,57.0,47.0,49.43820224719102,91.0,54.0,14.0,61.0,54.0,48.31460674157304,44.897959183673464,63.51351351351353,51.42857142857143,30.52631578947368,64.0,53.488372093023266,51.764705882352935,33.333333333333336,45.555555555555564,65.02521539129357
2020-11-25,43.0,27.0,22.0,42.0,49.43820224719102,90.0,39.0,46.0,52.0,61.0,47.19101123595507,67.34693877551021,22.97297297297297,60.0,43.157894736842096,38.66666666666666,39.53488372093023,36.470588235294116,21.505376344086017,31.11111111111111,53.88201769675456
2020-11-26,51.0,64.0,50.0,32.0,38.202247191011246,44.0,61.0,33.0,59.0,55.0,43.820224719101134,60.204081632653065,75.67567567567569,52.85714285714285,45.26315789473684,48.0,46.511627906976734,57.647058823529406,34.40860215053763,38.888888888888886,60.68825960038164
2020-11-27,58.0,49.0,55.0,32.0,40.44943820224721,66.0,40.0,43.0,53.0,49.0,38.202247191011246,44.897959183673464,56.75675675675675,81.42857142857143,48.42105263157895,30.66666666666667,68.6046511627907,32.94117647058823,37.63440860215053,46.66666666666666,59.53579432255533
2020-11-28,50.0,63.0,54.0,64.0,55.056179775280896,66.0,48.0,26.0,56.0,47.0,48.31460674157304,56.122448979591844,56.75675675675675,61.42857142857143,44.21052631578947,60.0,45.34883720930232,61.17647058823529,40.86021505376344,45.555555555555564,64.26354957398202
2020-11-29,59.0,55.0,54.0,52.0,37.078651685393254,99.0,40.0,36.0,61.0,59.0,19.101123595505623,43.877551020408156,55.405405405405396,48.57142857142857,52.631578947368425,30.66666666666667,37.2093023255814,56.470588235294116,52.68817204301075,43.33333333333334,60.78354277310141
2020-11-30,63.0,54.0,67.0,35.0,41.57303370786517,65.0,28.0,50.0,36.0,40.0,61.79775280898876,70.40816326530613,72.97297297297297,47.14285714285714,34.736842105263165,64.0,53.488372093023266,60.0,36.55913978494624,35.555555555555564,62.26637096334826
2020-12-01,49.0,53.0,49.0,64.0,55.056179775280896,54.0,52.0,43.0,41.0,27.0,52.80898876404493,40.81632653061224,51.351351351351354,32.857142857142854,66.3157894736842,52.0,40.69767441860465,51.764705882352935,37.63440860215053,42.22222222222222,58.54657555939089
2020-12-02,40.0,45.0,18.0,24.0,41.57303370786517,49.0,20.0,21.0,36.0,49.0,52.80898876404493,56.122448979591844,44.594594594594604,37.142857142857146,43.157894736842096,34.666666666666664,40.69767441860465,32.94117647058823,39.784946236559136,28.88888888888889,46.22205261471455
2020-12-03,46.0,60.0,59.0,32.0,41.57303370786517,76.0,28.0,40.0,54.0,42.0,39.325842696629216,47.95918367346939,47.2972972972973,48.57142857142857,48.42105263157895,17.333333333333332,60.465116279069775,43.529411764705884,33.333333333333336,32.22222222222222,54.962580496359465
