,/m/01cpyy_0,/m/01cpyy_1,/m/01cpyy_2,/m/01cpyy_3,/m/01cpyy_4,/m/01cpyy_5,/m/01cpyy_6,/m/01cpyy_7,/m/01cpyy_8,/m/01cpyy_9,/m/01cpyy_10,/m/01cpyy_11,/m/01cpyy_12,/m/01cpyy_13,/m/01cpyy_14,/m/01cpyy_15,/m/01cpyy_16,/m/01cpyy_17,/m/01cpyy_18,/m/01cpyy_19,/m/01cpyy
2020-10-05,54.0,71.0,63.0,55.0,53.0,55.0,64.0,52.0,64.0,58.0,50.0,61.0,63.0,56.0,50.0,37.0,61.0,53.0,60.0,51.0,60.191591271953165
2020-10-06,39.0,47.0,29.0,37.0,50.0,42.0,60.0,41.0,49.0,72.0,42.0,38.0,54.0,37.0,40.0,39.0,35.0,43.0,32.0,37.0,45.92868547099521
2020-10-07,36.0,45.0,39.0,64.0,49.0,38.0,28.0,21.0,55.0,39.0,25.0,31.0,40.0,84.0,54.0,29.0,27.0,31.0,46.0,33.0,43.320915380521555
2020-10-08,41.0,38.0,54.0,53.0,58.0,59.0,51.0,61.0,50.0,59.0,34.0,57.0,57.0,64.0,40.0,41.0,55.0,50.0,39.0,48.0,53.69877594465141
2020-10-09,59.0,51.0,51.0,43.0,56.0,44.0,48.0,41.0,47.0,53.0,42.0,61.0,57.0,50.0,60.0,28.0,51.0,29.0,39.0,35.0,50.292708887706226
2020-10-10,37.0,69.0,72.0,28.0,60.0,46.0,31.0,42.0,53.0,65.0,49.0,49.0,42.0,30.0,47.0,38.0,59.0,45.0,69.0,58.0,52.63437998935604
2020-10-11,34.0,59.0,43.0,37.0,42.0,52.0,43.0,35.0,53.0,54.0,47.0,42.0,51.0,56.0,33.0,26.0,36.0,29.0,47.0,30.0,45.18360830228845
2020-10-12,47.0,53.0,57.0,44.0,36.0,32.0,39.0,27.0,55.0,40.0,42.0,54.0,39.0,75.0,34.0,29.0,47.0,28.0,38.0,32.0,45.13038850452368
2020-10-13,41.0,58.0,50.0,61.0,64.0,50.0,70.0,41.0,69.0,56.0,64.0,48.0,52.0,45.0,67.0,50.0,51.0,32.0,53.0,60.0,57.58382118147951
2020-10-14,48.0,63.0,54.0,74.0,44.0,36.0,43.0,40.0,85.0,56.0,46.0,60.0,50.0,56.0,49.0,31.0,48.0,25.0,44.0,33.0,52.42150079829697
2020-10-15,77.0,59.0,61.0,45.0,39.0,60.0,46.0,50.0,41.0,80.0,46.0,69.0,64.0,50.0,55.0,41.0,56.0,64.0,74.0,58.0,60.40447046301224
2020-10-16,49.0,61.0,48.0,40.0,40.0,61.0,43.0,45.0,41.0,54.0,57.0,72.0,54.0,35.0,35.0,42.0,34.0,41.0,42.0,53.0,50.39914848323576
2020-10-17,44.0,75.0,84.0,46.0,70.0,65.0,61.0,51.0,72.0,57.0,47.0,59.0,37.0,67.0,51.0,40.0,47.0,51.0,51.0,43.0,59.499733901011176
2020-10-18,51.0,48.0,37.0,43.0,51.0,42.0,38.0,31.0,54.0,84.0,42.0,43.0,29.0,71.0,41.0,48.0,45.0,49.0,37.0,63.0,50.39914848323576
2020-10-19,34.0,54.0,33.0,40.0,35.0,44.0,36.0,23.0,39.0,28.0,37.0,47.0,46.0,41.0,42.0,35.0,22.0,34.0,49.0,31.0,39.91484832357637
2020-10-20,38.0,49.0,55.0,68.0,77.0,50.0,40.0,32.0,44.0,29.0,39.0,46.0,53.0,67.0,40.0,29.0,41.0,42.0,37.0,36.0,48.53645556146886
2020-10-21,57.0,79.0,61.0,62.0,86.0,51.0,50.0,41.0,71.0,55.0,57.0,49.0,58.0,75.0,48.0,42.0,57.0,51.0,70.0,42.0,61.84140500266099
2020-10-22,54.0,69.0,85.0,77.0,54.0,61.0,69.0,46.0,90.0,69.0,57.0,59.0,81.0,87.0,61.0,50.0,63.0,53.0,55.0,69.0,69.66471527408196
2020-10-23,72.0,85.0,65.0,53.0,73.0,81.0,58.0,62.0,78.0,56.0,73.0,65.0,78.0,83.0,78.0,51.0,65.0,57.0,89.0,62.0,73.6562001064396
2020-10-24,72.0,54.0,52.0,79.0,83.0,66.0,59.0,67.0,100.0,59.0,38.0,54.0,50.0,88.0,57.0,59.0,50.0,49.0,65.0,69.0,67.58914316125599
2020-10-25,67.0,68.0,50.0,69.0,57.0,62.0,66.0,47.0,78.0,79.0,47.0,52.0,30.0,56.0,59.0,70.0,63.0,60.0,47.0,62.0,63.27833954230974
2020-10-26,65.0,62.0,69.0,87.0,78.0,81.0,66.0,53.0,68.0,84.0,68.0,80.0,69.0,95.0,65.0,51.0,83.0,69.0,52.0,73.0,75.46567323044174
2020-10-27,77.0,100.0,53.0,63.0,67.0,100.0,98.0,100.0,74.0,86.0,100.0,63.0,100.0,76.0,100.0,71.0,83.0,68.0,86.0,100.0,88.61096327833954
2020-10-28,100.0,88.0,83.0,100.0,88.0,87.0,86.0,87.0,99.0,100.0,94.0,97.0,72.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,100.0
2020-10-29,84.0,87.0,100.0,70.0,100.0,78.0,100.0,63.0,61.0,99.0,74.0,78.0,88.0,98.0,86.0,60.0,72.0,68.0,79.0,90.0,87.01436934539649
