date,/m/0cjf0,isPartial
2020-03-01,30,False
2020-03-02,29,False
2020-03-03,23,False
2020-03-04,34,False
2020-03-05,27,False
2020-03-06,28,False
2020-03-07,30,False
2020-03-08,43,False
2020-03-09,25,False
2020-03-10,33,False
2020-03-11,56,False
2020-03-12,66,False
2020-03-13,89,False
2020-03-14,91,False
2020-03-15,93,False
2020-03-16,100,False
2020-03-17,89,False
2020-03-18,79,False
2020-03-19,89,False
2020-03-20,67,False
2020-03-21,65,False
2020-03-22,67,False
2020-03-23,46,False
2020-03-24,57,False
2020-03-25,53,False
2020-03-26,59,False
2020-03-27,42,False
2020-03-28,49,False
2020-03-29,38,False
2020-03-30,55,False
2020-03-31,41,False
2020-04-01,34,False
2020-04-02,32,False
2020-04-03,34,False
2020-04-04,32,False
2020-04-05,34,False
2020-04-06,20,False
2020-04-07,26,False
2020-04-08,32,False
2020-04-09,29,False
