date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-11-04,25.0,24.0,31.0,37.0,56.0,30.0,45.0,0.0,0.0,0.0,28.0,0.0,26.0,0.0,77.14285714285714,90.0,0.0,45.0,0.0,0.0,48.87631640107635
2020-11-05,0.0,0.0,32.0,77.0,87.0,31.0,46.0,48.0,0.0,27.0,29.0,62.0,54.0,0.0,0.0,0.0,0.0,23.0,58.76288659793814,33.0,57.776181715850576
2020-11-06,0.0,26.0,33.0,0.0,0.0,0.0,24.0,25.0,30.0,0.0,30.0,32.0,0.0,42.0,0.0,33.0,45.0,24.0,29.896907216494846,0.0,35.54401910794139
2020-11-07,27.0,0.0,32.0,77.0,59.0,92.0,23.0,48.0,57.0,54.0,57.0,0.0,27.0,0.0,80.0,0.0,22.0,0.0,0.0,100.0,71.77308479569007
2020-11-08,27.0,0.0,0.0,40.0,29.0,32.0,24.0,25.0,30.0,0.0,30.0,32.0,0.0,42.0,41.42857142857143,0.0,0.0,0.0,0.0,34.0,36.73532533062283
2020-11-09,0.0,26.0,66.0,40.0,31.0,65.0,24.0,24.0,0.0,0.0,30.0,0.0,28.0,0.0,0.0,0.0,45.0,62.0,0.0,35.0,45.25031571224963
2020-11-10,0.0,0.0,34.0,0.0,0.0,0.0,0.0,25.0,31.0,29.0,0.0,0.0,29.0,0.0,42.857142857142854,34.0,71.0,49.0,30.927835051546392,35.0,39.05073516852453
2020-11-11,0.0,74.0,31.0,36.0,85.0,30.0,0.0,0.0,56.0,52.0,0.0,60.0,26.0,0.0,38.57142857142857,0.0,21.0,22.0,27.835051546391753,0.0,53.17924335464217
2020-11-12,0.0,27.0,33.0,0.0,31.0,0.0,0.0,0.0,30.0,29.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.016400236329165
2020-11-13,28.0,0.0,0.0,40.0,30.0,0.0,0.0,25.0,0.0,57.0,60.0,32.0,56.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0,0.0,35.25504789585836
2020-11-14,0.0,27.0,0.0,40.0,0.0,65.0,0.0,26.0,61.0,0.0,0.0,0.0,56.0,43.0,42.857142857142854,68.0,23.0,50.0,30.927835051546392,0.0,50.64850516200028
2020-11-15,55.0,0.0,68.0,40.0,61.0,0.0,24.0,0.0,30.0,29.0,61.0,32.0,29.0,42.0,0.0,0.0,0.0,50.0,30.927835051546392,70.0,59.12275396285376
2020-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-17,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,7.034712946862338
2020-11-18,28.0,0.0,34.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,22.0,25.0,0.0,0.0,15.400317532320253
2020-11-19,0.0,0.0,34.0,41.0,92.0,100.0,0.0,25.0,0.0,28.0,0.0,0.0,0.0,0.0,42.857142857142854,33.0,0.0,25.0,0.0,36.0,43.430525104374055
2020-11-20,28.0,0.0,0.0,0.0,0.0,32.0,24.0,0.0,31.0,0.0,0.0,0.0,29.0,43.0,0.0,33.0,0.0,0.0,0.0,35.0,24.241240560133733
2020-11-21,28.0,27.0,66.0,80.0,31.0,32.0,24.0,0.0,61.0,0.0,31.0,0.0,0.0,0.0,85.71428571428571,33.0,0.0,24.0,61.855670103092784,36.0,58.99366895435542
2020-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,62.0,0.0,61.0,0.0,29.0,0.0,44.285714285714285,0.0,0.0,25.0,0.0,35.0,26.835121202702663
2020-11-23,57.0,53.0,0.0,80.0,91.0,64.0,48.0,100.0,92.0,0.0,61.0,33.0,0.0,0.0,42.857142857142854,33.0,0.0,25.0,30.927835051546392,0.0,77.0762105569696
