,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-01-29,20.0,26.0,18.0,17.0,21.0,21.0,26.0,28.0,21.0,24.0,15.0,22.0,21.0,20.0,20.0,30.0,21.0,22.0,20.0,13.0,22.095435684647303
2020-01-30,20.0,23.0,24.0,19.0,29.0,29.0,24.0,23.0,22.0,18.0,27.0,21.0,27.0,18.0,20.0,20.0,18.0,22.0,17.0,27.0,23.236514522821576
2020-01-31,26.0,17.0,18.0,24.0,14.0,10.0,21.0,14.0,19.0,20.0,22.0,18.0,14.0,17.0,22.0,23.0,17.0,21.0,17.0,17.0,19.242738589211616
2020-02-01,12.0,10.0,9.0,15.0,9.0,14.0,7.0,9.0,7.0,15.0,11.0,9.0,10.0,11.0,12.0,11.0,6.0,11.0,5.0,14.0,10.736514522821576
2020-02-02,17.0,20.0,19.0,24.0,16.0,20.0,18.0,22.0,12.0,17.0,25.0,10.0,21.0,18.0,9.0,19.0,24.0,16.0,10.0,20.0,18.516597510373444
2020-02-03,17.0,18.0,18.0,13.0,20.0,20.0,14.0,20.0,16.0,21.0,15.0,7.0,18.0,17.0,12.0,10.0,22.0,17.0,17.0,22.0,17.323651452282157
2020-02-04,13.0,14.0,22.0,12.0,17.0,14.0,13.0,13.0,13.0,16.0,12.0,12.0,15.0,15.0,6.0,12.0,15.0,15.0,13.0,8.0,14.004149377593361
2020-02-05,12.0,13.0,20.0,16.0,18.0,8.0,15.0,16.0,17.0,16.0,13.0,13.0,14.0,19.0,12.0,12.0,13.0,17.0,12.0,15.0,15.093360995850622
2020-02-06,12.0,19.0,15.0,17.0,15.0,19.0,17.0,14.0,15.0,18.0,23.0,10.0,20.0,12.0,17.0,16.0,18.0,14.0,8.0,10.0,16.026970954356845
2020-02-07,16.0,17.0,13.0,12.0,11.0,13.0,16.0,19.0,13.0,10.0,19.0,12.0,13.0,15.0,13.0,18.0,14.0,15.0,14.0,11.0,14.730290456431534
2020-02-08,16.0,17.0,17.0,12.0,15.0,16.0,17.0,16.0,15.0,10.0,22.0,13.0,12.0,13.0,18.0,15.0,17.0,15.0,10.0,11.0,15.404564315352696
2020-02-09,19.0,10.0,24.0,11.0,21.0,17.0,22.0,15.0,23.0,16.0,19.0,20.0,24.0,19.0,20.0,10.0,28.0,24.0,21.0,18.0,19.761410788381742
2020-02-10,18.0,15.0,10.0,12.0,20.0,16.0,17.0,10.0,11.0,20.0,18.0,18.0,15.0,11.0,15.0,13.0,15.0,17.0,16.0,14.0,15.612033195020746
2020-02-11,15.0,22.0,19.0,17.0,24.0,15.0,17.0,22.0,21.0,24.0,21.0,22.0,16.0,18.0,18.0,16.0,18.0,17.0,18.0,15.0,19.45020746887967
2020-02-12,13.0,15.0,15.0,21.0,11.0,15.0,18.0,18.0,15.0,20.0,13.0,12.0,18.0,16.0,15.0,14.0,11.0,14.0,14.0,11.0,15.508298755186722
2020-02-13,17.0,14.0,16.0,14.0,17.0,14.0,9.0,23.0,14.0,12.0,12.0,16.0,18.0,8.0,21.0,11.0,17.0,8.0,12.0,14.0,14.885892116182571
2020-02-14,12.0,15.0,16.0,14.0,16.0,16.0,20.0,16.0,18.0,13.0,21.0,12.0,17.0,12.0,12.0,13.0,11.0,8.0,13.0,11.0,14.834024896265559
2020-02-15,12.0,21.0,9.0,14.0,9.0,17.0,14.0,17.0,13.0,14.0,16.0,14.0,7.0,15.0,13.0,14.0,16.0,10.0,17.0,13.0,14.263485477178422
2020-02-16,13.0,9.0,17.0,12.0,16.0,12.0,14.0,14.0,16.0,20.0,16.0,15.0,17.0,17.0,12.0,18.0,21.0,11.0,11.0,19.0,15.560165975103734
