,/m/01b_06_0,/m/01b_06_1,/m/01b_06_2,/m/01b_06_3,/m/01b_06_4,/m/01b_06_5,/m/01b_06_6,/m/01b_06_7,/m/01b_06_8,/m/01b_06_9,/m/01b_06_10,/m/01b_06_11,/m/01b_06_12,/m/01b_06_13,/m/01b_06_14,/m/01b_06_15,/m/01b_06_16,/m/01b_06_17,/m/01b_06_18,/m/01b_06_19,/m/01b_06
2020-01-29,24.0,25.0,30.0,26.0,23.0,30.0,20.0,22.0,27.0,24.0,21.0,33.0,22.0,28.0,25.0,22.0,31.0,32.0,23.0,24.0,26.5974025974026
2020-01-30,24.0,15.0,21.0,23.0,24.0,25.0,22.0,19.0,21.0,20.0,20.0,20.0,25.0,21.0,17.0,23.0,22.0,19.0,18.0,17.0,21.61038961038961
2020-01-31,23.0,25.0,32.0,21.0,28.0,20.0,19.0,31.0,20.0,24.0,18.0,23.0,30.0,29.0,23.0,16.0,23.0,25.0,27.0,19.0,24.727272727272727
2020-02-01,21.0,21.0,21.0,22.0,23.0,16.0,23.0,16.0,17.0,22.0,24.0,20.0,16.0,19.0,22.0,14.0,20.0,23.0,17.0,19.0,20.571428571428573
2020-02-02,16.0,24.0,22.0,23.0,14.0,22.0,24.0,14.0,25.0,25.0,30.0,25.0,27.0,21.0,20.0,13.0,26.0,21.0,22.0,17.0,22.38961038961039
2020-02-03,22.0,25.0,24.0,26.0,21.0,23.0,28.0,20.0,31.0,23.0,35.0,30.0,27.0,25.0,31.0,25.0,30.0,23.0,28.0,24.0,27.064935064935064
2020-02-04,22.0,23.0,23.0,19.0,16.0,16.0,15.0,12.0,19.0,20.0,26.0,18.0,23.0,17.0,19.0,18.0,24.0,21.0,21.0,17.0,20.207792207792206
2020-02-05,19.0,17.0,24.0,13.0,17.0,17.0,21.0,16.0,15.0,23.0,22.0,20.0,19.0,18.0,21.0,18.0,21.0,22.0,23.0,19.0,20.0
2020-02-06,19.0,19.0,20.0,14.0,20.0,13.0,14.0,23.0,23.0,20.0,15.0,15.0,23.0,13.0,20.0,16.0,21.0,19.0,16.0,13.0,18.493506493506494
2020-02-07,18.0,19.0,13.0,16.0,22.0,16.0,10.0,18.0,18.0,19.0,19.0,13.0,20.0,14.0,16.0,12.0,14.0,16.0,14.0,12.0,16.571428571428573
2020-02-08,14.0,17.0,17.0,16.0,20.0,17.0,24.0,19.0,18.0,16.0,12.0,23.0,21.0,17.0,16.0,11.0,17.0,18.0,19.0,12.0,17.87012987012987
2020-02-09,11.0,15.0,15.0,16.0,11.0,16.0,11.0,18.0,13.0,16.0,18.0,19.0,15.0,19.0,13.0,21.0,15.0,19.0,15.0,17.0,16.25974025974026
2020-02-10,21.0,13.0,19.0,15.0,22.0,15.0,17.0,17.0,13.0,18.0,17.0,19.0,16.0,11.0,15.0,14.0,10.0,17.0,19.0,16.0,16.83116883116883
2020-02-11,9.0,14.0,11.0,6.0,17.0,13.0,18.0,18.0,16.0,12.0,13.0,9.0,9.0,11.0,13.0,12.0,10.0,15.0,10.0,14.0,12.987012987012987
2020-02-12,16.0,18.0,16.0,19.0,17.0,15.0,18.0,12.0,23.0,22.0,22.0,27.0,19.0,23.0,24.0,19.0,23.0,22.0,15.0,18.0,20.155844155844154
2020-02-13,18.0,12.0,21.0,9.0,16.0,18.0,16.0,18.0,24.0,17.0,14.0,14.0,18.0,15.0,14.0,17.0,14.0,16.0,24.0,12.0,16.98701298701299
2020-02-14,11.0,10.0,14.0,13.0,15.0,9.0,12.0,19.0,11.0,13.0,15.0,10.0,22.0,14.0,14.0,11.0,20.0,13.0,16.0,10.0,14.12987012987013
