,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-10-05,29.0,24.0,28.0,34.40860215053763,23.0,35.0,0.0,25.0,0.0,28.0,57.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.027065815096403
2020-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-07,0.0,0.0,0.0,0.0,23.0,36.0,0.0,25.0,0.0,28.0,0.0,28.0,25.0,25.0,0.0,24.0,37.0,33.0,0.0,0.0,22.197448749810285
2020-10-08,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,24.0,0.0,39.0,34.0,40.0,0.0,19.22736757906102
2020-10-09,62.0,27.0,31.0,76.34408602150538,25.0,0.0,0.0,28.0,0.0,0.0,63.0,31.0,53.0,27.0,25.0,0.0,27.0,0.0,41.1764705882353,28.0,42.55974348085524
2020-10-10,0.0,29.0,0.0,41.935483870967744,0.0,0.0,0.0,30.0,0.0,33.0,34.0,0.0,0.0,0.0,28.0,0.0,59.0,0.0,0.0,0.0,19.925765273710887
2020-10-11,97.0,0.0,33.0,38.70967741935484,26.0,39.0,0.0,55.0,48.0,0.0,33.0,31.0,28.0,0.0,26.0,25.0,27.0,36.0,0.0,0.0,42.41820510754296
2020-10-12,0.0,26.0,61.0,37.634408602150536,25.0,74.0,31.0,0.0,0.0,0.0,31.0,89.0,0.0,27.0,49.0,24.0,78.0,68.0,80.0,28.0,56.95008782498085
2020-10-13,59.0,76.0,30.0,73.11827956989248,73.0,73.0,0.0,50.0,0.0,87.0,87.0,28.0,76.0,52.0,24.0,47.0,100.0,100.0,40.0,0.0,84.03127785470735
2020-10-14,0.0,24.0,30.0,0.0,0.0,36.0,0.0,25.0,22.0,57.0,58.0,56.0,50.0,50.0,0.0,23.0,74.0,32.0,0.0,76.0,47.912098886034165
2020-10-15,0.0,0.0,0.0,36.55913978494624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,6.999945124836055
2020-10-16,0.0,0.0,0.0,38.70967741935484,26.0,0.0,65.0,28.0,0.0,31.0,0.0,0.0,54.0,0.0,51.0,25.0,55.0,0.0,42.35294117647059,28.0,34.707947950659815
2020-10-17,100.0,28.0,100.0,81.72043010752688,0.0,83.0,0.0,29.0,100.0,66.0,100.0,65.0,85.0,58.0,53.0,67.0,56.0,74.0,44.705882352941174,89.0,100.0
2020-10-18,0.0,0.0,0.0,43.01075268817204,0.0,0.0,0.0,0.0,26.0,0.0,35.0,33.0,29.0,0.0,0.0,27.0,29.0,0.0,0.0,0.0,17.35236727007924
2020-10-19,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,3.908001540459557
2020-10-20,85.0,24.0,84.0,68.81720430107526,23.0,35.0,29.0,24.0,64.0,28.0,0.0,28.0,95.0,48.0,0.0,22.0,24.0,31.0,74.11764705882354,0.0,61.506852227115935
2020-10-21,59.0,25.0,88.0,35.483870967741936,47.0,36.0,0.0,25.0,22.0,29.0,29.0,57.0,49.0,50.0,69.0,46.0,49.0,65.0,0.0,52.0,65.06696500299341
2020-10-22,0.0,0.0,30.0,0.0,24.0,0.0,29.0,0.0,22.0,0.0,29.0,28.0,25.0,0.0,0.0,47.0,25.0,0.0,37.64705882352941,26.0,25.218104058141964
2020-10-23,59.0,0.0,88.0,35.483870967741936,48.0,36.0,29.0,100.0,44.0,0.0,59.0,29.0,100.0,100.0,48.0,23.0,50.0,32.0,38.8235294117647,54.0,76.07373640047598
2020-10-24,0.0,26.0,0.0,37.634408602150536,25.0,0.0,61.0,52.0,23.0,30.0,30.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,29.828557134191527
2020-10-25,29.0,0.0,87.0,67.74193548387096,23.0,69.0,28.0,73.0,0.0,27.0,56.0,27.0,48.0,73.0,22.0,45.0,48.0,31.0,0.0,100.0,66.72849598051783
2020-10-26,56.0,0.0,0.0,0.0,0.0,34.0,28.0,0.0,0.0,54.0,28.0,27.0,24.0,0.0,23.0,22.0,0.0,62.0,36.470588235294116,0.0,30.831833329790346
2020-10-27,26.0,45.0,27.0,32.25806451612903,0.0,33.0,52.0,69.0,20.0,25.0,0.0,0.0,22.0,45.0,21.0,0.0,33.0,30.0,34.11764705882353,70.0,45.67482362084129
2020-10-28,57.0,0.0,57.0,34.40860215053763,23.0,0.0,28.0,24.0,43.0,28.0,28.0,28.0,48.0,25.0,23.0,22.0,24.0,62.0,0.0,0.0,43.33259342496661
2020-10-29,0.0,0.0,0.0,0.0,0.0,34.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,30.0,35.294117647058826,0.0,13.075713389490565
2020-10-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,64.0,0.0,0.0,0.0,6.565442587972056
2020-10-31,0.0,47.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,87.0,34.0,30.0,0.0,24.0,20.868728226054035
2020-11-01,0.0,22.0,0.0,32.25806451612903,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,30.0,35.294117647058826,0.0,13.643003935686309
2020-11-02,0.0,0.0,0.0,32.25806451612903,21.0,0.0,26.0,0.0,0.0,0.0,0.0,26.0,0.0,23.0,0.0,21.0,22.0,30.0,34.11764705882353,23.0,20.194653577044974
2020-11-03,0.0,22.0,53.0,0.0,0.0,33.0,0.0,0.0,0.0,26.0,26.0,0.0,22.0,0.0,0.0,0.0,22.0,29.0,69.41176470588235,0.0,23.636512846473625
2020-11-04,73.0,63.0,48.0,29.032258064516128,39.0,90.0,0.0,21.0,36.0,94.0,49.0,23.0,21.0,21.0,19.0,58.0,51.0,27.0,31.764705882352942,43.0,65.4040764831249
2020-11-05,0.0,43.0,25.0,91.39784946236558,100.0,92.0,50.0,43.0,38.0,0.0,25.0,48.0,84.0,0.0,100.0,20.0,42.0,0.0,97.6470588235294,88.0,77.14746044168079
2020-11-06,53.0,22.0,0.0,0.0,21.0,64.0,52.0,0.0,0.0,50.0,78.0,24.0,22.0,67.0,20.0,21.0,33.0,0.0,0.0,0.0,41.19033623644373
2020-11-07,25.0,43.0,51.0,62.365591397849464,40.0,31.0,100.0,43.0,38.0,100.0,51.0,100.0,21.0,66.0,41.0,20.0,32.0,28.0,100.0,45.0,81.0805265840507
2020-11-08,0.0,0.0,27.0,0.0,0.0,0.0,0.0,24.0,20.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,23.0,30.0,0.0,0.0,11.489524528951097
