,/m/01cdt5_0,/m/01cdt5_1,/m/01cdt5_2,/m/01cdt5_3,/m/01cdt5_4,/m/01cdt5_5,/m/01cdt5_6,/m/01cdt5_7,/m/01cdt5_8,/m/01cdt5_9,/m/01cdt5_10,/m/01cdt5_11,/m/01cdt5_12,/m/01cdt5_13,/m/01cdt5_14,/m/01cdt5_15,/m/01cdt5_16,/m/01cdt5_17,/m/01cdt5_18,/m/01cdt5_19,/m/01cdt5
2020-11-04,0.0,0.0,0.0,0.0,79.0,0.0,0.0,0.0,0.0,43.0,84.0,0.0,29.0,0.0,43.0,29.0,41.0,0.0,84.0,0.0,31.83127434187233
2020-11-05,0.0,0.0,40.0,90.0,84.0,32.0,0.0,59.0,0.0,45.0,0.0,0.0,30.0,0.0,89.0,60.0,0.0,31.0,88.0,40.0,50.69425172964853
2020-11-06,0.0,0.0,41.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,40.25974025974026,0.0,31.0,0.0,32.0,0.0,0.0,16.082142754614793
2020-11-07,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2841886680510237
2020-11-08,0.0,47.0,45.0,0.0,0.0,0.0,0.0,0.0,33.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,15.47353613841016
2020-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-11,0.0,0.0,42.0,0.0,0.0,34.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,41.55844155844156,48.0,32.0,45.0,0.0,0.0,0.0,20.156744911531952
2020-11-12,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4315556788930253
2020-11-13,0.0,45.0,42.0,0.0,45.0,34.0,100.0,0.0,95.0,48.0,94.0,0.0,0.0,42.857142857142854,48.0,32.0,92.0,100.0,0.0,84.0,66.45199567468254
2020-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-15,0.0,0.0,0.0,0.0,45.0,35.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,42.857142857142854,49.0,33.0,0.0,0.0,0.0,0.0,17.52614807513804
2020-11-16,46.0,45.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,46.0,0.0,47.0,0.0,19.526128936565204
2020-11-17,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7894278523650495
2020-11-18,0.0,0.0,85.0,0.0,0.0,0.0,0.0,31.0,0.0,97.0,0.0,48.0,0.0,42.857142857142854,0.0,0.0,46.0,34.0,47.0,42.0,34.841771849073226
2020-11-19,0.0,45.0,42.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,32.0,42.857142857142854,0.0,32.0,45.0,33.0,0.0,42.0,25.557650166027123
2020-11-20,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.010478368628052
2020-11-21,0.0,47.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,50.0,48.0,50.0,34.0,44.15584415584416,50.0,0.0,48.0,35.0,0.0,44.0,35.747983272887346
2020-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-25,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,46.0,0.0,0.0,0.0,0.0,31.0,0.0,33.0,0.0,41.0,17.905091817303184
2020-11-26,0.0,46.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,34.0,47.0,0.0,15.178802116726157
2020-11-27,0.0,0.0,42.0,46.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,33.0,46.0,0.0,18.199825838987188
2020-11-28,45.0,0.0,82.0,93.0,0.0,34.0,32.0,0.0,0.0,0.0,46.0,94.0,32.0,83.11688311688312,0.0,0.0,45.0,33.0,46.0,41.0,52.02916718500302
2020-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-30,0.0,44.0,0.0,46.0,87.0,66.0,0.0,31.0,31.0,0.0,91.0,94.0,0.0,41.55844155844156,94.0,94.0,90.0,65.0,92.0,41.0,74.2404378905465
2020-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-02,45.0,0.0,41.0,46.0,43.0,33.0,0.0,0.0,0.0,47.0,0.0,47.0,32.0,0.0,46.0,31.0,0.0,0.0,46.0,0.0,33.67336197739735
2020-12-03,0.0,0.0,0.0,47.0,0.0,34.0,32.0,32.0,32.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,19.673495947407204
