,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-01-29,17.0,16.0,9.0,10.0,16.0,5.0,20.0,13.0,4.0,7.0,24.0,23.0,9.0,18.0,24.0,20.0,21.0,23.0,13.0,19.0,17.92507204610951
2020-01-30,22.0,16.0,9.0,5.0,16.0,5.0,12.0,9.0,8.0,7.0,10.0,24.0,9.0,19.0,5.0,12.0,13.0,15.0,18.0,8.0,13.948126801152737
2020-01-31,18.0,8.0,5.0,5.0,11.0,16.0,4.0,4.0,8.0,4.0,10.0,10.0,18.0,14.0,25.0,9.0,0.0,15.0,18.0,13.0,12.39193083573487
2020-02-01,5.0,0.0,0.0,5.0,0.0,11.0,4.0,5.0,9.0,8.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,5.0,0.0,0.0,3.861671469740634
2020-02-02,4.0,8.0,0.0,10.0,11.0,5.0,0.0,4.0,12.0,8.0,15.0,5.0,14.0,5.0,10.0,7.0,13.0,5.0,13.0,8.0,9.048991354466859
2020-02-03,0.0,14.0,17.0,9.0,15.0,14.0,18.0,12.0,15.0,13.0,13.0,8.0,12.0,0.0,22.0,8.0,12.0,4.0,8.0,7.0,12.737752161383286
2020-02-04,0.0,0.0,0.0,0.0,0.0,16.0,0.0,13.0,12.0,11.0,10.0,5.0,9.0,5.0,10.0,5.0,0.0,0.0,4.0,4.0,5.994236311239193
2020-02-05,9.0,4.0,23.0,20.0,11.0,5.0,12.0,17.0,8.0,7.0,10.0,14.0,17.0,5.0,10.0,18.0,17.0,24.0,0.0,12.0,14.005763688760807
2020-02-06,14.0,12.0,14.0,15.0,11.0,0.0,9.0,4.0,0.0,0.0,15.0,5.0,9.0,14.0,10.0,14.0,13.0,15.0,9.0,8.0,11.008645533141213
2020-02-07,5.0,17.0,10.0,0.0,6.0,5.0,13.0,9.0,0.0,8.0,0.0,5.0,5.0,10.0,10.0,7.0,9.0,5.0,9.0,4.0,7.8962536023054755
2020-02-08,0.0,0.0,0.0,0.0,0.0,11.0,0.0,14.0,4.0,4.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,2.478386167146974
2020-02-09,4.0,12.0,0.0,0.0,0.0,10.0,4.0,22.0,12.0,7.0,5.0,9.0,4.0,9.0,10.0,22.0,4.0,10.0,4.0,4.0,8.760806916426512
2020-02-10,4.0,0.0,0.0,10.0,5.0,20.0,0.0,12.0,8.0,4.0,5.0,5.0,0.0,9.0,5.0,9.0,4.0,5.0,8.0,0.0,6.512968299711815
2020-02-11,13.0,16.0,14.0,14.0,0.0,5.0,4.0,4.0,12.0,4.0,5.0,23.0,17.0,9.0,5.0,11.0,21.0,19.0,9.0,0.0,11.815561959654179
2020-02-12,0.0,0.0,9.0,5.0,0.0,10.0,0.0,13.0,16.0,18.0,10.0,0.0,9.0,9.0,10.0,14.0,9.0,5.0,0.0,0.0,7.8962536023054755
2020-02-13,9.0,0.0,0.0,5.0,5.0,16.0,8.0,9.0,8.0,4.0,10.0,14.0,9.0,9.0,5.0,7.0,0.0,5.0,4.0,8.0,7.780979827089337
2020-02-14,0.0,0.0,0.0,0.0,0.0,16.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,2.190201729106628
2020-02-15,10.0,0.0,5.0,16.0,0.0,6.0,9.0,5.0,0.0,4.0,22.0,0.0,10.0,10.0,11.0,5.0,5.0,0.0,10.0,17.0,8.357348703170029
2020-02-16,9.0,12.0,5.0,0.0,17.0,5.0,4.0,9.0,4.0,0.0,0.0,5.0,0.0,10.0,5.0,14.0,9.0,5.0,14.0,8.0,7.780979827089337
2020-02-17,9.0,8.0,14.0,10.0,5.0,5.0,8.0,4.0,8.0,7.0,10.0,9.0,4.0,14.0,5.0,9.0,9.0,10.0,17.0,4.0,9.740634005763688
2020-02-18,4.0,4.0,4.0,0.0,0.0,5.0,0.0,4.0,8.0,7.0,5.0,5.0,4.0,5.0,10.0,13.0,4.0,0.0,0.0,4.0,4.956772334293948
2020-02-19,14.0,17.0,14.0,5.0,6.0,0.0,8.0,4.0,0.0,4.0,15.0,5.0,0.0,0.0,0.0,14.0,4.0,10.0,5.0,8.0,7.665706051873199
2020-02-20,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2680115273775219
2020-02-21,0.0,0.0,10.0,5.0,0.0,0.0,4.0,5.0,0.0,4.0,5.0,10.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,3.5734870317002883
2020-02-22,15.0,4.0,5.0,0.0,0.0,6.0,0.0,14.0,13.0,0.0,11.0,5.0,5.0,5.0,5.0,8.0,0.0,11.0,5.0,9.0,6.974063400576369
2020-02-23,10.0,9.0,15.0,32.0,12.0,11.0,13.0,23.0,13.0,20.0,11.0,21.0,19.0,10.0,16.0,22.0,9.0,26.0,19.0,4.0,18.155619596541786
2020-02-24,13.0,36.0,28.0,15.0,16.0,5.0,21.0,9.0,0.0,11.0,25.0,14.0,27.0,18.0,15.0,21.0,4.0,29.0,23.0,20.0,20.172910662824208
2020-02-25,22.0,16.0,5.0,15.0,16.0,21.0,20.0,13.0,16.0,18.0,15.0,9.0,27.0,23.0,20.0,11.0,9.0,24.0,18.0,16.0,19.2507204610951
2020-02-26,17.0,20.0,18.0,24.0,37.0,15.0,28.0,13.0,4.0,4.0,34.0,46.0,22.0,45.0,49.0,22.0,26.0,23.0,26.0,20.0,28.414985590778098
2020-02-27,14.0,21.0,14.0,15.0,23.0,27.0,17.0,18.0,29.0,27.0,26.0,14.0,9.0,14.0,10.0,23.0,13.0,25.0,23.0,21.0,22.074927953890487
2020-02-28,33.0,47.0,59.0,42.0,59.0,50.0,22.0,42.0,39.0,51.0,43.0,46.0,24.0,40.0,42.0,39.0,41.0,77.0,19.0,30.0,48.70317002881844
2020-02-29,25.0,27.0,21.0,17.0,37.0,70.0,28.0,54.0,77.0,46.0,34.0,37.0,40.0,36.0,44.0,41.0,44.0,55.0,40.0,23.0,45.878962536023046
2020-03-01,38.0,51.0,55.0,59.0,41.0,45.0,57.0,19.0,22.0,33.0,49.0,46.0,53.0,40.0,37.0,45.0,42.0,52.0,38.0,51.0,50.31700288184438
2020-03-02,22.0,28.0,37.0,35.0,54.0,83.0,29.0,40.0,45.0,56.0,40.0,52.0,22.0,14.0,49.0,46.0,39.0,53.0,27.0,28.0,46.05187319884727
2020-03-03,41.0,37.0,61.0,52.0,51.0,54.0,17.0,50.0,33.0,51.0,46.0,49.0,51.0,57.0,51.0,52.0,50.0,55.0,55.0,25.0,54.06340057636888
2020-03-04,26.0,31.0,50.0,53.0,58.0,56.0,28.0,47.0,27.0,26.0,43.0,46.0,47.0,32.0,57.0,38.0,34.0,38.0,22.0,27.0,45.30259365994236
2020-03-05,49.0,44.0,73.0,49.0,69.0,73.0,44.0,78.0,60.0,55.0,74.0,74.0,75.0,54.0,73.0,61.0,68.0,68.0,61.0,55.0,72.44956772334294
2020-03-06,65.0,58.0,66.0,82.0,72.0,54.0,38.0,36.0,17.0,27.0,51.0,49.0,45.0,52.0,51.0,54.0,45.0,94.0,55.0,33.0,60.17291066282421
2020-03-07,34.0,13.0,36.0,22.0,30.0,29.0,36.0,29.0,18.0,16.0,39.0,26.0,34.0,15.0,27.0,20.0,34.0,27.0,15.0,40.0,31.123919308357348
2020-03-08,37.0,17.0,33.0,56.0,22.0,53.0,33.0,44.0,37.0,19.0,41.0,39.0,14.0,33.0,20.0,51.0,40.0,35.0,27.0,33.0,39.423631123919314
2020-03-09,17.0,27.0,22.0,29.0,37.0,25.0,31.0,21.0,19.0,11.0,28.0,32.0,30.0,26.0,38.0,28.0,21.0,14.0,39.0,31.0,30.31700288184438
2020-03-10,34.0,23.0,17.0,28.0,30.0,39.0,23.0,37.0,30.0,32.0,14.0,26.0,17.0,26.0,32.0,36.0,44.0,45.0,20.0,33.0,33.77521613832853
2020-03-11,44.0,58.0,46.0,40.0,74.0,63.0,41.0,28.0,30.0,44.0,45.0,43.0,44.0,33.0,40.0,65.0,59.0,65.0,60.0,33.0,55.04322766570605
2020-03-12,76.0,53.0,100.0,79.0,86.0,73.0,58.0,84.0,76.0,65.0,80.0,66.0,71.0,100.0,83.0,100.0,78.0,100.0,96.0,52.0,90.835734870317
2020-03-13,67.0,40.0,74.0,74.0,76.0,83.0,67.0,69.0,68.0,74.0,90.0,98.0,58.0,65.0,64.0,52.0,57.0,77.0,75.0,72.0,80.69164265129683
2020-03-14,72.0,65.0,79.0,99.0,77.0,100.0,62.0,89.0,81.0,45.0,100.0,95.0,80.0,88.0,89.0,85.0,100.0,73.0,80.0,60.0,93.31412103746398
2020-03-15,61.0,100.0,63.0,81.0,94.0,100.0,72.0,100.0,81.0,100.0,95.0,82.0,100.0,97.0,100.0,94.0,72.0,57.0,86.0,100.0,100.0
2020-03-16,61.0,55.0,64.0,59.0,75.0,53.0,53.0,81.0,100.0,83.0,69.0,53.0,53.0,59.0,71.0,68.0,60.0,54.0,50.0,55.0,73.54466858789625
2020-03-17,62.0,53.0,66.0,57.0,72.0,65.0,58.0,61.0,58.0,62.0,53.0,71.0,58.0,65.0,52.0,48.0,46.0,56.0,51.0,57.0,67.492795389049
2020-03-18,76.0,43.0,59.0,100.0,65.0,64.0,55.0,65.0,37.0,83.0,64.0,68.0,52.0,42.0,54.0,65.0,59.0,35.0,72.0,33.0,68.64553314121038
2020-03-19,53.0,74.0,55.0,45.0,100.0,57.0,45.0,40.0,37.0,27.0,82.0,82.0,61.0,64.0,58.0,62.0,67.0,53.0,28.0,59.0,66.22478386167147
2020-03-20,61.0,48.0,60.0,51.0,75.0,54.0,53.0,41.0,42.0,42.0,47.0,56.0,53.0,60.0,46.0,65.0,68.0,50.0,42.0,62.0,62.01729106628242
2020-03-21,81.0,89.0,56.0,90.0,77.0,63.0,100.0,35.0,53.0,60.0,70.0,100.0,57.0,94.0,79.0,82.0,92.0,89.0,100.0,73.0,88.76080691642652
2020-03-22,36.0,54.0,65.0,61.0,67.0,43.0,42.0,27.0,37.0,19.0,60.0,77.0,23.0,33.0,40.0,49.0,62.0,59.0,63.0,45.0,55.44668587896253
2020-03-23,48.0,56.0,68.0,61.0,72.0,48.0,54.0,40.0,37.0,31.0,41.0,31.0,48.0,38.0,44.0,47.0,39.0,47.0,22.0,33.0,52.16138328530259
2020-03-24,47.0,39.0,25.0,57.0,58.0,32.0,29.0,50.0,43.0,43.0,53.0,50.0,36.0,45.0,48.0,46.0,62.0,26.0,20.0,29.0,48.29971181556196
2020-03-25,32.0,14.0,54.0,31.0,48.0,46.0,25.0,38.0,36.0,26.0,44.0,29.0,31.0,20.0,26.0,51.0,31.0,30.0,47.0,36.0,40.05763688760807
