,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-11-14,41.0,74.0,39.0,60.0,83.0,63.0,77.89473684210526,73.0,80.0,100.0,49.0,90.0,36.0,46.0,50.51546391752577,76.19047619047619,64.44444444444444,57.77777777777778,58.0,54.08163265306123,85.69233298699783
2020-11-15,64.0,81.0,60.0,71.0,68.0,94.0,68.42105263157895,78.0,50.0,64.0,84.0,84.0,51.0,100.0,62.88659793814433,83.33333333333333,35.55555555555556,70.0,41.0,73.46938775510205,93.14882492210765
2020-11-16,47.0,57.0,100.0,44.0,86.0,79.0,62.10526315789474,76.0,73.0,38.0,86.0,58.0,41.0,70.0,56.70103092783505,51.19047619047619,63.333333333333336,33.333333333333336,63.0,54.08163265306123,83.39270725793733
2020-11-17,57.0,61.0,64.0,53.0,68.0,57.0,74.73684210526316,100.0,44.0,61.0,76.0,63.0,41.0,50.0,59.79381443298969,78.57142857142857,67.77777777777777,56.666666666666664,52.0,65.3061224489796,84.14047319522322
2020-11-18,53.0,68.0,41.0,65.0,63.0,51.0,18.94736842105263,42.0,80.0,73.0,60.0,59.0,65.0,51.0,67.01030927835052,69.04761904761905,64.44444444444444,63.333333333333336,48.0,73.46938775510205,79.11836498614436
2020-11-19,42.0,42.0,70.0,50.0,34.0,74.0,44.21052631578947,47.0,79.0,48.0,55.0,71.0,42.0,56.0,51.54639175257732,34.523809523809526,58.888888888888886,47.77777777777778,59.0,48.97959183673469,71.01801612712985
2020-11-20,38.0,48.0,72.0,20.0,71.0,23.0,72.63157894736842,12.0,29.0,44.0,62.0,47.0,24.0,58.0,69.0721649484536,35.714285714285715,22.22222222222222,40.0,27.0,62.244897959183675,59.03218377228265
2020-11-21,29.0,81.0,39.0,44.0,51.0,57.0,42.10526315789474,59.0,75.0,53.0,30.0,58.0,40.0,51.0,56.70103092783505,76.19047619047619,70.0,43.333333333333336,100.0,74.48979591836735,76.05983058827115
2020-11-22,58.0,69.0,68.0,88.0,83.0,65.0,70.52631578947368,67.0,75.0,64.0,67.0,78.0,67.0,57.0,85.56701030927834,90.47619047619048,100.0,91.11111111111111,54.0,87.75510204081633,100.0
2020-11-23,78.0,73.0,41.0,79.0,92.0,52.0,50.526315789473685,48.0,84.0,53.0,72.0,59.0,46.0,78.0,56.70103092783505,69.04761904761905,53.333333333333336,48.888888888888886,91.0,42.857142857142854,85.31869171326072
