date,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-10-05,50.0,68.0,67.0,60.0,42.0,47.0,32.97872340425532,88.0,62.0,36.0,25.0,37.0,49.0,36.0,54.0,40.0,35.0,80.64516129032258,39.0,25.0,67.2206747987744
2020-10-06,30.0,23.0,45.0,10.0,21.0,9.0,32.97872340425532,40.0,9.0,18.0,26.0,18.0,10.0,18.0,9.0,0.0,35.0,39.784946236559136,30.0,25.0,30.98341892864803
2020-10-07,31.0,58.0,45.0,51.0,53.0,29.0,45.744680851063826,30.0,27.0,27.0,61.0,47.0,10.0,46.0,37.0,20.0,71.0,40.86021505376344,30.0,17.0,53.6181434899069
2020-10-08,22.0,74.0,37.0,33.0,34.0,51.0,48.93617021276596,53.0,29.0,48.0,46.0,50.0,64.0,30.0,39.0,44.0,76.0,32.25806451612903,42.0,45.0,62.01288147094419
2020-10-09,12.0,13.0,53.0,23.0,73.0,22.0,90.42553191489358,69.0,31.0,31.0,30.0,32.0,46.0,42.0,32.0,47.0,68.0,35.483870967741936,34.0,48.0,57.43646218247678
2020-10-10,12.0,14.0,40.0,24.0,12.0,22.0,40.42553191489362,24.0,11.0,0.0,10.0,11.0,23.0,22.0,32.0,24.0,28.0,11.827956989247312,23.0,10.0,27.2199418918539
2020-10-11,35.0,40.0,66.0,46.0,60.0,76.0,77.65957446808511,57.0,41.0,72.0,60.0,43.0,57.0,32.0,53.0,47.0,81.0,59.13978494623656,56.0,39.0,75.79396406923823
2020-10-12,66.0,63.0,50.0,56.0,46.0,52.0,74.46808510638297,65.0,40.0,29.0,57.0,52.0,43.0,50.0,51.0,45.0,64.0,78.49462365591398,55.0,28.0,73.52686498748848
2020-10-13,99.0,38.0,86.0,89.0,58.0,63.0,48.93617021276596,86.0,69.0,78.0,38.0,51.0,43.0,100.0,100.0,89.0,77.0,66.66666666666667,97.0,65.0,99.53075002598342
2020-10-14,53.0,60.0,72.0,53.0,22.0,30.0,47.872340425531924,41.0,37.0,19.0,36.0,20.0,41.0,29.0,38.0,53.0,0.0,43.01075268817203,41.0,35.0,53.22310034159149
2020-10-15,67.0,38.0,13.0,33.0,69.0,73.0,50.0,43.0,59.0,50.0,28.0,21.0,54.0,51.0,51.0,67.0,52.0,33.333333333333336,75.0,55.0,67.82199017715182
2020-10-16,11.0,13.0,25.0,0.0,0.0,21.0,12.76595744680851,0.0,0.0,10.0,10.0,10.0,0.0,0.0,21.0,23.0,13.0,0.0,0.0,9.0,12.342310495385055
2020-10-17,37.0,28.0,14.0,36.0,13.0,12.0,54.255319148936174,24.0,22.0,21.0,21.0,22.0,24.0,11.0,33.0,37.0,28.0,0.0,12.0,0.0,31.017363259944712
2020-10-18,25.0,43.0,0.0,37.0,0.0,12.0,13.829787234042554,12.0,0.0,44.0,21.0,23.0,49.0,34.0,0.0,38.0,0.0,37.63440860215053,24.0,41.0,31.37699310404088
2020-10-19,33.0,38.0,62.0,67.0,69.0,21.0,74.46808510638297,33.0,29.0,49.0,19.0,21.0,54.0,20.0,70.0,44.0,77.0,77.4193548387097,54.0,65.0,67.44599629060643
2020-10-20,33.0,25.0,49.0,22.0,57.0,31.0,47.872340425531924,42.0,49.0,29.0,28.0,0.0,21.0,20.0,40.0,33.0,63.0,54.838709677419345,42.0,28.0,49.34488546275965
2020-10-21,100.0,100.0,74.0,33.0,57.0,21.0,60.638297872340424,54.0,49.0,29.0,47.0,51.0,43.0,50.0,60.0,44.0,77.0,54.838709677419345,21.0,100.0,77.7048767057856
2020-10-22,75.0,73.0,71.0,84.0,66.0,70.0,47.872340425531924,62.0,19.0,75.0,73.0,49.0,52.0,48.0,68.0,54.0,25.0,96.77419354838709,51.0,26.0,81.85908474457405
2020-10-23,32.0,25.0,24.0,32.0,11.0,40.0,47.872340425531924,42.0,28.0,38.0,28.0,10.0,21.0,39.0,30.0,33.0,12.0,43.01075268817203,21.0,27.0,40.312297325174065
2020-10-24,36.0,69.0,68.0,36.0,50.0,80.0,54.255319148936174,47.0,43.0,32.0,41.0,45.0,71.0,22.0,77.0,49.0,42.0,74.19354838709677,35.0,40.0,69.83217695153053
2020-10-25,35.0,53.0,52.0,46.0,12.0,33.0,51.06382978723404,45.0,52.0,61.0,30.0,54.0,22.0,32.0,63.0,12.0,54.0,34.40860215053763,45.0,39.0,56.99204258947389
2020-10-26,93.0,83.0,46.0,52.0,54.0,29.0,80.85106382978724,40.0,46.0,18.0,53.0,68.0,60.0,28.0,28.0,42.0,36.0,31.182795698924732,61.0,77.0,70.83914999224446
2020-10-27,65.0,60.0,84.0,32.0,55.0,70.0,71.27659574468085,73.0,57.0,56.0,27.0,50.0,53.0,87.0,58.0,43.0,25.0,32.25806451612903,42.0,80.0,77.3636485117409
2020-10-28,21.0,48.0,71.0,63.0,33.0,30.0,23.40425531914893,41.0,37.0,19.0,36.0,49.0,52.0,39.0,39.0,54.0,62.0,21.505376344086017,21.0,44.0,55.503309611789945
2020-10-29,31.0,47.0,58.0,31.0,43.0,48.0,34.04255319148936,51.0,37.0,46.0,53.0,48.0,40.0,19.0,19.0,73.0,24.0,31.182795698924732,30.0,43.0,55.6631907292329
