,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-01-29,8.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,18.0,11.0,11.0,11.0,12.0,0.0,0.0,12.0,11.0,0.0,12.0,6.750136091453457
2020-01-30,0.0,0.0,11.0,0.0,18.0,9.0,11.0,50.0,27.0,9.0,33.0,11.0,22.0,25.0,11.0,22.0,25.0,11.0,10.0,0.0,16.603157321720197
2020-01-31,0.0,10.0,32.0,0.0,0.0,9.0,22.0,38.0,9.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,12.0,0.0,11.0,13.0,9.14534567229178
2020-02-01,9.0,0.0,0.0,12.0,0.0,0.0,0.0,14.0,10.0,0.0,12.0,12.0,12.0,13.0,11.0,12.0,26.0,25.0,11.0,0.0,9.74414806750136
2020-02-02,8.0,0.0,10.0,11.0,9.0,0.0,11.0,0.0,9.0,0.0,11.0,0.0,0.0,13.0,0.0,0.0,12.0,0.0,11.0,12.0,6.369080021774633
2020-02-03,7.0,17.0,28.0,0.0,8.0,8.0,0.0,22.0,8.0,0.0,20.0,0.0,0.0,0.0,9.0,0.0,22.0,10.0,19.0,44.0,12.084921066956996
2020-02-04,8.0,10.0,0.0,0.0,18.0,0.0,11.0,0.0,0.0,18.0,11.0,11.0,22.0,13.0,10.0,0.0,25.0,0.0,11.0,12.0,9.79858464888405
2020-02-05,8.0,0.0,0.0,22.0,0.0,9.0,22.0,0.0,0.0,9.0,22.0,11.0,11.0,12.0,10.0,11.0,12.0,0.0,11.0,12.0,9.90745781164943
2020-02-06,9.0,21.0,33.0,0.0,9.0,10.0,12.0,13.0,19.0,10.0,12.0,36.0,23.0,26.0,0.0,12.0,19.0,0.0,0.0,13.0,15.0789330430049
2020-02-07,0.0,10.0,0.0,12.0,9.0,0.0,12.0,0.0,9.0,10.0,12.0,12.0,12.0,0.0,0.0,0.0,13.0,12.0,11.0,13.0,8.002177463255308
2020-02-08,26.0,10.0,22.0,12.0,18.0,10.0,12.0,0.0,19.0,28.0,23.0,12.0,12.0,13.0,11.0,46.0,13.0,12.0,0.0,26.0,17.69188894937398
2020-02-09,8.0,0.0,0.0,0.0,9.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,12.0,3.3750680457267284
2020-02-10,25.0,38.0,10.0,11.0,17.0,18.0,32.0,12.0,17.0,43.0,43.0,22.0,54.0,24.0,30.0,43.0,48.0,22.0,31.0,12.0,30.048992923244423
2020-02-11,0.0,19.0,31.0,22.0,27.0,36.0,22.0,12.0,0.0,18.0,22.0,34.0,11.0,0.0,20.0,32.0,24.0,11.0,21.0,12.0,20.35928143712575
2020-02-12,16.0,19.0,31.0,32.0,17.0,17.0,32.0,24.0,9.0,9.0,21.0,11.0,21.0,12.0,20.0,11.0,18.0,11.0,41.0,12.0,20.90364725095264
2020-02-13,8.0,10.0,10.0,22.0,9.0,27.0,11.0,37.0,27.0,18.0,22.0,11.0,22.0,25.0,0.0,11.0,12.0,11.0,21.0,37.0,19.1072400653239
