,/m/0cjf0_0,/m/0cjf0_1,/m/0cjf0_2,/m/0cjf0_3,/m/0cjf0_4,/m/0cjf0_5,/m/0cjf0_6,/m/0cjf0_7,/m/0cjf0_8,/m/0cjf0_9,/m/0cjf0_10,/m/0cjf0_11,/m/0cjf0_12,/m/0cjf0_13,/m/0cjf0_14,/m/0cjf0_15,/m/0cjf0_16,/m/0cjf0_17,/m/0cjf0_18,/m/0cjf0_19,/m/0cjf0
2020-11-18,17.0,13.0,25.0,25.0,27.0,22.0,52.0,0.0,33.0,32.0,19.0,26.0,14.0,37.0,39.0,0.0,29.0,36.144578313253014,38.80597014925373,17.0,33.09967621844968
2020-11-19,50.0,40.0,25.0,38.0,54.0,45.0,17.0,29.0,0.0,32.0,72.0,51.0,70.0,48.0,39.0,33.0,29.0,53.01204819277108,19.402985074626866,16.0,50.143368644356705
2020-11-20,52.0,14.0,25.0,65.0,42.0,46.0,35.0,30.0,65.0,49.0,65.0,51.0,0.0,50.0,27.0,23.0,45.0,36.144578313253014,58.208955223880594,17.0,52.447286928794746
2020-11-21,36.0,14.0,26.0,13.0,28.0,12.0,54.0,31.0,0.0,0.0,38.0,0.0,29.0,39.0,27.0,12.0,46.0,19.27710843373494,38.80597014925373,51.0,33.89972080437274
2020-11-22,36.0,28.0,13.0,92.0,57.0,12.0,74.0,47.0,17.0,69.0,48.0,40.0,29.0,39.0,28.0,12.0,46.0,37.34939759036145,80.59701492537313,0.0,53.07986157019527
2020-11-23,68.0,83.0,100.0,77.0,56.0,57.0,88.0,29.0,49.0,33.0,83.0,39.0,100.0,12.0,39.0,46.0,29.0,54.21686746987952,56.71641791044776,100.0,79.0601856600525
2020-11-24,16.0,53.0,0.0,25.0,67.0,11.0,51.0,57.0,48.0,16.0,71.0,25.0,28.0,36.0,51.0,33.0,57.0,34.93975903614458,55.223880597014926,32.0,50.58838595994027
2020-11-25,0.0,39.0,48.0,62.0,40.0,11.0,34.0,14.0,31.0,16.0,61.0,37.0,27.0,48.0,25.0,33.0,42.0,51.80722891566265,73.13432835820896,32.0,47.8041729340917
2020-11-26,52.0,27.0,38.0,38.0,42.0,23.0,52.0,30.0,33.0,65.0,64.0,25.0,42.0,12.0,66.0,11.0,30.0,54.21686746987952,38.80597014925373,50.0,52.29359593177169
2020-11-27,17.0,27.0,12.0,37.0,13.0,33.0,17.0,29.0,32.0,0.0,54.0,12.0,42.0,0.0,26.0,33.0,0.0,53.01204819277108,37.3134328358209,65.0,35.56425797936834
2020-11-28,67.0,40.0,24.0,25.0,14.0,22.0,52.0,14.0,64.0,47.0,36.0,49.0,42.0,24.0,0.0,11.0,14.0,18.072289156626507,19.402985074626866,16.0,39.46471990613241
2020-11-29,0.0,28.0,0.0,52.0,56.0,12.0,18.0,0.0,0.0,17.0,74.0,26.0,72.0,13.0,13.0,11.0,15.0,36.144578313253014,19.402985074626866,17.0,31.622376204397998
2020-11-30,100.0,0.0,49.0,0.0,0.0,22.0,68.0,43.0,16.0,47.0,36.0,49.0,0.0,48.0,64.0,55.0,86.0,53.01204819277108,37.3134328358209,48.0,54.15993184045592
2020-12-01,17.0,26.0,0.0,37.0,27.0,11.0,17.0,58.0,16.0,48.0,54.0,13.0,14.0,0.0,13.0,45.0,44.0,18.072289156626507,19.402985074626866,65.0,35.77196197627104
2020-12-02,50.0,66.0,36.0,49.0,67.0,22.0,50.0,43.0,32.0,63.0,27.0,24.0,41.0,48.0,38.0,22.0,29.0,18.072289156626507,37.3134328358209,32.0,52.383467397433115
2020-12-03,17.0,27.0,0.0,25.0,41.0,11.0,17.0,0.0,0.0,0.0,27.0,0.0,42.0,12.0,0.0,11.0,15.0,18.072289156626507,0.0,0.0,17.34754074839132
2020-12-04,0.0,39.0,24.0,61.0,66.0,21.0,17.0,28.0,46.0,15.0,60.0,24.0,40.0,23.0,62.0,11.0,41.0,67.46987951807229,35.82089552238806,63.0,49.08010110095214
2020-12-05,16.0,0.0,24.0,12.0,13.0,11.0,17.0,28.0,16.0,0.0,53.0,12.0,27.0,12.0,38.0,11.0,14.0,34.93975903614458,17.91044776119403,32.0,25.641601512126837
2020-12-06,51.0,68.0,0.0,63.0,41.0,12.0,17.0,29.0,16.0,32.0,63.0,0.0,0.0,12.0,13.0,11.0,15.0,18.072289156626507,38.80597014925373,82.0,38.37027779045921
2020-12-07,16.0,26.0,0.0,37.0,13.0,0.0,34.0,14.0,31.0,31.0,35.0,12.0,27.0,36.0,13.0,0.0,14.0,16.867469879518072,0.0,32.0,25.576797770229533
2020-12-08,50.0,26.0,25.0,37.0,0.0,11.0,34.0,14.0,32.0,48.0,44.0,37.0,27.0,24.0,26.0,33.0,43.0,53.01204819277108,55.223880597014926,49.0,44.06488437601349
2020-12-09,50.0,26.0,37.0,37.0,40.0,22.0,51.0,43.0,47.0,31.0,71.0,49.0,55.0,60.0,52.0,44.0,42.0,18.072289156626507,37.3134328358209,64.0,57.7907200804444
2020-12-10,67.0,40.0,61.0,25.0,0.0,45.0,69.0,44.0,64.0,0.0,45.0,63.0,28.0,25.0,39.0,44.0,29.0,36.144578313253014,37.3134328358209,98.0,56.6744711795289
2020-12-11,17.0,27.0,37.0,0.0,41.0,45.0,53.0,44.0,81.0,65.0,55.0,13.0,28.0,25.0,39.0,11.0,73.0,36.144578313253014,56.71641791044776,33.0,51.42567639276166
2020-12-12,87.0,13.0,51.0,64.0,41.0,69.0,70.0,30.0,49.0,65.0,93.0,39.0,28.0,25.0,26.0,23.0,15.0,55.42168674698795,95.5223880597015,84.0,67.45508650084103
2020-12-13,36.0,14.0,39.0,0.0,0.0,24.0,36.0,15.0,51.0,33.0,47.0,52.0,0.0,26.0,27.0,12.0,0.0,19.27710843373494,19.402985074626866,85.0,35.32387344949785
2020-12-14,0.0,54.0,12.0,37.0,27.0,22.0,34.0,15.0,16.0,48.0,27.0,12.0,69.0,0.0,0.0,11.0,15.0,0.0,19.402985074626866,33.0,29.766463441025337
2020-12-15,69.0,28.0,26.0,39.0,14.0,59.0,71.0,90.0,67.0,66.0,94.0,26.0,0.0,25.0,54.0,70.0,60.0,55.42168674698795,58.208955223880594,68.0,68.5554338797283
2020-12-16,52.0,14.0,25.0,40.0,14.0,23.0,54.0,45.0,34.0,50.0,19.0,13.0,15.0,25.0,40.0,46.0,76.0,0.0,38.80597014925373,17.0,42.256095138770725
2020-12-17,0.0,0.0,13.0,27.0,30.0,12.0,36.0,31.0,34.0,17.0,49.0,26.0,15.0,39.0,14.0,12.0,0.0,57.83132530120482,40.298507462686565,17.0,31.00135121434386
2020-12-18,96.0,30.0,42.0,28.0,61.0,25.0,78.0,33.0,36.0,54.0,51.0,43.0,16.0,28.0,59.0,25.0,33.0,100.0,64.17910447761194,37.0,61.931447957496346
2020-12-19,38.0,29.0,69.0,14.0,45.0,25.0,19.0,33.0,0.0,36.0,30.0,42.0,15.0,41.0,29.0,38.0,32.0,79.51807228915662,85.07462686567165,55.0,49.75943167177647
2020-12-20,78.0,0.0,42.0,15.0,0.0,26.0,59.0,17.0,75.0,56.0,74.0,29.0,16.0,56.0,61.0,39.0,67.0,61.44578313253012,65.67164179104478,19.0,56.45418588891109
2020-12-21,54.0,43.0,52.0,54.0,43.0,36.0,55.0,47.0,34.0,17.0,48.0,40.0,29.0,52.0,14.0,35.0,77.0,37.34939759036145,59.701492537313435,69.0,59.087482679969725
2020-12-22,38.0,29.0,14.0,69.0,74.0,12.0,38.0,16.0,54.0,36.0,80.0,0.0,77.0,14.0,29.0,25.0,0.0,59.036144578313255,41.791044776119406,36.0,48.91764707277407
2020-12-23,56.0,89.0,41.0,42.0,75.0,62.0,94.0,16.0,53.0,70.0,100.0,70.0,47.0,40.0,58.0,73.0,32.0,39.75903614457831,20.895522388059703,37.0,73.56861103584602
2020-12-24,43.0,17.0,32.0,0.0,17.0,28.0,22.0,37.0,20.0,20.0,23.0,32.0,0.0,31.0,0.0,42.0,37.0,67.46987951807229,23.880597014925375,42.0,35.236195706114735
2020-12-25,44.0,88.0,16.0,49.0,36.0,30.0,0.0,38.0,21.0,21.0,59.0,0.0,74.0,32.0,17.0,0.0,19.0,22.89156626506024,25.37313432835821,43.0,41.89069215495268
2020-12-26,41.0,49.0,60.0,78.0,100.0,0.0,42.0,18.0,20.0,39.0,44.0,15.0,0.0,30.0,32.0,27.0,53.0,66.26506024096386,22.388059701492537,40.0,51.21414227534061
2020-12-27,37.0,60.0,27.0,56.0,15.0,13.0,96.0,16.0,72.0,70.0,40.0,28.0,47.0,27.0,100.0,25.0,48.0,39.75903614457831,83.58208955223881,55.0,62.99720567213576
2020-12-28,18.0,42.0,0.0,39.0,28.0,0.0,0.0,15.0,17.0,17.0,19.0,53.0,15.0,38.0,14.0,24.0,46.0,19.27710843373494,19.402985074626866,52.0,31.367347096074962
2020-12-29,54.0,42.0,53.0,14.0,58.0,0.0,91.0,62.0,86.0,85.0,58.0,66.0,45.0,52.0,27.0,47.0,62.0,19.27710843373494,80.59701492537313,51.0,69.42873693178889
2020-12-30,57.0,44.0,83.0,97.0,75.0,100.0,97.0,100.0,54.0,71.0,80.0,57.0,46.0,82.0,72.0,100.0,49.0,98.79518072289157,62.6865671641791,91.0,100.0
2020-12-31,20.0,16.0,15.0,0.0,16.0,0.0,41.0,35.0,19.0,58.0,43.0,30.0,33.0,29.0,15.0,27.0,53.0,63.855421686746986,67.16417910447761,0.0,38.313656039762115
2021-01-01,21.0,67.0,0.0,95.0,69.0,57.0,43.0,74.0,41.0,40.0,80.0,32.0,53.0,15.0,16.0,0.0,37.0,45.78313253012048,70.14925373134328,61.0,60.46445250917362
2021-01-02,79.0,31.0,29.0,59.0,80.0,40.0,20.0,17.0,38.0,19.0,63.0,15.0,33.0,29.0,0.0,0.0,68.0,20.481927710843372,44.776119402985074,58.0,49.012000846658225
2021-01-03,77.0,75.0,14.0,100.0,62.0,39.0,78.0,50.0,74.0,91.0,62.0,100.0,63.0,14.0,15.0,51.0,100.0,61.44578313253012,43.28358208955224,38.0,79.64021768839777
2021-01-04,17.0,14.0,38.0,0.0,28.0,35.0,36.0,76.0,50.0,17.0,47.0,66.0,29.0,25.0,54.0,47.0,61.0,55.42168674698795,59.701492537313435,51.0,53.15746004905638
2021-01-05,35.0,56.0,26.0,53.0,43.0,35.0,0.0,15.0,68.0,33.0,56.0,53.0,0.0,51.0,54.0,23.0,30.0,74.6987951807229,58.208955223880594,69.0,54.923691074099786
2021-01-06,35.0,28.0,26.0,13.0,14.0,12.0,18.0,46.0,33.0,50.0,76.0,0.0,15.0,0.0,14.0,23.0,46.0,0.0,19.402985074626866,34.0,33.1295108414348
2021-01-07,72.0,100.0,26.0,54.0,44.0,24.0,19.0,47.0,51.0,34.0,58.0,13.0,30.0,26.0,55.0,12.0,15.0,19.27710843373494,20.895522388059703,53.0,50.984631493195614
2021-01-08,72.0,29.0,13.0,40.0,58.0,24.0,56.0,48.0,34.0,85.0,96.0,55.0,30.0,65.0,96.0,48.0,31.0,19.27710843373494,80.59701492537313,70.0,69.23091061411773
2021-01-09,38.0,45.0,42.0,0.0,46.0,13.0,19.0,50.0,18.0,73.0,20.0,29.0,16.0,28.0,30.0,76.0,49.0,60.24096385542169,85.07462686567165,74.0,53.49985859384775
2021-01-10,19.0,31.0,43.0,15.0,32.0,65.0,100.0,84.0,19.0,93.0,21.0,58.0,49.0,29.0,30.0,26.0,84.0,20.481927710843372,43.28358208955224,95.0,63.09113255952252
2021-01-11,18.0,56.0,13.0,40.0,14.0,36.0,18.0,31.0,34.0,34.0,66.0,53.0,88.0,26.0,0.0,0.0,46.0,37.34939759036145,59.701492537313435,34.0,46.42659834901648
2021-01-12,90.0,29.0,53.0,26.0,14.0,36.0,37.0,93.0,68.0,17.0,57.0,67.0,44.0,26.0,55.0,35.0,61.0,93.97590361445783,100.0,17.0,67.19341693589173
2021-01-13,87.0,0.0,52.0,26.0,14.0,23.0,90.0,45.0,33.0,100.0,66.0,66.0,0.0,13.0,41.0,47.0,46.0,74.6987951807229,38.80597014925373,68.0,61.3594437668939
2021-01-14,18.0,55.0,0.0,39.0,43.0,24.0,18.0,46.0,34.0,68.0,75.0,13.0,58.0,38.0,55.0,47.0,76.0,37.34939759036145,40.298507462686565,51.0,55.104382642083536
2021-01-15,73.0,72.0,40.0,41.0,59.0,61.0,95.0,0.0,35.0,34.0,49.0,0.0,46.0,52.0,42.0,24.0,78.0,38.55421686746988,41.791044776119406,18.0,59.3047204753144
2021-01-16,19.0,15.0,14.0,0.0,0.0,51.0,97.0,17.0,73.0,37.0,83.0,42.0,0.0,42.0,45.0,25.0,33.0,80.72289156626506,43.28358208955224,18.0,48.46787471592779
2021-01-17,93.0,59.0,41.0,28.0,0.0,38.0,57.0,16.0,53.0,70.0,70.0,14.0,46.0,54.0,29.0,37.0,32.0,19.27710843373494,41.791044776119406,18.0,53.813252572732274
2021-01-18,35.0,56.0,26.0,92.0,43.0,12.0,54.0,45.0,34.0,50.0,74.0,39.0,44.0,25.0,40.0,47.0,60.0,37.34939759036145,38.80597014925373,68.0,60.67698269508862
2021-01-19,35.0,56.0,26.0,54.0,87.0,12.0,18.0,46.0,51.0,34.0,38.0,27.0,74.0,26.0,14.0,23.0,45.0,56.626506024096386,40.298507462686565,35.0,52.61685573192952
2021-01-20,33.0,26.0,37.0,62.0,54.0,33.0,34.0,29.0,32.0,48.0,54.0,50.0,69.0,37.0,39.0,56.0,0.0,34.93975903614458,74.6268656716418,32.0,55.033080739059116
2021-01-21,87.0,27.0,38.0,39.0,27.0,35.0,88.0,45.0,100.0,66.0,47.0,51.0,28.0,100.0,66.0,46.0,60.0,36.144578313253014,38.80597014925373,84.0,73.12653449391125
