,/m/02gy9__0,/m/02gy9__1,/m/02gy9__2,/m/02gy9__3,/m/02gy9__4,/m/02gy9__5,/m/02gy9__6,/m/02gy9__7,/m/02gy9__8,/m/02gy9__9,/m/02gy9__10,/m/02gy9__11,/m/02gy9__12,/m/02gy9__13,/m/02gy9__14,/m/02gy9__15,/m/02gy9__16,/m/02gy9__17,/m/02gy9__18,/m/02gy9__19,/m/02gy9_
2020-01-29,14.0,0.0,33.0,13.0,21.0,0.0,21.0,0.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,12.16509775524982
2020-01-30,15.0,26.0,34.0,14.0,33.0,15.0,32.0,26.0,78.0,0.0,13.0,0.0,31.0,15.0,52.0,24.0,0.0,0.0,69.0,67.0,39.39174511223751
2020-01-31,0.0,27.0,0.0,15.0,11.0,0.0,0.0,14.0,16.0,15.0,14.0,0.0,0.0,0.0,27.0,25.0,14.0,14.0,18.0,14.0,16.220130340333093
2020-02-01,0.0,41.0,0.0,14.0,0.0,15.0,0.0,14.0,33.0,15.0,28.0,0.0,16.0,16.0,28.0,0.0,0.0,0.0,37.0,43.0,21.72338884866039
2020-02-02,47.0,28.0,36.0,30.0,35.0,0.0,11.0,28.0,33.0,30.0,0.0,14.0,16.0,33.0,55.0,13.0,28.0,14.0,55.0,29.0,38.7400434467777
2020-02-03,13.0,12.0,15.0,25.0,20.0,26.0,19.0,47.0,14.0,13.0,12.0,36.0,14.0,28.0,23.0,22.0,12.0,12.0,16.0,24.0,29.181752353367123
2020-02-04,0.0,26.0,50.0,14.0,22.0,28.0,0.0,26.0,15.0,14.0,39.0,26.0,15.0,45.0,13.0,0.0,0.0,13.0,68.0,26.0,31.860970311368575
2020-02-05,43.0,0.0,49.0,27.0,32.0,14.0,10.0,13.0,0.0,0.0,26.0,0.0,46.0,45.0,12.0,0.0,51.0,0.0,17.0,13.0,28.819695872556117
2020-02-06,30.0,27.0,51.0,14.0,0.0,29.0,22.0,13.0,32.0,29.0,40.0,13.0,47.0,16.0,13.0,0.0,40.0,26.0,53.0,55.0,39.826212889210716
2020-02-07,30.0,0.0,53.0,15.0,23.0,30.0,11.0,0.0,0.0,15.0,14.0,0.0,65.0,16.0,14.0,13.0,42.0,27.0,18.0,0.0,27.950760318609703
2020-02-08,31.0,0.0,18.0,15.0,0.0,15.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,8.906589427950761
2020-02-09,31.0,42.0,18.0,44.0,23.0,46.0,23.0,28.0,33.0,46.0,14.0,42.0,16.0,80.0,27.0,26.0,57.0,28.0,0.0,0.0,45.18464880521361
2020-02-10,29.0,13.0,34.0,14.0,22.0,28.0,0.0,39.0,31.0,0.0,13.0,39.0,31.0,15.0,39.0,37.0,13.0,0.0,52.0,26.0,34.39536567704562
2020-02-11,0.0,13.0,33.0,14.0,22.0,28.0,43.0,0.0,30.0,27.0,25.0,0.0,46.0,30.0,13.0,24.0,39.0,13.0,17.0,27.0,32.15061549601738
2020-02-12,15.0,13.0,34.0,43.0,33.0,44.0,33.0,39.0,15.0,29.0,39.0,13.0,47.0,47.0,26.0,12.0,40.0,13.0,53.0,0.0,42.57784214337437
2020-02-13,45.0,0.0,34.0,14.0,11.0,0.0,22.0,0.0,0.0,0.0,0.0,52.0,16.0,47.0,0.0,0.0,0.0,26.0,0.0,0.0,19.333816075307748
2020-02-14,15.0,0.0,35.0,29.0,23.0,0.0,11.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,14.265025343953658
2020-02-15,17.0,15.0,19.0,31.0,12.0,32.0,24.0,30.0,0.0,31.0,44.0,45.0,35.0,34.0,44.0,41.0,15.0,15.0,57.0,75.0,44.605358435916
2020-02-16,15.0,39.0,0.0,28.0,33.0,15.0,11.0,13.0,0.0,14.0,27.0,13.0,16.0,31.0,52.0,12.0,13.0,26.0,53.0,0.0,29.761042722664737
2020-02-17,27.0,25.0,32.0,26.0,0.0,14.0,10.0,12.0,15.0,27.0,25.0,25.0,59.0,15.0,0.0,0.0,25.0,25.0,0.0,13.0,27.15423606082549
2020-02-18,14.0,25.0,49.0,27.0,31.0,28.0,20.0,12.0,0.0,13.0,12.0,25.0,0.0,44.0,12.0,23.0,0.0,37.0,16.0,13.0,29.036929761042725
2020-02-19,0.0,12.0,0.0,0.0,0.0,55.0,0.0,25.0,30.0,41.0,38.0,0.0,0.0,0.0,12.0,47.0,0.0,0.0,33.0,26.0,23.099203475742218
2020-02-20,15.0,40.0,52.0,28.0,22.0,44.0,43.0,40.0,79.0,42.0,26.0,26.0,0.0,31.0,52.0,25.0,27.0,0.0,35.0,41.0,48.37074583635047
2020-02-21,0.0,13.0,17.0,14.0,0.0,15.0,0.0,0.0,0.0,14.0,13.0,0.0,16.0,0.0,13.0,12.0,0.0,0.0,35.0,28.0,13.758146270818248
2020-02-22,47.0,14.0,36.0,15.0,47.0,31.0,11.0,14.0,33.0,15.0,14.0,42.0,34.0,66.0,0.0,0.0,43.0,0.0,0.0,30.0,35.626357711803045
2020-02-23,46.0,0.0,52.0,14.0,34.0,30.0,33.0,0.0,16.0,0.0,0.0,27.0,50.0,64.0,0.0,0.0,55.0,27.0,18.0,0.0,33.74366401158581
2020-02-24,0.0,25.0,16.0,0.0,10.0,27.0,10.0,12.0,29.0,0.0,25.0,0.0,15.0,15.0,24.0,0.0,12.0,12.0,16.0,13.0,18.89934829833454
2020-02-25,0.0,12.0,0.0,0.0,0.0,26.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,23.0,0.0,12.0,12.0,16.0,0.0,9.051412020275164
