date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3,batch_id
2020-01-01,8.0,31.0,8.0,17.0,24.0,0.0,16.0,32.0,7.0,8.0,15.1,0.0
2020-01-02,21.0,26.0,13.0,14.0,13.0,12.0,19.0,13.0,12.0,7.0,15.0,0.0
2020-01-03,28.0,20.0,39.0,24.0,0.0,41.0,13.0,33.0,17.0,14.0,22.9,0.0
2020-01-04,0.0,0.0,14.0,0.0,7.0,0.0,14.0,0.0,6.0,15.0,5.6,0.0
2020-01-05,7.0,20.0,27.0,15.0,14.0,18.0,21.0,14.0,18.0,15.0,16.9,0.0
2020-01-06,7.0,12.0,0.0,4.0,12.0,11.0,6.0,12.0,5.0,13.0,8.2,0.0
2020-01-07,7.0,19.0,6.0,14.0,13.0,11.0,25.0,6.0,6.0,13.0,12.0,0.0
2020-01-08,0.0,13.0,6.0,5.0,6.0,6.0,13.0,13.0,11.0,13.0,8.6,0.0
2020-01-09,14.0,13.0,13.0,14.0,25.0,11.0,13.0,13.0,11.0,20.0,14.7,0.0
2020-01-10,7.0,0.0,7.0,5.0,0.0,12.0,20.0,20.0,18.0,7.0,9.6,0.0
2020-01-11,32.0,22.0,22.0,16.0,22.0,39.0,30.0,22.0,32.0,23.0,26.0,0.0
2020-01-12,7.0,7.0,7.0,10.0,14.0,12.0,0.0,7.0,6.0,7.0,7.7,0.0
2020-01-13,25.0,6.0,23.0,17.0,6.0,26.0,17.0,12.0,10.0,6.0,14.8,0.0
2020-01-14,18.0,11.0,17.0,12.0,17.0,20.0,23.0,6.0,5.0,12.0,14.1,0.0
2020-01-15,7.0,0.0,6.0,0.0,19.0,0.0,12.0,6.0,5.0,7.0,6.2,0.0
2020-01-16,7.0,25.0,13.0,9.0,19.0,22.0,13.0,0.0,22.0,13.0,14.3,0.0
2020-01-17,0.0,19.0,6.0,14.0,7.0,6.0,6.0,19.0,17.0,7.0,10.1,0.0
2020-01-18,15.0,21.0,14.0,5.0,14.0,19.0,22.0,22.0,6.0,23.0,16.1,0.0
2020-01-19,15.0,21.0,14.0,20.0,14.0,32.0,7.0,7.0,13.0,22.0,16.5,0.0
2020-01-20,20.0,25.0,12.0,36.0,13.0,28.0,12.0,12.0,5.0,7.0,17.0,0.0
2020-01-21,13.0,19.0,25.0,13.0,12.0,11.0,19.0,19.0,11.0,7.0,14.9,0.0
2020-01-22,27.0,19.0,43.0,9.0,38.0,33.0,31.0,19.0,11.0,33.0,26.3,0.0
2020-01-23,27.0,6.0,13.0,14.0,6.0,11.0,6.0,6.0,6.0,13.0,10.8,0.0
2020-01-24,27.0,19.0,26.0,9.0,26.0,12.0,19.0,32.0,12.0,21.0,20.3,0.0
2020-01-25,0.0,22.0,15.0,11.0,23.0,46.0,0.0,30.0,19.0,24.0,19.0,0.0
2020-01-26,31.0,22.0,22.0,5.0,15.0,26.0,22.0,15.0,0.0,31.0,18.9,0.0
2020-01-27,6.0,24.0,6.0,17.0,25.0,21.0,6.0,18.0,11.0,19.0,15.3,0.0
2020-01-28,27.0,19.0,6.0,9.0,26.0,23.0,0.0,26.0,11.0,21.0,16.8,0.0
2020-01-29,46.0,49.0,31.0,18.0,19.0,22.0,12.0,31.0,22.0,33.0,28.3,0.0
2020-01-30,27.0,12.0,6.0,18.0,32.0,6.0,6.0,13.0,17.0,27.0,16.4,0.0
2020-01-31,14.0,13.0,6.0,0.0,7.0,6.0,13.0,7.0,6.0,7.0,7.9,0.0
2020-02-01,24.0,23.0,23.0,0.0,8.0,13.0,23.0,23.0,13.0,32.0,18.2,0.0
2020-02-02,24.0,15.0,15.0,0.0,8.0,20.0,0.0,7.0,13.0,16.0,11.8,0.0
2020-02-03,0.0,6.0,6.0,4.0,6.0,0.0,6.0,0.0,0.0,6.0,3.4,0.0
2020-02-04,7.0,6.0,13.0,9.0,13.0,6.0,0.0,0.0,6.0,0.0,6.0,0.0
2020-02-05,19.0,18.0,6.0,4.0,0.0,0.0,6.0,12.0,10.0,6.0,8.1,0.0
2020-02-06,0.0,6.0,0.0,9.0,32.0,11.0,19.0,25.0,6.0,20.0,12.8,0.0
2020-02-07,7.0,0.0,0.0,0.0,6.0,0.0,6.0,6.0,0.0,7.0,3.2,0.0
2020-02-08,8.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,8.0,2.3,0.0
2020-02-09,8.0,7.0,14.0,5.0,0.0,6.0,14.0,0.0,0.0,0.0,5.4,0.0
2020-02-10,13.0,25.0,6.0,9.0,12.0,11.0,6.0,6.0,11.0,20.0,11.9,0.0
2020-02-11,7.0,12.0,0.0,9.0,12.0,11.0,6.0,0.0,11.0,0.0,6.8,0.0
2020-02-12,13.0,31.0,43.0,4.0,12.0,11.0,25.0,12.0,16.0,26.0,19.3,0.0
2020-02-13,0.0,6.0,13.0,5.0,6.0,11.0,0.0,0.0,6.0,7.0,5.4,0.0
2020-02-14,0.0,6.0,13.0,5.0,0.0,0.0,7.0,7.0,6.0,7.0,5.1,0.0
2020-02-15,22.0,21.0,21.0,10.0,21.0,25.0,21.0,14.0,31.0,15.0,20.1,0.0
2020-02-16,24.0,14.0,22.0,16.0,7.0,26.0,7.0,7.0,0.0,16.0,13.9,0.0
2020-02-17,14.0,19.0,25.0,9.0,32.0,29.0,31.0,25.0,22.0,20.0,22.6,0.0
2020-02-18,7.0,6.0,12.0,5.0,13.0,6.0,0.0,0.0,11.0,0.0,6.0,0.0
2020-02-19,7.0,24.0,6.0,13.0,6.0,11.0,31.0,12.0,11.0,19.0,14.0,0.0
2020-02-20,0.0,12.0,12.0,13.0,18.0,5.0,6.0,0.0,5.0,6.0,7.7,0.0
2020-02-21,27.0,0.0,19.0,9.0,19.0,11.0,32.0,25.0,17.0,0.0,15.9,0.0
2020-02-22,30.0,21.0,21.0,30.0,35.0,12.0,21.0,21.0,18.0,29.0,23.8,0.0
2020-02-23,15.0,7.0,7.0,0.0,7.0,6.0,14.0,21.0,0.0,0.0,7.7,0.0
2020-02-24,25.0,24.0,12.0,4.0,30.0,21.0,24.0,12.0,5.0,6.0,16.3,0.0
2020-02-25,20.0,24.0,18.0,13.0,12.0,11.0,25.0,24.0,27.0,19.0,19.3,0.0
2020-02-26,7.0,6.0,12.0,9.0,25.0,5.0,6.0,12.0,5.0,26.0,11.3,0.0
2020-02-27,19.0,11.0,12.0,21.0,17.0,21.0,17.0,23.0,20.0,12.0,17.3,0.0
2020-02-28,20.0,6.0,25.0,18.0,13.0,17.0,25.0,12.0,11.0,7.0,15.4,0.0
2020-02-29,30.0,21.0,7.0,10.0,14.0,0.0,7.0,21.0,0.0,7.0,11.7,0.0
2020-03-01,24.0,37.0,0.0,11.0,15.0,20.0,7.0,15.0,7.0,16.0,15.2,0.0
2020-03-02,14.0,12.0,6.0,5.0,13.0,6.0,13.0,13.0,0.0,20.0,10.2,0.0
2020-03-03,0.0,14.0,0.0,5.0,0.0,12.0,0.0,7.0,6.0,15.0,5.9,0.0
2020-03-04,0.0,18.0,18.0,0.0,12.0,11.0,12.0,18.0,5.0,13.0,10.7,0.0
2020-03-05,19.0,28.0,23.0,12.0,23.0,10.0,17.0,23.0,15.0,6.0,17.6,0.0
2020-03-06,27.0,6.0,13.0,23.0,13.0,29.0,13.0,13.0,23.0,7.0,16.7,0.0
2020-03-07,23.0,21.0,42.0,5.0,7.0,38.0,29.0,36.0,25.0,23.0,24.9,0.0
2020-03-08,7.0,7.0,0.0,10.0,7.0,6.0,13.0,0.0,24.0,21.0,9.5,0.0
