date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-10-05,17.0,46.0,33.0,0.0,19.0,0.0,36.0,26.0,0.0,0.0,45.0,20.0,23.0,42.0,14.0,49.0,41.0,19.0,45.0,30.0,36.861313868613145
2020-10-06,34.0,16.0,34.0,0.0,0.0,20.0,36.0,13.0,37.0,31.0,0.0,20.0,69.0,22.0,29.0,17.0,21.0,20.0,15.0,16.0,32.846715328467155
2020-10-07,52.0,32.0,25.0,37.0,100.0,60.0,54.0,26.0,73.0,63.0,46.0,60.0,69.0,65.0,15.0,51.0,21.0,40.0,31.0,62.0,71.67883211678833
2020-10-08,52.0,47.0,25.0,37.0,59.0,39.0,73.0,40.0,18.0,31.0,23.0,20.0,69.0,43.0,22.0,51.0,42.0,80.0,31.0,47.0,61.970802919708035
2020-10-09,38.0,52.0,37.0,0.0,22.0,87.0,0.0,0.0,41.0,34.0,26.0,22.0,25.0,24.0,33.0,57.0,23.0,22.0,34.0,69.0,47.15328467153284
2020-10-10,63.0,19.0,51.0,22.0,48.0,0.0,66.0,32.0,67.0,19.0,28.0,98.0,84.0,0.0,54.0,62.0,0.0,72.0,19.0,57.0,62.84671532846716
2020-10-11,100.0,18.0,58.0,64.0,46.0,90.0,62.0,92.0,86.0,54.0,0.0,47.0,80.0,100.0,17.0,0.0,73.0,90.0,35.0,18.0,82.48175182481751
2020-10-12,18.0,100.0,27.0,39.0,21.0,42.0,95.0,14.0,38.0,33.0,48.0,84.0,97.0,69.0,47.0,35.0,23.0,21.0,65.0,0.0,66.86131386861314
2020-10-13,0.0,17.0,35.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,16.0,0.0,0.0,21.0,0.0,16.0,10.729927007299269
2020-10-14,72.0,65.0,26.0,57.0,84.0,62.0,57.0,41.0,38.0,49.0,48.0,42.0,24.0,90.0,77.0,53.0,44.0,83.0,48.0,49.0,80.94890510948905
2020-10-15,19.0,51.0,27.0,80.0,43.0,86.0,79.0,100.0,100.0,68.0,100.0,87.0,100.0,70.0,48.0,74.0,68.0,86.0,17.0,67.0,100.0
