date,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-01-29,0.0,0.0,27.0,0.0,21.0,14.0,12.0,29.0,26.0,28.0,21.0,10.0,0.0,14.0,0.0,9.0,13.0,0.0,0.0,30.0,15.516188149053146
2020-01-30,31.0,21.0,14.0,19.0,0.0,0.0,25.0,45.0,13.0,28.0,22.0,23.0,38.0,45.0,0.0,20.0,27.0,0.0,19.0,46.0,26.634086744043984
2020-01-31,0.0,11.0,0.0,19.0,0.0,30.0,0.0,15.0,14.0,0.0,0.0,0.0,13.0,0.0,0.0,10.0,27.0,0.0,10.0,16.0,10.079413561392792
2020-02-01,32.0,11.0,0.0,0.0,22.0,30.0,13.0,0.0,0.0,15.0,12.0,23.0,26.0,31.0,30.0,0.0,14.0,15.0,20.0,32.0,19.914477703115455
2020-02-02,15.0,0.0,14.0,0.0,0.0,15.0,13.0,15.0,27.0,15.0,11.0,0.0,0.0,15.0,29.0,20.0,27.0,0.0,0.0,0.0,13.194868662186929
2020-02-03,13.0,19.0,31.0,8.0,0.0,26.0,22.0,40.0,36.0,13.0,19.0,20.0,11.0,13.0,13.0,35.0,35.0,25.0,9.0,54.0,27.000610873549178
2020-02-04,30.0,11.0,14.0,9.0,0.0,14.0,13.0,0.0,0.0,0.0,0.0,11.0,12.0,29.0,29.0,0.0,14.0,14.0,10.0,0.0,12.828344532681736
2020-02-05,15.0,11.0,14.0,9.0,0.0,14.0,0.0,29.0,13.0,0.0,22.0,11.0,0.0,15.0,14.0,10.0,0.0,0.0,0.0,0.0,10.812461820403177
2020-02-06,16.0,23.0,29.0,20.0,0.0,15.0,0.0,31.0,14.0,0.0,23.0,11.0,13.0,31.0,0.0,10.0,14.0,14.0,0.0,16.0,17.10445937690898
2020-02-07,33.0,12.0,0.0,0.0,11.0,15.0,13.0,0.0,0.0,15.0,23.0,0.0,0.0,16.0,0.0,10.0,28.0,30.0,0.0,16.0,13.561392791692121
2020-02-08,17.0,12.0,15.0,20.0,12.0,0.0,27.0,0.0,0.0,0.0,12.0,0.0,14.0,0.0,0.0,11.0,0.0,30.0,0.0,17.0,11.423335369578497
2020-02-09,16.0,0.0,14.0,9.0,11.0,29.0,25.0,15.0,0.0,0.0,11.0,0.0,13.0,0.0,14.0,10.0,0.0,14.0,0.0,16.0,12.03420891875382
2020-02-10,29.0,0.0,13.0,18.0,10.0,28.0,24.0,29.0,13.0,14.0,21.0,0.0,36.0,0.0,14.0,0.0,25.0,27.0,9.0,44.0,21.624923640806355
2020-02-11,15.0,11.0,27.0,18.0,10.0,14.0,12.0,0.0,13.0,28.0,11.0,21.0,12.0,15.0,0.0,0.0,25.0,0.0,10.0,15.0,15.699450213805743
2020-02-12,15.0,0.0,13.0,0.0,0.0,14.0,36.0,14.0,13.0,14.0,0.0,11.0,12.0,43.0,14.0,10.0,25.0,13.0,9.0,30.0,17.470983506414175
2020-02-13,15.0,0.0,14.0,0.0,0.0,28.0,12.0,0.0,27.0,0.0,0.0,11.0,0.0,0.0,14.0,0.0,13.0,0.0,10.0,0.0,8.796579108124618
2020-02-14,0.0,0.0,14.0,10.0,0.0,15.0,25.0,15.0,0.0,29.0,0.0,23.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,16.0,10.56811240073305
2020-02-15,0.0,12.0,16.0,0.0,0.0,32.0,0.0,34.0,15.0,16.0,13.0,12.0,0.0,0.0,16.0,0.0,15.0,0.0,11.0,0.0,11.72877214416616
2020-02-16,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9163103237629812
2020-02-17,15.0,22.0,14.0,0.0,10.0,29.0,25.0,0.0,13.0,0.0,0.0,0.0,0.0,30.0,29.0,0.0,26.0,14.0,10.0,0.0,14.477703115455101
2020-02-18,15.0,11.0,14.0,0.0,11.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,0.0,0.0,15.0,6.536346976175932
