,/m/07mf1_0,/m/07mf1_1,/m/07mf1_2,/m/07mf1_3,/m/07mf1_4,/m/07mf1_5,/m/07mf1_6,/m/07mf1_7,/m/07mf1_8,/m/07mf1_9,/m/07mf1_10,/m/07mf1_11,/m/07mf1_12,/m/07mf1_13,/m/07mf1_14,/m/07mf1_15,/m/07mf1_16,/m/07mf1_17,/m/07mf1_18,/m/07mf1_19,/m/07mf1
2020-11-18,0.0,0.0,0.0,0.0,60.0,0.0,64.0,0.0,32.0,0.0,0.0,0.0,0.0,46.478873239436616,0.0,0.0,0.0,23.0,43.83561643835616,0.0,27.802072781173276
2020-11-19,0.0,63.0,33.0,69.0,59.0,32.0,63.0,44.0,32.0,0.0,0.0,48.0,25.0,45.070422535211264,0.0,0.0,0.0,23.0,0.0,0.0,55.3400187304783
2020-11-20,0.0,32.0,65.0,0.0,0.0,32.0,63.0,44.0,63.0,29.0,43.0,0.0,0.0,46.478873239436616,0.0,33.0,0.0,47.0,43.83561643835616,34.0,59.391291323470405
2020-11-21,86.0,30.0,0.0,0.0,0.0,31.0,32.0,44.0,31.0,0.0,42.0,0.0,0.0,45.070422535211264,30.0,0.0,63.0,23.0,0.0,100.0,57.50790627749868
2020-11-22,44.0,64.0,34.0,70.0,30.0,0.0,0.0,46.0,32.0,30.0,43.0,48.0,25.0,47.88732394366197,0.0,0.0,0.0,24.0,0.0,0.0,55.5275824417899
2020-11-23,0.0,32.0,0.0,34.0,30.0,32.0,32.0,44.0,65.0,0.0,43.0,96.0,0.0,46.478873239436616,0.0,0.0,0.0,0.0,0.0,0.0,46.91709950855399
2020-11-24,41.0,32.0,32.0,33.0,0.0,30.0,30.0,43.0,31.0,0.0,42.0,0.0,25.0,0.0,0.0,66.0,93.0,23.0,0.0,33.0,57.19093814520462
2020-11-25,0.0,30.0,32.0,66.0,28.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,32.0,0.0,0.0,41.0958904109589,0.0,29.740928246174725
2020-11-26,0.0,0.0,34.0,0.0,0.0,0.0,32.0,0.0,32.0,30.0,0.0,0.0,0.0,0.0,30.0,34.0,32.0,0.0,0.0,0.0,23.12413383488418
2020-11-27,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,43.0,0.0,0.0,0.0,30.0,0.0,31.0,23.0,0.0,0.0,19.717453403852137
