date,/m/0lbt3_0,/m/0lbt3_1,/m/0lbt3_2,/m/0lbt3_3,/m/0lbt3_4,/m/0lbt3_5,/m/0lbt3_6,/m/0lbt3_7,/m/0lbt3_8,/m/0lbt3_9,/m/0lbt3_10,/m/0lbt3_11,/m/0lbt3_12,/m/0lbt3_13,/m/0lbt3_14,/m/0lbt3_15,/m/0lbt3_16,/m/0lbt3_17,/m/0lbt3_18,/m/0lbt3_19,/m/0lbt3
2020-10-05,30.0,16.0,40.0,46.0,82.0,46.0,63.0,20.0,15.0,40.0,0.0,35.0,35.0,16.0,21.21212121212121,15.0,17.0,0.0,23.0,19.0,41.65147344030333
2020-10-06,47.0,17.0,21.0,48.0,21.0,31.0,22.0,0.0,31.0,20.0,0.0,18.0,35.0,49.0,0.0,15.0,18.0,0.0,12.0,19.0,30.49008142600838
2020-10-07,45.0,0.0,0.0,0.0,64.0,31.0,42.0,59.0,0.0,20.0,0.0,0.0,17.0,16.0,42.42424242424242,0.0,0.0,17.0,12.0,38.0,29.010466982879475
2020-10-08,32.0,69.0,44.0,49.0,44.0,48.0,44.0,63.0,31.0,0.0,0.0,36.0,0.0,17.0,44.44444444444444,16.0,55.0,36.0,36.0,40.0,50.65700111134516
2020-10-09,35.0,38.0,24.0,27.0,24.0,18.0,25.0,0.0,0.0,46.0,75.0,21.0,62.0,19.0,75.75757575757575,35.0,61.0,62.0,27.0,67.0,53.34020963020534
2020-10-10,19.0,81.0,51.0,59.0,0.0,39.0,26.0,25.0,56.0,25.0,27.0,21.0,21.0,19.0,52.525252525252526,0.0,21.0,0.0,14.0,0.0,40.02004779510572
2020-10-11,69.0,72.0,46.0,79.0,94.0,88.0,71.0,89.0,50.0,23.0,24.0,59.0,58.0,71.0,71.71717171717172,34.0,59.0,79.0,26.0,85.0,89.72405226954116
2020-10-12,49.0,36.0,67.0,78.0,91.0,17.0,46.0,43.0,16.0,0.0,23.0,38.0,38.0,51.0,45.45454545454545,32.0,56.0,38.0,37.0,21.0,59.14317467004671
2020-10-13,16.0,0.0,45.0,0.0,0.0,17.0,23.0,43.0,17.0,22.0,23.0,38.0,19.0,17.0,46.464646464646464,16.0,0.0,19.0,0.0,21.0,27.5032505030108
2020-10-14,16.0,36.0,0.0,50.0,0.0,33.0,45.0,0.0,16.0,22.0,0.0,0.0,18.0,34.0,23.232323232323232,32.0,19.0,19.0,12.0,40.0,29.85959279732115
2020-10-15,17.0,37.0,47.0,81.0,24.0,18.0,24.0,23.0,34.0,0.0,25.0,40.0,20.0,37.0,48.484848484848484,34.0,40.0,20.0,27.0,65.0,47.567752104655305
2020-10-16,18.0,0.0,0.0,83.0,0.0,54.0,73.0,0.0,35.0,71.0,100.0,20.0,20.0,18.0,25.252525252525253,18.0,0.0,20.0,14.0,44.0,44.09933827748763
2020-10-17,57.0,20.0,26.0,0.0,26.0,0.0,26.0,0.0,37.0,25.0,53.0,86.0,64.0,0.0,76.76767676767676,18.0,0.0,22.0,14.0,69.0,44.56784653267572
2020-10-18,0.0,20.0,24.0,56.0,75.0,55.0,50.0,24.0,36.0,48.0,25.0,42.0,41.0,0.0,50.505050505050505,0.0,0.0,21.0,0.0,45.0,44.045586942783885
2020-10-19,49.0,53.0,65.0,76.0,22.0,100.0,23.0,85.0,16.0,22.0,46.0,19.0,37.0,34.0,0.0,63.0,74.0,56.0,50.0,80.0,69.75325231893427
2020-10-20,16.0,0.0,22.0,0.0,22.0,0.0,22.0,0.0,0.0,21.0,22.0,0.0,0.0,33.0,0.0,16.0,0.0,18.0,12.0,0.0,14.669756157796483
2020-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.204552883323284
2020-10-22,16.0,55.0,22.0,52.0,22.0,17.0,70.0,43.0,49.0,0.0,23.0,57.0,19.0,17.0,23.232323232323232,33.0,37.0,0.0,13.0,41.0,43.810243261108
2020-10-23,50.0,36.0,22.0,78.0,92.0,68.0,23.0,22.0,33.0,0.0,23.0,57.0,19.0,17.0,23.232323232323232,33.0,38.0,57.0,37.0,41.0,55.31593436526211
2020-10-24,49.0,18.0,45.0,52.0,45.0,17.0,45.0,22.0,33.0,22.0,69.0,19.0,37.0,34.0,0.0,48.0,56.0,76.0,38.0,62.0,56.593618118558005
2020-10-25,0.0,17.0,44.0,100.0,45.0,50.0,45.0,21.0,16.0,43.0,0.0,19.0,18.0,17.0,23.232323232323232,48.0,0.0,37.0,12.0,20.0,41.36528390147525
2020-10-26,31.0,50.0,42.0,71.0,21.0,79.0,21.0,80.0,46.0,0.0,67.0,54.0,53.0,0.0,43.43434343434343,0.0,70.0,36.0,12.0,38.0,58.56643737606322
2020-10-27,15.0,32.0,61.0,46.0,20.0,46.0,41.0,20.0,29.0,20.0,21.0,52.0,17.0,31.0,41.41414141414141,15.0,51.0,51.0,22.0,18.0,46.69974068612851
2020-10-28,46.0,50.0,83.0,48.0,83.0,31.0,64.0,100.0,15.0,60.0,43.0,18.0,35.0,48.0,63.63636363636363,45.0,35.0,35.0,35.0,58.0,71.59677782539532
2020-10-29,31.0,100.0,63.0,96.0,43.0,48.0,65.0,40.0,30.0,60.0,22.0,18.0,53.0,32.0,21.21212121212121,46.0,0.0,35.0,23.0,19.0,60.779684900959545
2020-10-30,27.0,29.0,74.0,64.0,56.0,42.0,76.0,35.0,13.0,18.0,39.0,79.0,15.0,57.0,76.76767676767676,13.0,31.0,46.0,10.0,17.0,58.80613927406643
2020-10-31,0.0,15.0,0.0,0.0,19.0,0.0,0.0,0.0,28.0,38.0,20.0,0.0,0.0,0.0,20.2020202020202,0.0,0.0,0.0,11.0,17.0,12.095503047119582
