,/m/0b76bty_0,/m/0b76bty_1,/m/0b76bty_2,/m/0b76bty_3,/m/0b76bty_4,/m/0b76bty_5,/m/0b76bty_6,/m/0b76bty_7,/m/0b76bty_8,/m/0b76bty_9,/m/0b76bty_10,/m/0b76bty_11,/m/0b76bty_12,/m/0b76bty_13,/m/0b76bty_14,/m/0b76bty_15,/m/0b76bty_16,/m/0b76bty_17,/m/0b76bty_18,/m/0b76bty_19,/m/0b76bty
2020-10-05,70.0,15.0,30.0,33.0,45.0,45.0,12.0,49.0,15.0,56.98924731182796,25.0,45.0,26.0,52.0,22.0,31.0,10.0,31.0,59.0,51.0,51.1545103886915
2020-10-06,56.0,46.0,15.0,100.0,45.0,56.0,58.0,100.0,91.0,100.0,78.0,60.0,66.0,66.0,11.0,94.0,30.0,92.0,75.0,77.0,93.11249914410267
2020-10-07,57.0,16.0,15.0,0.0,31.0,46.0,12.0,0.0,31.0,29.032258064516128,13.0,30.0,40.0,26.0,11.0,31.0,0.0,31.0,0.0,0.0,29.648283260169958
2020-10-08,76.0,100.0,99.0,60.0,33.0,25.0,39.0,53.0,49.0,76.34408602150538,69.0,98.0,100.0,100.0,49.0,51.0,100.0,100.0,80.0,56.0,100.0
2020-10-09,49.0,0.0,18.0,0.0,18.0,39.0,0.0,0.0,35.0,16.129032258064516,30.0,17.0,15.0,15.0,0.0,18.0,12.0,54.0,17.0,15.0,26.0466673260246
2020-10-10,100.0,55.0,54.0,13.0,54.0,67.0,98.0,80.0,54.0,68.81720430107526,46.0,53.0,31.0,95.0,54.0,75.0,49.0,55.0,53.0,46.0,84.962835036252
2020-10-11,16.0,36.0,18.0,25.0,17.0,26.0,0.0,38.0,35.0,49.46236559139785,30.0,53.0,15.0,76.0,79.0,37.0,35.0,36.0,34.0,75.0,51.68326473474791
2020-10-12,0.0,17.0,17.0,25.0,33.0,12.0,26.0,18.0,50.0,31.182795698924732,14.0,68.0,15.0,29.0,13.0,35.0,11.0,17.0,16.0,14.0,32.630609931452135
2020-10-13,61.0,84.0,100.0,49.0,33.0,37.0,51.0,73.0,84.0,62.365591397849464,100.0,50.0,72.0,58.0,100.0,86.0,68.0,34.0,81.0,100.0,97.87889623481257
2020-10-14,44.0,49.0,16.0,69.0,79.0,12.0,37.0,17.0,16.0,59.13978494623656,54.0,16.0,14.0,41.0,60.0,66.0,21.0,33.0,31.0,27.0,53.85382034524996
2020-10-15,47.0,51.0,34.0,36.0,50.0,25.0,39.0,55.0,33.0,48.38709677419355,28.0,17.0,44.0,29.0,38.0,86.0,23.0,34.0,48.0,43.0,57.1967650885188
2020-10-16,78.0,0.0,17.0,37.0,34.0,89.0,13.0,56.0,17.0,64.51612903225806,0.0,17.0,30.0,90.0,26.0,54.0,23.0,87.0,100.0,29.0,60.955866130050744
2020-10-17,51.0,19.0,18.0,66.0,55.0,55.0,43.0,20.0,56.0,34.40860215053763,46.0,54.0,48.0,48.0,55.0,57.0,62.0,75.0,18.0,93.0,68.87272616611254
2020-10-18,52.0,0.0,75.0,41.0,75.0,0.0,58.0,41.0,56.0,53.763440860215056,32.0,56.0,17.0,65.0,57.0,39.0,25.0,76.0,55.0,48.0,65.21861519617167
2020-10-19,93.0,51.0,17.0,37.0,100.0,100.0,39.0,37.0,100.0,31.182795698924732,42.0,100.0,73.0,44.0,50.0,69.0,56.0,34.0,33.0,43.0,81.30948486393135
2020-10-20,61.0,17.0,33.0,36.0,65.0,49.0,13.0,36.0,0.0,62.365591397849464,0.0,66.0,29.0,29.0,37.0,34.0,33.0,34.0,48.0,43.0,51.32264666276123
2020-10-21,46.0,67.0,100.0,24.0,33.0,25.0,38.0,36.0,83.0,62.365591397849464,28.0,33.0,29.0,43.0,25.0,52.0,33.0,34.0,16.0,42.0,60.096164819196446
2020-10-22,75.0,65.0,64.0,23.0,16.0,60.0,25.0,52.0,48.0,15.053763440860216,14.0,96.0,14.0,14.0,48.0,67.0,54.0,49.0,31.0,27.0,60.640135117657344
2020-10-23,30.0,50.0,65.0,47.0,97.0,36.0,25.0,35.0,65.0,30.107526881720432,41.0,65.0,57.0,56.0,25.0,34.0,33.0,66.0,32.0,41.0,65.8089941494663
2020-10-24,34.0,0.0,37.0,27.0,18.0,27.0,43.0,39.0,0.0,0.0,31.0,36.0,0.0,0.0,27.0,38.0,24.0,0.0,0.0,15.0,28.018654757647916
2020-10-25,32.0,54.0,17.0,25.0,35.0,52.0,14.0,38.0,70.0,81.72043010752688,44.0,18.0,30.0,31.0,13.0,18.0,47.0,53.0,51.0,45.0,54.39018266750862
2020-10-26,43.0,48.0,78.0,23.0,47.0,58.0,36.0,51.0,63.0,15.053763440860216,52.0,47.0,41.0,54.0,24.0,65.0,21.0,48.0,30.0,40.0,62.55049794204243
2020-10-27,90.0,65.0,64.0,70.0,64.0,60.0,100.0,53.0,65.0,90.3225806451613,0.0,32.0,85.0,56.0,48.0,100.0,32.0,33.0,63.0,41.0,85.70613431121185
2020-10-28,30.0,33.0,16.0,12.0,32.0,24.0,12.0,35.0,64.0,75.26881720430107,41.0,48.0,28.0,56.0,36.0,17.0,22.0,65.0,31.0,27.0,49.82996173187969
2020-10-29,29.0,32.0,47.0,34.0,46.0,0.0,24.0,51.0,47.0,59.13978494623656,39.0,31.0,41.0,41.0,35.0,64.0,10.0,78.0,30.0,27.0,54.13683705997368
2020-10-30,41.0,15.0,29.0,21.0,44.0,22.0,34.0,32.0,44.0,0.0,12.0,58.0,26.0,13.0,22.0,61.0,29.0,30.0,43.0,12.0,41.6034570643863
