date,/m/0hn9s_0,/m/0hn9s_1,/m/0hn9s_2,/m/0hn9s_3,/m/0hn9s_4,/m/0hn9s_5,/m/0hn9s_6,/m/0hn9s_7,/m/0hn9s_8,/m/0hn9s_9,/m/0hn9s_10,/m/0hn9s_11,/m/0hn9s_12,/m/0hn9s_13,/m/0hn9s_14,/m/0hn9s_15,/m/0hn9s_16,/m/0hn9s_17,/m/0hn9s_18,/m/0hn9s_19,/m/0hn9s
2020-01-29,9.0,0.0,27.0,10.0,9.0,0.0,13.0,44.0,34.0,7.0,10.0,14.0,7.0,14.0,37.0,16.0,11.0,20.0,18.0,12.0,16.26694473409802
2020-01-30,27.0,0.0,18.0,10.0,0.0,21.0,14.0,33.0,24.0,30.0,40.0,21.0,8.0,29.0,50.0,17.0,11.0,20.0,18.0,0.0,20.38581856100104
2020-01-31,9.0,8.0,9.0,20.0,38.0,22.0,42.0,12.0,12.0,8.0,10.0,30.0,24.0,30.0,52.0,17.0,35.0,21.0,28.0,25.0,23.566214807090716
2020-02-01,0.0,16.0,10.0,21.0,0.0,0.0,14.0,23.0,25.0,0.0,10.0,0.0,0.0,15.0,53.0,18.0,47.0,7.0,10.0,13.0,14.702815432742439
2020-02-02,0.0,7.0,9.0,0.0,0.0,11.0,13.0,0.0,11.0,7.0,20.0,0.0,15.0,0.0,0.0,8.0,11.0,7.0,9.0,0.0,6.673618352450469
2020-02-03,8.0,0.0,24.0,9.0,0.0,0.0,12.0,0.0,10.0,0.0,0.0,0.0,7.0,13.0,0.0,7.0,10.0,6.0,8.0,0.0,5.943691345151199
2020-02-04,9.0,15.0,0.0,10.0,9.0,11.0,0.0,0.0,24.0,8.0,0.0,7.0,8.0,14.0,13.0,9.0,11.0,0.0,9.0,0.0,8.185610010427528
2020-02-05,9.0,0.0,18.0,0.0,0.0,21.0,13.0,11.0,23.0,0.0,10.0,7.0,0.0,15.0,0.0,8.0,0.0,0.0,0.0,12.0,7.664233576642335
2020-02-06,9.0,0.0,9.0,20.0,0.0,0.0,0.0,0.0,12.0,16.0,21.0,7.0,0.0,0.0,26.0,0.0,12.0,0.0,0.0,0.0,6.882168925964546
2020-02-07,0.0,24.0,29.0,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.327424400417102
2020-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,9.0,14.0,17.0,19.0,17.0,0.0,13.0,11.0,11.0,0.0,10.0,0.0,7.0,0.0,12.0,8.0,10.0,6.0,9.0,0.0,9.019812304483837
2020-02-10,8.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,0.0,9.0,11.0,3.6496350364963503
