elapsed,errors
135.59470824299933,1
239.96369742999923,2
358.3111784550001,3
473.18685801299944,4
602.2525785019989,5
733.718303579999,6
871.7788728129999,7
967.7621192429997,8
1106.30286145,9
1206.654105992,10
1322.0516477699985,11
1460.4811607189986,12
1601.604622339999,13
1750.1153611559985,14
1881.260424021999,15
1989.414251762999,16
2087.182294307,17
2208.854031957999,18
2318.9540533319996,19
2465.7315288009995,20
2564.8714033039996,21
2660.8322358179994,22
2761.9227868729995,23
2899.9450310539996,24
3001.996615406999,25
3121.5473238759987,26
3260.0144071629984,27
3370.2273452889985,28
3519.8512384629994,29
3634.759534789,30
3741.5473815979985,31
3869.731354693,32
3970.6368500549997,33
4079.8161043969994,34
4187.975505275999,35
4334.040583316999,36
4468.618386890999,37
4591.155999993998,38
4707.480887513999,39
4799.831508236,40
4919.702054646999,41
5052.771300850998,42
5160.720858617,43
5268.05756789,44
5388.438516218999,45
5514.867535525,46
5653.396115597001,47
5788.313707776999,48
5886.434716842998,49
6032.439136700001,50
6147.956694158,51
6295.1915085109995,52
6439.890743285998,53
6539.877937388001,54
6657.885120261,55
6778.685661425001,56
6909.330647579,57
7037.311473111999,58
7141.247546420998,59
7270.544777372999,60
7390.837660927,61
7533.043657385,62
7678.774533162998,63
7829.605019549001,64
7948.345894238,65
8060.538745426,66
8181.967859086,67
8320.275507523,68
8460.404586281,69
8592.676665193,70
8713.95985357,71
8807.640915688999,72
8911.507234802999,73
9030.898320789,74
9174.495253890998,75
9291.440674352,76
9407.093712696,77
9511.344258930998,78
9656.148332447001,79
9803.964765185001,80
9924.609675351998,81
10015.908329369,82
10114.243356455,83
10249.16470104,84
10361.881605768,85
10484.946553617001,86
10592.067365229,87
10720.667506060998,88
10854.689979647,89
