elapsed,errors
374.8757846340013,1
449.85181193500466,2
1917.0428756820038,3
2001.1655549860006,4
2054.326257990004,5
2106.586868753002,6
2785.393672500999,7
3276.4686650109943,8
3353.629151451998,9
3451.522158677006,10
4097.540298396998,11
4161.8169706379995,12
4659.450878944001,13
4737.034808907993,14
4770.398875947998,15
4826.438872710001,16
4934.994873953998,17
4971.0430463759985,18
5040.883205031001,19
5125.240987697005,20
5192.262881172006,21
5314.225597554992,22
5395.993421021994,23
5646.162872360001,24
6773.577373056993,25
6838.2518998970045,26
6919.278878402998,27
6994.863837233002,28
7032.410429258001,29
7106.147822561004,30
7192.2168310609995,31
7261.579855914999,32
