elapsed,errors
1785.0500509090052,1
1819.5827578610042,2
1881.8587030360068,3
1968.9745705899986,4
2059.678649722002,5
2113.6466739290045,6
2185.0987036150036,7
2257.9947215249995,8
2332.1466889099975,9
2364.5186345569964,10
2426.528083355006,11
2467.5851881650015,12
2529.9330650409975,13
2577.706467273005,14
2639.5625785589946,15
2692.897445399998,16
2758.4066899989994,17
2791.2947266050032,18
2876.460259658008,19
2963.926772428007,20
2999.6747005630023,21
3063.236335752008,22
3095.6336796069954,23
3159.8027155799937,24
3227.3057660320046,25
3317.323663621006,26
3376.135117151003,27
3435.370666611998,28
3518.994748735,29
3585.677635293003,30
3670.294773008005,31
3723.670754207007,32
3779.159368420005,33
3860.0766370700003,34
3938.2186856570042,35
4019.734723946007,36
4092.3988155700063,37
4133.754627518007,38
4195.178672181006,39
4233.2986928409955,40
4301.157880708008,41
4336.190549955005,42
4400.597431995004,43
4465.497017057001,44
4524.5675529370055,45
4560.208046811007,46
4609.908230246001,47
4644.158665588999,48
4698.898678666999,49
4766.523319954998,50
4800.010576859,51
4869.626702542999,52
4923.770851624999,53
4954.376261999001,54
5040.5465441169945,55
5119.394581558998,56
5172.878675314001,57
5257.546680519008,58
5341.014773868999,59
5427.721766193994,60
5518.615736123,61
5606.648505136007,62
5687.773222710006,63
5778.242694557994,64
5843.415985433006,65
5893.922715727007,66
5973.902720515005,67
6080.924028608002,68
6154.042697643003,69
6238.470146898995,70
6296.422760383997,71
6367.326643988999,72
6408.267430851003,73
6448.631554911,74
6495.090731517994,75
6533.882704871008,76
6601.482542812999,77
6673.802619522001,78
6735.938721487997,79
6799.314610686997,80
6877.068185198994,81
6909.174713878994,82
6949.650688146008,83
6997.686550501996,84
7061.7987614400045,85
7149.630698727007,86
7209.998734338995,87
