elapsed,errors
714.531711755,1
919.437565161,2
4227.438552041001,3
4333.1800073,4
4463.906209634,5
4711.174547157,6
4863.165906351001,7
4994.420214814,8
5143.694694879,9
5249.32803485,10
5381.847713767,11
5519.03160708,12
5665.079533858,13
5767.408008359,14
6033.158655641,15
6184.175962941,16
6322.044067288,17
6437.24167943,18
6659.1561615440005,19
6809.81095758,20
6909.229667204,21
7025.416594548,22
7131.367576363,23
7267.288407237,24
7364.147038206,25
7468.127852728,26
7580.778688542,27
7711.777668881,28
7824.495681142999,29
7963.026935321,30
8059.867717170001,31
8166.594368939,32
8292.787696427999,33
8423.911842496998,34
8564.845862889999,35
8690.135817235,36
8830.346743152999,37
8964.839678404,38
9082.310781219,39
9229.476044092999,40
9357.042155676,41
9480.447434800999,42
9605.008765503999,43
9750.070097435999,44
9890.155103055999,45
10011.451689036,46
10148.454451811,47
10249.83249121,48
10356.054509765,49
10497.399984075999,50
10635.616062195999,51
10736.646613731,52
10844.954951169999,53
