round_epochs,loss,mae,mse,val_loss,val_mae,val_mse,activation,epochs,losses,n_layers_after,n_lstm_node_first,n_lstm_node_second,n_node_hidden_layers,optimizer,reg,regw
300,0.05534087121486664,0.044723983854055405,0.004868448246270418,0.06539477407932281,0.054768722504377365,0.010624894872307777,sigmoid,300,mae,1,20,30,10,Adam,<function <lambda> at 0x152320b00>,0.0001
300,0.028135601431131363,0.12549471855163574,0.028135601431131363,0.0265961941331625,0.1246674433350563,0.0265961941331625,relu,300,mse,0,10,30,50,sgd,<function <lambda> at 0x152320e60>,0.0001
500,0.032499831169843674,0.032499831169843674,0.0031207650899887085,0.049780890345573425,0.049780890345573425,0.01082303375005722,relu,500,mae,1,10,30,30,Adam,<function <lambda> at 0x152320e60>,0.001
300,0.009362497366964817,0.053768206387758255,0.0054328553378582,0.014843525364995003,0.06524699181318283,0.010907800868153572,elu,300,mse,0,30,10,30,Adam,<function <lambda> at 0x152320ef0>,0.001
500,0.03865184634923935,0.0665818378329277,0.009277506731450558,0.04165399447083473,0.07535350322723389,0.012281442992389202,elu,500,mse,2,10,10,10,sgd,<function <lambda> at 0x152320ef0>,0.0005
300,0.05619862303137779,0.17360864579677582,0.05619862303137779,0.05230557173490524,0.1740676760673523,0.05230557173490524,sigmoid,300,mse,1,20,20,10,sgd,<function <lambda> at 0x152320e60>,0.0005
300,0.04690023139119148,0.041334543377161026,0.004368139430880547,0.058588575571775436,0.05302109196782112,0.01056587789207697,sigmoid,300,mae,1,20,10,10,Adam,<function <lambda> at 0x152320ef0>,0.0001
300,0.01047893799841404,0.07142884284257889,0.010478937067091465,0.012198392301797867,0.0766715481877327,0.012198392301797867,relu,300,mse,2,20,10,10,sgd,<function <lambda> at 0x152320e60>,0.001
300,0.047927435487508774,0.039809610694646835,0.004394885152578354,0.06077847257256508,0.05265979841351509,0.010616613551974297,relu,300,mae,1,30,20,10,Adam,<function <lambda> at 0x152320b00>,0.0001
500,0.053835678845644,0.046033017337322235,0.005112782586365938,0.06328657269477844,0.05548412352800369,0.010574940592050552,elu,500,mae,0,20,0,10,Adam,<function <lambda> at 0x152320b00>,0.0005
500,0.006383760366588831,0.04818634316325188,0.004633861128240824,0.012692597694694996,0.06135815754532814,0.010941343382000923,sigmoid,500,mse,1,10,20,10,Adam,<function <lambda> at 0x152320ef0>,0.0001
500,0.04250747710466385,0.15222583711147308,0.04250748082995415,0.039372678846120834,0.15070132911205292,0.039372678846120834,relu,500,mse,0,10,10,10,sgd,<function <lambda> at 0x152320e60>,0.001
300,0.0028759033884853125,0.03478768840432167,0.0028759033884853125,0.010875622741878033,0.05555632337927818,0.010875622741878033,relu,300,mse,1,20,0,30,Adam,<function <lambda> at 0x152320e60>,0.0001
500,0.05760594829916954,0.05541535094380379,0.006179445423185825,0.06246310845017433,0.06681463122367859,0.01104041188955307,relu,500,mse,2,10,10,50,sgd,<function <lambda> at 0x152320ef0>,0.0005
500,0.05014008656144142,0.04478421062231064,0.005121135618537664,0.061879850924015045,0.05652405321598053,0.011061426252126694,relu,500,mae,2,20,0,10,sgd,<function <lambda> at 0x152320ef0>,0.0001
300,0.06660826504230499,0.17499828338623047,0.057959429919719696,0.06272649765014648,0.17994092404842377,0.054077718406915665,sigmoid,300,mse,1,20,20,50,sgd,<function <lambda> at 0x152320ef0>,0.0001
300,0.0038118588272482157,0.04274251312017441,0.0038118588272482157,0.010915730148553848,0.0578463040292263,0.010915730148553848,sigmoid,300,mse,1,20,30,10,Adam,<function <lambda> at 0x152320e60>,0.001
300,0.15576930344104767,0.1479072868824005,0.07061391323804855,0.13896304368972778,0.1311011165380478,0.05683794617652893,sigmoid,300,mae,1,30,10,50,sgd,<function <lambda> at 0x152320ef0>,0.0001
500,0.008744482882320881,0.04898275434970856,0.005001358222216368,0.014564121142029762,0.061792269349098206,0.01082252524793148,relu,500,mse,1,10,20,30,Adam,<function <lambda> at 0x152320ef0>,0.001
500,0.037305135279893875,0.03345121815800667,0.003169581526890397,0.053815245628356934,0.04996075481176376,0.01064720842987299,relu,500,mae,1,10,10,50,Adam,<function <lambda> at 0x152320ef0>,0.0001
500,0.05737806111574173,0.1422318071126938,0.03701084479689598,0.054851241409778595,0.14101876318454742,0.034483760595321655,sigmoid,500,mse,0,10,20,50,sgd,<function <lambda> at 0x152320ef0>,0.0005
500,0.0315670408308506,0.0315670408308506,0.0030466155149042606,0.049488525837659836,0.049488525837659836,0.010796324349939823,relu,500,mae,1,10,20,10,Adam,<function <lambda> at 0x152320e60>,0.0001
500,0.33660897612571716,0.06599307060241699,0.008667347021400928,0.34000271558761597,0.07747433334589005,0.01216845866292715,elu,500,mse,2,30,10,10,sgd,<function <lambda> at 0x152320b00>,0.001
500,0.34883061051368713,0.09349634498357773,0.016095640137791634,0.3487776517868042,0.09431906044483185,0.016091762110590935,relu,500,mse,2,30,10,50,sgd,<function <lambda> at 0x152320b00>,0.0005
300,0.00756996450945735,0.05026509612798691,0.00506435614079237,0.013594001531600952,0.06299562007188797,0.011092228814959526,elu,300,mse,0,30,10,50,Adam,<function <lambda> at 0x152320b00>,0.0001
300,0.42509132623672485,0.12152481079101562,0.04374796152114868,0.40486323833465576,0.10138608515262604,0.0353851355612278,sigmoid,300,mae,0,20,20,30,sgd,<function <lambda> at 0x152320b00>,0.001
500,0.012001900933682919,0.05004309117794037,0.005201016552746296,0.017491480335593224,0.06122885271906853,0.010699919424951077,relu,500,mse,2,20,0,30,Adam,<function <lambda> at 0x152320b00>,0.001
300,0.05889317765831947,0.17700591683387756,0.05889317765831947,0.05489753186702728,0.17739349603652954,0.05489753186702728,sigmoid,300,mse,2,30,30,10,sgd,<function <lambda> at 0x152320e60>,0.0001
500,0.28017547726631165,0.1728018969297409,0.05578572303056717,0.2759797275066376,0.17289093136787415,0.05166037753224373,sigmoid,500,mse,1,10,30,10,sgd,<function <lambda> at 0x152320b00>,0.001
500,0.16308629512786865,0.0650879368185997,0.009040314704179764,0.16663016378879547,0.06863654404878616,0.010942813009023666,sigmoid,500,mae,0,10,20,30,sgd,<function <lambda> at 0x152320b00>,0.0005
500,0.14848674833774567,0.14848674833774567,0.07191337645053864,0.13084670901298523,0.13084670901298523,0.05782712996006012,sigmoid,500,mae,2,20,20,30,sgd,<function <lambda> at 0x152320e60>,0.0005
300,0.43637895584106445,0.16019167006015778,0.04768659919500351,0.43282899260520935,0.1609492152929306,0.04425850883126259,elu,300,mse,1,30,10,50,sgd,<function <lambda> at 0x152320b00>,0.001
300,0.04966835305094719,0.04385700076818466,0.004761207848787308,0.05942313373088837,0.05361226946115494,0.010459463112056255,sigmoid,300,mae,0,30,0,50,Adam,<function <lambda> at 0x152320ef0>,0.0005
500,0.0031606988050043583,0.03773605450987816,0.0031606988050043583,0.011177292093634605,0.05662469565868378,0.011177292093634605,sigmoid,500,mse,1,30,10,50,Adam,<function <lambda> at 0x152320e60>,0.0001
300,0.0034983570221811533,0.04013713821768761,0.0034983570221811533,0.010773668065667152,0.056732457131147385,0.010773668065667152,elu,300,mse,0,30,10,10,Adam,<function <lambda> at 0x152320e60>,0.0001
300,0.007861647754907608,0.06382709741592407,0.007861647754907608,0.01143751759082079,0.07592073827981949,0.01143751759082079,relu,300,mse,2,30,10,10,sgd,<function <lambda> at 0x152320e60>,0.0005
500,0.005550711881369352,0.046378061175346375,0.004440064541995525,0.012132403440773487,0.06046627089381218,0.01102173700928688,relu,500,mse,0,10,20,50,Adam,<function <lambda> at 0x152320ef0>,0.0001
300,0.05329621583223343,0.04025261104106903,0.004095578100532293,0.0645793005824089,0.051537562161684036,0.010252818465232849,elu,300,mae,2,10,30,30,Adam,<function <lambda> at 0x152320b00>,0.0001
300,0.11399133503437042,0.15135253965854645,0.04295962303876877,0.11064624041318893,0.15128542482852936,0.03962269797921181,sigmoid,300,mse,0,30,30,10,sgd,<function <lambda> at 0x152320ef0>,0.001
300,0.010985778644680977,0.05058279633522034,0.005236420780420303,0.016553644090890884,0.061107784509658813,0.010809031315147877,relu,300,mse,1,30,0,30,Adam,<function <lambda> at 0x152320b00>,0.001
500,0.10438079386949539,0.07495514303445816,0.012278560549020767,0.10069113969802856,0.07126158475875854,0.012286310084164143,relu,500,mae,0,20,20,50,sgd,<function <lambda> at 0x152320ef0>,0.0005
500,0.002643630374222994,0.03249714896082878,0.002643630374222994,0.011673277243971825,0.05540895834565163,0.011673277243971825,relu,500,mse,2,10,20,50,Adam,<function <lambda> at 0x152320e60>,0.0005
500,0.011094216257333755,0.05034531652927399,0.005179352127015591,0.016679512336850166,0.06179731339216232,0.010768698528409004,relu,500,mse,1,10,10,30,Adam,<function <lambda> at 0x152320b00>,0.0005
300,0.011205446906387806,0.0519217774271965,0.005360536277294159,0.01673799753189087,0.062493108212947845,0.010904056020081043,elu,300,mse,0,30,20,10,Adam,<function <lambda> at 0x152320b00>,0.0005
300,0.010548217222094536,0.04957279562950134,0.005096655339002609,0.016270063817501068,0.06211945042014122,0.010820201598107815,relu,300,mse,2,20,30,50,Adam,<function <lambda> at 0x152320ef0>,0.001
