round_epochs,loss,mae,mse,val_loss,val_mae,val_mse,activation,epochs,losses,n_layers_after,n_lstm_node_first,n_lstm_node_second,n_node_hidden_layers,optimizer,reg,regw
300,0.0871489867568016,0.05531810224056244,0.006185499485582113,0.13712134957313538,0.10529105365276337,0.02585870400071144,elu,300,mae,1,20,10,10,sgd,<function <lambda> at 0x14dd86c20>,0.0001
500,0.05885393172502518,0.04244064539670944,0.0037641264498233795,0.10906844586133957,0.09266006946563721,0.02223127707839012,sigmoid,500,mae,0,10,20,30,Adam,<function <lambda> at 0x14dd86c20>,0.001
500,0.02524390257894993,0.0566517598927021,0.005365688353776932,0.045452989637851715,0.10850253701210022,0.025575248524546623,relu,500,mse,1,20,0,10,sgd,<function <lambda> at 0x14dd86c20>,0.0001
500,0.03485371917486191,0.03485371917486191,0.002887388924136758,0.08558580279350281,0.08558580279350281,0.020592810586094856,elu,500,mae,0,20,30,30,Adam,<function <lambda> at 0x14ddb7560>,0.0005
500,0.3192359209060669,0.06478774547576904,0.006503029260784388,0.33824485540390015,0.11615276336669922,0.025613076984882355,elu,500,mse,1,20,20,10,sgd,<function <lambda> at 0x14dd86c20>,0.001
300,0.0033608798403292894,0.04134384170174599,0.0033608798403292894,0.021521499380469322,0.09096899628639221,0.021521499380469322,sigmoid,300,mse,2,20,0,30,Adam,<function <lambda> at 0x14ddb7560>,0.0005
500,0.030918793752789497,0.030918793752789497,0.002676622476428747,0.08118917793035507,0.08118917793035507,0.02018989808857441,relu,500,mae,1,30,30,30,Adam,<function <lambda> at 0x14ddb7560>,0.0005
300,0.05269875377416611,0.05269875377416611,0.005285835824906826,0.10076500475406647,0.10076500475406647,0.02570905163884163,relu,300,mae,1,10,10,10,sgd,<function <lambda> at 0x14ddb7560>,0.0005
300,0.09319864958524704,0.25821468234062195,0.09319864958524704,0.09074918925762177,0.2662700414657593,0.09074918925762177,sigmoid,300,mse,1,10,30,50,sgd,<function <lambda> at 0x14ddb7560>,0.001
500,0.05974454805254936,0.038631636649370193,0.0036256141029298306,0.10969658941030502,0.08859747648239136,0.02216985449194908,relu,500,mae,2,20,20,50,Adam,<function <lambda> at 0x14dd86c20>,0.0005
300,0.003206990659236908,0.04023762419819832,0.003206990659236908,0.021674683317542076,0.09134652465581894,0.021674683317542076,sigmoid,300,mse,1,20,20,10,Adam,<function <lambda> at 0x14ddb7560>,0.0005
300,0.06056702882051468,0.14096441864967346,0.02772369422018528,0.06793739646673203,0.1638088822364807,0.035092487931251526,sigmoid,300,mse,1,30,0,50,sgd,<function <lambda> at 0x14dd86cb0>,0.0005
500,0.030700910836458206,0.05489298328757286,0.005401169881224632,0.05015254393219948,0.10341598093509674,0.024854619055986404,relu,500,mse,2,20,0,10,sgd,<function <lambda> at 0x14dd86cb0>,0.0005
500,0.010365743190050125,0.0818113163113594,0.010365743190050125,0.025490175932645798,0.13154947757720947,0.025490175932645798,sigmoid,500,mse,1,20,0,30,sgd,<function <lambda> at 0x14ddb7560>,0.001
500,0.03825953230261803,0.03442506119608879,0.002792988670989871,0.0896393284201622,0.08580480515956879,0.02079949900507927,elu,500,mae,1,30,0,50,Adam,<function <lambda> at 0x14dd86cb0>,0.0001
500,0.043946605175733566,0.03697769716382027,0.0031199741642922163,0.09483814239501953,0.0878700539469719,0.02074018307030201,sigmoid,500,mae,0,10,10,30,Adam,<function <lambda> at 0x14dd86c20>,0.0001
300,0.06347870081663132,0.12316445261240005,0.021921366453170776,0.07127609848976135,0.1477424055337906,0.029717260971665382,elu,300,mse,1,20,20,30,sgd,<function <lambda> at 0x14dd86cb0>,0.0005
300,0.0029383786022663116,0.03812216594815254,0.0029383786022663116,0.02095893956720829,0.0870545506477356,0.02095893956720829,elu,300,mse,1,20,10,30,Adam,<function <lambda> at 0x14ddb7560>,0.0001
500,0.031482994556427,0.031482994556427,0.002704587299376726,0.08258245885372162,0.08258245885372162,0.020168205723166466,relu,500,mae,1,10,10,30,Adam,<function <lambda> at 0x14ddb7560>,0.0005
300,0.04810532182455063,0.04023169353604317,0.0035327814985066652,0.10032299906015396,0.09243875741958618,0.02195592224597931,sigmoid,300,mae,0,20,30,30,Adam,<function <lambda> at 0x14dd86cb0>,0.0005
300,0.30702656507492065,0.13617978990077972,0.029635196551680565,0.31932076811790466,0.1484847068786621,0.03252837806940079,relu,300,mae,0,30,10,30,sgd,<function <lambda> at 0x14dd86c20>,0.0005
300,0.09531597793102264,0.09531597793102264,0.01327859703451395,0.1300908476114273,0.1300908476114273,0.02455313876271248,elu,300,mae,0,20,30,30,sgd,<function <lambda> at 0x14ddb7560>,0.0001
500,0.04743185266852379,0.038573138415813446,0.00332636502571404,0.09804339706897736,0.08918080478906631,0.021275080740451813,elu,500,mae,1,20,10,30,Adam,<function <lambda> at 0x14dd86c20>,0.0001
500,0.004764564335346222,0.04261085391044617,0.0034691444598138332,0.02360178716480732,0.09389620274305344,0.022306783124804497,relu,500,mse,0,10,10,10,Adam,<function <lambda> at 0x14dd86cb0>,0.0001
300,0.03364786133170128,0.03364786133170128,0.0028982884250581264,0.08286900818347931,0.08286900818347931,0.020506305620074272,relu,300,mae,1,10,0,30,Adam,<function <lambda> at 0x14ddb7560>,0.0001
500,0.046822402626276016,0.038074132055044174,0.003230329602956772,0.09898842871189117,0.0902417004108429,0.021221309900283813,sigmoid,500,mae,1,10,0,30,Adam,<function <lambda> at 0x14dd86c20>,0.0001
300,0.05964691564440727,0.05964691564440727,0.007351732812821865,0.10658986866474152,0.10658986866474152,0.027215633541345596,relu,300,mae,1,20,30,10,sgd,<function <lambda> at 0x14ddb7560>,0.0001
300,0.09069090336561203,0.06636254489421844,0.007543515879660845,0.13026534020900726,0.10593459755182266,0.02318890579044819,elu,300,mae,0,10,30,30,sgd,<function <lambda> at 0x14dd86c20>,0.0001
500,0.05318199470639229,0.04117930680513382,0.0036398437805473804,0.10291726142168045,0.09092695266008377,0.022065231576561928,elu,500,mae,0,30,30,10,Adam,<function <lambda> at 0x14dd86c20>,0.0005
300,0.3532967269420624,0.056470900774002075,0.006343497429043055,0.4064781665802002,0.10970603674650192,0.02637600153684616,elu,300,mae,2,30,30,10,sgd,<function <lambda> at 0x14dd86c20>,0.0005
300,0.39264774322509766,0.1931001991033554,0.051343489438295364,0.39672353863716125,0.20870280265808105,0.05552905052900314,sigmoid,300,mse,0,20,30,10,sgd,<function <lambda> at 0x14dd86c20>,0.001
300,0.06034136936068535,0.06034136936068535,0.007108332123607397,0.11187262833118439,0.11187262833118439,0.02788989059627056,relu,300,mae,2,10,30,30,sgd,<function <lambda> at 0x14ddb7560>,0.0001
500,0.01186006423085928,0.04668980836868286,0.00395840872079134,0.030592044815421104,0.09625855833292007,0.02270275168120861,sigmoid,500,mse,2,20,30,10,Adam,<function <lambda> at 0x14dd86cb0>,0.0005
300,0.03132767602801323,0.14899274706840515,0.03132767602801323,0.036253731697797775,0.1656508445739746,0.036253731697797775,relu,300,mse,1,30,20,30,sgd,<function <lambda> at 0x14ddb7560>,0.0005
300,0.2671160101890564,0.06562694907188416,0.006842107977718115,0.2856675982475281,0.11412735283374786,0.025472676381468773,relu,300,mse,1,20,0,50,sgd,<function <lambda> at 0x14dd86c20>,0.001
500,0.060329828411340714,0.03973779082298279,0.0037470876704901457,0.10836891829967499,0.0877867043018341,0.02182086370885372,relu,500,mae,1,30,30,30,Adam,<function <lambda> at 0x14dd86c20>,0.001
500,0.0029510916210711002,0.03829509764909744,0.0029510916210711002,0.020703639835119247,0.08819244056940079,0.020703639835119247,elu,500,mse,0,10,20,50,Adam,<function <lambda> at 0x14ddb7560>,0.0001
300,0.0031239569652825594,0.0401301346719265,0.0031239569652825594,0.020818481221795082,0.08844754844903946,0.020818481221795082,elu,300,mse,2,10,20,10,Adam,<function <lambda> at 0x14ddb7560>,0.0005
300,0.6045346856117249,0.09231142699718475,0.01221559103578329,0.6177451610565186,0.13443972170352936,0.025599665939807892,elu,300,mse,2,20,30,30,sgd,<function <lambda> at 0x14dd86c20>,0.001
500,0.054761044681072235,0.054761044681072235,0.005844885483384132,0.11250283569097519,0.11250282824039459,0.028149615973234177,relu,500,mae,2,10,20,30,sgd,<function <lambda> at 0x14ddb7560>,0.0001
300,0.05224624648690224,0.04073053598403931,0.0035654399544000626,0.10372509807348251,0.09221599251031876,0.022187288850545883,sigmoid,300,mae,1,10,10,10,Adam,<function <lambda> at 0x14dd86cb0>,0.0005
300,0.01985725574195385,0.07112103700637817,0.008362000808119774,0.037497375160455704,0.12327951192855835,0.026002079248428345,relu,300,mse,2,20,20,30,sgd,<function <lambda> at 0x14dd86cb0>,0.0001
500,0.03647937625646591,0.03647937625646591,0.0030471659265458584,0.08593812584877014,0.08593812584877014,0.02026568539440632,sigmoid,500,mae,2,30,30,50,Adam,<function <lambda> at 0x14ddb7560>,0.0005
300,0.06069343909621239,0.06069343909621239,0.0068563660606741905,0.10006008297204971,0.10006008297204971,0.022284990176558495,relu,300,mae,0,10,10,30,sgd,<function <lambda> at 0x14ddb7560>,0.0005
500,0.051342256367206573,0.037737276405096054,0.0035597251262515783,0.10080771148204803,0.08720891177654266,0.0219123512506485,relu,500,mae,1,30,20,30,Adam,<function <lambda> at 0x14dd86c20>,0.0005
500,0.0391622930765152,0.035950612276792526,0.002959941979497671,0.09171728044748306,0.0885034129023552,0.0207329373806715,relu,500,mae,0,20,30,50,Adam,<function <lambda> at 0x14dd86cb0>,0.0001
300,0.24753302335739136,0.24753302335739136,0.11625528335571289,0.23030102252960205,0.23030102252960205,0.09488366544246674,sigmoid,300,mae,2,10,20,10,sgd,<function <lambda> at 0x14ddb7560>,0.0001
500,0.05751333758234978,0.041326433420181274,0.003678305773064494,0.1095188558101654,0.09333398193120956,0.02230237051844597,elu,500,mae,2,20,30,10,Adam,<function <lambda> at 0x14dd86c20>,0.0005
500,0.04568764939904213,0.0381268747150898,0.003255390329286456,0.09679115563631058,0.08923882246017456,0.021220311522483826,elu,500,mae,0,20,10,50,Adam,<function <lambda> at 0x14dd86c20>,0.0001
500,0.2745165228843689,0.24090321362018585,0.1096581369638443,0.26123011112213135,0.22761939465999603,0.09656340628862381,sigmoid,500,mae,2,20,10,10,sgd,<function <lambda> at 0x14dd86cb0>,0.0005
500,0.09695394337177277,0.05125166103243828,0.005148010328412056,0.1486067920923233,0.1029067113995552,0.025049785152077675,elu,500,mae,1,30,30,10,sgd,<function <lambda> at 0x14dd86cb0>,0.0005
500,0.01647070422768593,0.0492619127035141,0.0041852849535644054,0.03397367149591446,0.09231745451688766,0.021687183529138565,sigmoid,500,mse,1,20,20,50,Adam,<function <lambda> at 0x14dd86c20>,0.0005
500,0.3162432610988617,0.05227705463767052,0.004889968782663345,0.33711642026901245,0.1067110225558281,0.02581658773124218,relu,500,mse,2,30,0,50,sgd,<function <lambda> at 0x14dd86c20>,0.0005
500,0.004625651985406876,0.042272601276636124,0.0034660003148019314,0.023471711203455925,0.09404846280813217,0.022312646731734276,relu,500,mse,0,20,10,50,Adam,<function <lambda> at 0x14dd86cb0>,0.0001
300,0.6271631717681885,0.24183805286884308,0.10872417688369751,0.6131208539009094,0.22793850302696228,0.09243517369031906,sigmoid,300,mae,1,20,30,10,sgd,<function <lambda> at 0x14dd86c20>,0.001
300,0.010369552299380302,0.04954929277300835,0.004338264465332031,0.029623685404658318,0.10092926025390625,0.02359643764793873,sigmoid,300,mse,1,20,0,30,Adam,<function <lambda> at 0x14dd86cb0>,0.001
500,0.09317698329687119,0.05582046881318092,0.006100562866777182,0.157963827252388,0.12060905992984772,0.03003883920609951,relu,500,mae,2,10,10,30,sgd,<function <lambda> at 0x14dd86c20>,0.0001
500,0.0507337786257267,0.041867051273584366,0.003676614724099636,0.10233204811811447,0.09346890449523926,0.02237832359969616,relu,500,mae,0,30,0,10,Adam,<function <lambda> at 0x14dd86c20>,0.0005
500,0.01200187485665083,0.04640964791178703,0.004032251425087452,0.030167140066623688,0.09255088120698929,0.02220281772315502,relu,500,mse,1,30,20,10,Adam,<function <lambda> at 0x14dd86c20>,0.001
300,0.2816127836704254,0.23762516677379608,0.1072024554014206,0.2661466598510742,0.22216010093688965,0.09598947316408157,sigmoid,300,mae,1,10,30,50,sgd,<function <lambda> at 0x14dd86c20>,0.0001
