round_epochs,loss,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error,activation,epochs,losses,n_layers_after,n_lstm_node_first,n_lstm_node_second,n_node_hidden_layers,optimizer,reg,regw
300,0.05368916690349579,0.04355752095580101,0.004791553597897291,0.06576435267925262,0.05563434958457947,0.010678160935640335,sigmoid,300,mse,2,20,0,10,Adam,<function <lambda> at 0x1557dfe60>,0.0001
300,0.053977832198143005,0.04384259507060051,0.00484561687335372,0.06582419574260712,0.05569164827466011,0.010680995881557465,sigmoid,300,mse,0,30,20,50,Adam,<function <lambda> at 0x1557dfdd0>,0.0005
