round_epochs,loss,mae,mse,val_loss,val_mae,val_mse,activation,epochs,losses,n_layers_after,n_lstm_node_first,n_lstm_node_second,n_node_hidden_layers,optimizer,reg,regw
500,0.03546086326241493,0.03546086326241493,0.003390810452401638,0.05192144960165024,0.05192144960165024,0.010625815019011497,elu,500,mae,0,30,20,10,Adam,<function <lambda> at 0x14f7a95f0>,0.0001
300,0.03865908458828926,0.03865908831357956,0.003915365319699049,0.05130027234554291,0.05130027234554291,0.010509303770959377,elu,300,mae,0,30,10,50,Adam,<function <lambda> at 0x14f7a95f0>,0.0001
300,0.4377835690975189,0.14902180433273315,0.07228744775056839,0.4161412715911865,0.12743529677391052,0.059685491025447845,sigmoid,300,mae,2,30,30,10,sgd,<function <lambda> at 0x14f7a99e0>,0.0005
500,0.035576436668634415,0.03086218051612377,0.0028577460907399654,0.05673848092556,0.05202458053827286,0.010813245549798012,relu,500,mae,2,30,10,50,Adam,<function <lambda> at 0x14f7a9d40>,0.0001
300,0.008124501444399357,0.04862159863114357,0.004932906478643417,0.014133666642010212,0.06196292117238045,0.010940445587038994,relu,300,mse,2,30,30,50,Adam,<function <lambda> at 0x14f7a9d40>,0.0005
500,0.2829623222351074,0.054104503244161606,0.006534967105835676,0.29131951928138733,0.06250277906656265,0.01128085982054472,relu,500,mae,1,30,20,10,sgd,<function <lambda> at 0x14f7a99e0>,0.0005
300,0.0026790283154696226,0.03293384611606598,0.0026790283154696226,0.010946057736873627,0.05383486673235893,0.010946057736873627,relu,300,mse,2,30,10,30,Adam,<function <lambda> at 0x14f7a95f0>,0.0001
500,0.05251822620630264,0.0410182923078537,0.004630309529602528,0.06349107623100281,0.051998719573020935,0.010601860471069813,relu,500,mae,2,30,0,50,Adam,<function <lambda> at 0x14f7a99e0>,0.0005
500,0.10747291147708893,0.06637930124998093,0.009177927859127522,0.10982610285282135,0.06873190402984619,0.011015386320650578,relu,500,mae,0,20,30,10,sgd,<function <lambda> at 0x14f7a99e0>,0.0001
500,0.009453718550503254,0.05154120922088623,0.005297528114169836,0.015101606026291847,0.06345248967409134,0.010952075012028217,elu,500,mse,1,20,0,10,Adam,<function <lambda> at 0x14f7a99e0>,0.001
500,0.14434722065925598,0.07723033428192139,0.012824920006096363,0.13903921842575073,0.0719199925661087,0.012550859712064266,sigmoid,500,mae,0,30,20,30,sgd,<function <lambda> at 0x14f7a9d40>,0.001
300,0.0035927509889006615,0.04064789041876793,0.0035927509889006615,0.01087194960564375,0.057107824832201004,0.01087194960564375,sigmoid,300,mse,0,30,20,10,Adam,<function <lambda> at 0x14f7a95f0>,0.0005
500,0.0562121719121933,0.04443855583667755,0.004766054451465607,0.0658443495631218,0.054056815803050995,0.010490277782082558,sigmoid,500,mae,1,20,20,50,Adam,<function <lambda> at 0x14f7a99e0>,0.0001
300,0.017470180988311768,0.052017003297805786,0.005388060584664345,0.023106424137949944,0.061450131237506866,0.011034511961042881,sigmoid,300,mse,2,30,10,30,Adam,<function <lambda> at 0x14f7a99e0>,0.0001
300,0.06002066656947136,0.046665024012327194,0.00531319435685873,0.06975295394659042,0.056390512734651566,0.01074795238673687,relu,300,mae,0,30,30,50,Adam,<function <lambda> at 0x14f7a99e0>,0.0005
300,0.32987749576568604,0.12758786976337433,0.05015457049012184,0.30972960591316223,0.10749489068984985,0.04147791862487793,relu,300,mae,0,10,30,50,sgd,<function <lambda> at 0x14f7a99e0>,0.001
300,0.046208202838897705,0.05479534715414047,0.005913648288697004,0.05165886506438255,0.06734010577201843,0.011365257203578949,relu,300,mse,2,20,0,30,sgd,<function <lambda> at 0x14f7a99e0>,0.0001
500,0.1267203986644745,0.1739814728498459,0.05692846700549126,0.12277038395404816,0.17664273083209991,0.05298865586519241,sigmoid,500,mse,1,30,10,50,sgd,<function <lambda> at 0x14f7a9d40>,0.001
300,0.06208811700344086,0.04577610641717911,0.005205273162573576,0.07248038053512573,0.05616096407175064,0.010787754319608212,relu,300,mae,1,30,30,10,Adam,<function <lambda> at 0x14f7a99e0>,0.001
